id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2794430589,97,3,1,14,8,bsykw9d70ffqe9atosc92n1e9,0,72.1,45.2,2025-03-31T20:23:00.869Z,2025-03-31T21:25:59Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615075131,286,,5615075129,56,Center,5615075153,233,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430585,114,7,1,14,8,8q6cv8g4bd3xdl7m88kll16na,0,27.9,54.8,2025-03-31T20:23:00.870Z,2025-03-31T21:25:59Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615075141,233,97,5615075113,56,Back,5615075115,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430599,98,1,1,14,11,bsykw9d70ffqe9atosc92n1e9,1,77.5,39.8,2025-03-31T20:23:03.234Z,2025-03-31T20:23:04Z,7ctsofo6904i5ysgpfh2sdv1m,C. Cappis,,,5615075209,212,7.4,5615075211,213,2.49,5615075205,140,71.9,5615075203,56,Center,5615075207,141,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430631,99,1,1,14,11,bsykw9d70ffqe9atosc92n1e9,1,71.9,46.4,2025-03-31T20:23:03.923Z,2025-03-31T20:23:15Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,1.0,,5615075379,140,67.2,5615075385,213,1.86,5615075381,141,70.9,5615075377,56,Center,5615075383,212,17.4,5615075731,210,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430637,100,15,1,14,14,bsykw9d70ffqe9atosc92n1e9,1,78.2,69.3,2025-03-31T20:23:07.083Z,2025-03-31T21:19:57Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615075401,18,,5615075399,22,,5615075747,102,53.6,5615179281,76,,5615075749,103,19.6,5615075741,29,,5615075753,146,98.1,5615075737,72,,5615075403,56,Center,5615075755,147,51.8,5615075759,233,5615075743,55,5615075751,215,,115,99,,,,,,,,,,,,,,
2794430633,115,10,1,14,15,8q6cv8g4bd3xdl7m88kll16na,1,2.2,48.0,2025-03-31T20:23:07.183Z,2025-03-31T20:23:16Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615075443,177,,5615075779,233,100,5615075393,178,,5615075397,56,Back,5615075395,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430745,117,1,1,14,32,8q6cv8g4bd3xdl7m88kll16na,1,9.5,63.2,2025-03-31T20:23:24.926Z,2025-03-31T20:23:26Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615076155,212,21.2,5615076145,123,,5615076153,141,85.3,5615076151,140,23.7,5615076147,56,Back,5615076157,213,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430761,118,1,1,14,34,8q6cv8g4bd3xdl7m88kll16na,1,29.4,85.9,2025-03-31T20:23:26.782Z,2025-03-31T20:23:29Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5615076247,56,Left,5615076251,141,96.0,5615076253,212,23.6,5615076249,140,50.9,5615076255,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430785,119,1,1,14,36,8q6cv8g4bd3xdl7m88kll16na,1,44.6,92.8,2025-03-31T20:23:28.926Z,2025-03-31T20:23:31Z,c9a0owmk742hzaoxqlmxrruju,N. Pallas,,,5615076369,56,Back,5615076377,213,3.78,5615076375,212,14.6,5615076373,141,80.0,5615076371,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430811,120,1,1,14,38,8q6cv8g4bd3xdl7m88kll16na,1,30.5,77.2,2025-03-31T20:23:31.053Z,2025-03-31T20:23:33Z,3ga4zm8ifo0ohz7xe03jxswkp,S. Jarl,,,5615076525,212,9.4,5615076519,56,Back,5615076523,141,66.3,5615076527,213,5.37,5615076521,140,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430819,121,1,1,14,41,8q6cv8g4bd3xdl7m88kll16na,1,31.9,63.3,2025-03-31T20:23:33.381Z,2025-03-31T20:23:35Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615076617,213,3.78,5615076611,140,19.2,5615076613,141,48.7,5615076609,56,Back,5615076615,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430839,122,1,1,14,43,8q6cv8g4bd3xdl7m88kll16na,1,20.1,46.9,2025-03-31T20:23:35.333Z,2025-03-31T20:23:40Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5615076755,141,68.9,5615076749,56,Back,5615076759,213,2.27,5615076757,212,19.6,5615076751,140,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430863,123,1,1,14,48,8q6cv8g4bd3xdl7m88kll16na,1,8.7,66.9,2025-03-31T20:23:40.174Z,2025-03-31T20:23:43Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615076881,56,Back,5615076883,140,48.8,5615076885,141,65.9,5615076889,213,6.27,5615076887,212,42.1,5615076891,1,,5615076879,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430869,124,1,1,14,50,8q6cv8g4bd3xdl7m88kll16na,1,47.5,65.3,2025-03-31T20:23:43.070Z,2025-03-31T20:23:44Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5615076919,140,47.1,5615076915,3,,5615076925,213,2.98,5615076921,141,65.4,5615076923,212,0.4,5615076917,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430875,125,44,1,14,52,8q6cv8g4bd3xdl7m88kll16na,1,46.6,57.4,2025-03-31T20:23:44.421Z,2025-03-31T21:26:10Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5615076945,56,Back,5615076987,233,101,5615076949,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430879,101,44,1,14,52,bsykw9d70ffqe9atosc92n1e9,0,53.4,42.6,2025-03-31T20:23:44.422Z,2025-03-31T21:26:10Z,7ctsofo6904i5ysgpfh2sdv1m,C. Cappis,,,5615077011,233,125,5615076981,286,,5615076979,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430889,126,1,1,14,52,8q6cv8g4bd3xdl7m88kll16na,1,47.4,65.7,2025-03-31T20:23:44.621Z,2025-03-31T20:23:46Z,4krwgfspxdgpq1pli11b04iga,M. Brajanac,,,5615077037,212,7.0,5615077035,141,55.5,5615077039,213,4.82,5615077033,140,48.1,5615077031,56,Back,5615077029,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430895,127,1,1,14,54,8q6cv8g4bd3xdl7m88kll16na,0,48.1,54.7,2025-03-31T20:23:46.152Z,2025-03-31T20:23:47Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615077067,56,Center,5615077071,140,53.3,5615077075,141,58.4,5615077079,212,6.0,5615077063,3,,5615077081,213,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430903,102,8,1,14,55,bsykw9d70ffqe9atosc92n1e9,1,48.1,44.6,2025-03-31T20:23:47.780Z,2025-03-31T20:23:47Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615077115,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430921,103,1,1,14,57,bsykw9d70ffqe9atosc92n1e9,1,54.3,61.2,2025-03-31T20:23:49.483Z,2025-03-31T20:23:51Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615077237,212,8.2,5615077239,213,6.15,5615077235,141,59.6,5615077233,140,62.0,5615077231,56,Center,5615077229,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430925,104,1,1,14,58,bsykw9d70ffqe9atosc92n1e9,1,62.0,59.6,2025-03-31T20:23:51.099Z,2025-03-31T21:25:01Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615077257,212,12.0,5615077255,141,77.2,5615077259,213,1.57,5615077251,56,Center,5615077253,140,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430953,105,3,1,14,59,bsykw9d70ffqe9atosc92n1e9,0,62.0,76.2,2025-03-31T20:23:52.052Z,2025-03-31T21:26:00Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615077391,56,Center,5615077393,286,,5615077419,233,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430943,128,7,1,14,59,8q6cv8g4bd3xdl7m88kll16na,1,38.0,23.8,2025-03-31T20:23:52.053Z,2025-03-31T21:25:59Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5615077363,285,,5615077361,56,Back,5615077411,233,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430977,130,1,1,15,1,8q6cv8g4bd3xdl7m88kll16na,1,35.6,24.6,2025-03-31T20:23:53.877Z,2025-03-31T20:23:57Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5615077505,212,14.1,5615077499,56,Back,5615077507,213,2.87,5615077503,141,30.1,5615077501,140,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430985,131,1,1,15,4,8q6cv8g4bd3xdl7m88kll16na,1,22.7,30.1,2025-03-31T20:23:56.974Z,2025-03-31T20:23:58Z,fbd96sw3egypi2key2hxbnu2,A. Kiil Olsen,,,5615077547,141,46.0,5615077545,140,2.5,5615077549,212,23.8,5615077551,213,2.67,5615077543,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794430989,132,1,1,15,5,8q6cv8g4bd3xdl7m88kll16na,1,2.5,46.0,2025-03-31T20:23:58.078Z,2025-03-31T20:23:59Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615077581,212,29.3,5615077583,213,5.25,5615077577,140,16.9,5615077575,56,Back,5615077579,141,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431023,133,1,1,15,7,8q6cv8g4bd3xdl7m88kll16na,1,23.4,10.2,2025-03-31T20:23:59.510Z,2025-03-31T20:24:04Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5615077765,140,25.1,5615077769,141,28.7,5615077761,56,Back,5615077775,213,1.43,5615077773,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431039,134,1,1,15,12,8q6cv8g4bd3xdl7m88kll16na,1,31.5,43.2,2025-03-31T20:24:04.669Z,2025-03-31T20:24:07Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615077877,141,71.0,5615077881,213,1.40,5615077873,56,Back,5615077875,140,34.6,5615077879,212,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431083,135,1,1,15,14,8q6cv8g4bd3xdl7m88kll16na,1,34.9,65.7,2025-03-31T20:24:06.861Z,2025-03-31T20:24:11Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5615078117,141,51.6,5615078121,213,4.93,5615078113,56,Back,5615078119,212,9.8,5615078115,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431101,136,1,1,15,18,8q6cv8g4bd3xdl7m88kll16na,1,41.0,53.4,2025-03-31T20:24:10.837Z,2025-03-31T20:24:14Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615078229,141,73.6,5615078231,212,14.9,5615078233,213,1.17,5615078225,56,Back,5615078227,140,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431125,137,1,1,15,21,8q6cv8g4bd3xdl7m88kll16na,1,51.7,72.4,2025-03-31T20:24:13.974Z,2025-03-31T20:24:16Z,1w8gujxthv0lfjrn98paa1uga,C. Lange,,,5615078393,213,4.29,5615078379,140,46.8,5615078377,56,Back,5615078385,141,55.5,5615078389,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431161,138,1,1,15,24,8q6cv8g4bd3xdl7m88kll16na,1,46.4,49.6,2025-03-31T20:24:16.678Z,2025-03-31T20:24:21Z,2rny9fva4m8awyltbc4ipftw4,F. Ambina,,,5615078647,140,66.1,5615078651,212,37.2,5615078653,213,5.30,5615078643,155,,5615078645,56,Right,5615078649,141,4.2,5615078655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431211,139,1,1,15,29,8q6cv8g4bd3xdl7m88kll16na,1,66.3,5.7,2025-03-31T20:24:21.381Z,2025-03-31T20:24:27Z,d5jihfuxjuw51jgt6k4zhmrmy,M. Riisnæs,,,5615078933,141,4.2,5615078939,213,6.20,5615078923,56,Right,5615078937,212,11.8,5615078927,140,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431221,140,61,1,15,35,8q6cv8g4bd3xdl7m88kll16na,0,76.8,5.5,2025-03-31T20:24:27.430Z,2025-03-31T20:24:27Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615078981,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431241,107,1,1,15,36,bsykw9d70ffqe9atosc92n1e9,0,20.4,88.0,2025-03-31T20:24:28.867Z,2025-03-31T20:24:31Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615079115,141,100.0,5615079119,213,0.21,5615079121,1,,5615079111,56,Left,5615079113,140,59.4,5615079109,157,,5615079117,212,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431243,108,5,1,15,39,bsykw9d70ffqe9atosc92n1e9,0,57.6,101.0,2025-03-31T20:24:31.731Z,2025-03-31T21:26:26Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615079123,56,Left,5615079125,347,,5615079409,233,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431287,141,5,1,15,39,8q6cv8g4bd3xdl7m88kll16na,1,42.4,-1.0,2025-03-31T20:24:31.731Z,2025-03-31T21:26:25Z,bxafjt88zqj5wgvx5r71c6cid,H. Bjørdal,,,5615079371,347,,5615079367,56,Back,5615079385,233,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431307,142,1,1,15,47,8q6cv8g4bd3xdl7m88kll16na,1,40.4,0.0,2025-03-31T20:24:39.461Z,2025-03-31T20:24:41Z,rzfthr8qys67ormz869jrndg,H. Sjåtil,,,5615079485,140,27.1,5615079489,212,25.0,5615079497,189,,5615079483,56,Back,5615079481,107,,5615079491,213,2.16,5615079493,1,,5615079487,141,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431339,143,1,1,15,53,8q6cv8g4bd3xdl7m88kll16na,0,28.1,32.6,2025-03-31T20:24:45.773Z,2025-03-31T20:24:48Z,b5kti1udidgdjke5raks6iezu,M. Sjøeng,,,5615079697,141,61.1,5615079769,189,,5615079691,157,,5615079693,56,Center,5615079699,212,49.4,5615079701,213,0.40,5615079703,1,,5615079695,140,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431393,111,1,1,15,59,bsykw9d70ffqe9atosc92n1e9,1,25.7,31.3,2025-03-31T20:24:51.923Z,2025-03-31T21:04:58Z,cqwjwlsum5q92s2k80w3temi2,H. Heggheim,,,5615079997,141,12.5,5615080001,213,5.22,5615079993,56,Back,5615079995,140,32.5,5615079999,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431407,112,1,1,16,3,bsykw9d70ffqe9atosc92n1e9,1,29.4,25.3,2025-03-31T20:24:55.194Z,2025-03-31T20:24:57Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615080069,56,Back,5615080075,212,9.9,5615080077,213,0.49,5615080071,140,37.7,5615080073,141,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431421,113,1,1,16,5,bsykw9d70ffqe9atosc92n1e9,1,44.1,36.7,2025-03-31T20:24:57.547Z,2025-03-31T20:25:00Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615080195,56,Back,5615080199,141,79.0,5615080203,213,1.61,5615080201,212,28.8,5615080197,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431451,114,1,1,16,8,bsykw9d70ffqe9atosc92n1e9,1,44.8,78.1,2025-03-31T20:25:00.548Z,2025-03-31T20:25:05Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615080417,56,Left,5615080423,212,18.0,5615080421,141,95.0,5615080425,213,0.69,5615080419,140,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431467,115,1,1,16,13,bsykw9d70ffqe9atosc92n1e9,1,62.0,83.5,2025-03-31T20:25:05.475Z,2025-03-31T20:25:07Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615080531,140,59.3,5615080537,213,4.33,5615080533,141,73.2,5615080529,56,Center,5615080535,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431499,116,1,1,16,15,bsykw9d70ffqe9atosc92n1e9,1,56.8,66.6,2025-03-31T20:25:07.387Z,2025-03-31T20:25:10Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615080773,213,6.18,5615080771,212,7.3,5615080767,140,63.7,5615080765,56,Center,5615080769,141,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431511,117,1,1,16,18,bsykw9d70ffqe9atosc92n1e9,1,63.7,65.5,2025-03-31T20:25:10.476Z,2025-03-31T20:25:12Z,bnjysriuqd4qe0fmh2ld8yk2c,E. Austbø,,,5615080847,140,60.1,5615080851,212,11.7,5615080853,213,1.90,5615080849,141,81.8,5615080845,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431515,118,1,1,16,19,bsykw9d70ffqe9atosc92n1e9,1,60.1,81.8,2025-03-31T20:25:12.035Z,2025-03-31T20:25:12Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615080881,141,70.9,5615080877,56,Center,5615080883,212,7.5,5615080885,213,4.84,5615080879,140,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431525,119,1,1,16,20,bsykw9d70ffqe9atosc92n1e9,1,61.0,70.9,2025-03-31T20:25:12.611Z,2025-03-31T20:25:14Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615080927,141,84.5,5615080931,213,1.51,5615080929,212,9.3,5615080925,140,61.5,5615080923,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431537,120,1,1,16,22,bsykw9d70ffqe9atosc92n1e9,1,61.5,84.5,2025-03-31T20:25:14.211Z,2025-03-31T20:25:15Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615080983,140,67.0,5615080987,212,7.1,5615080981,56,Left,5615080985,141,90.6,5615080989,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431543,121,1,1,16,23,bsykw9d70ffqe9atosc92n1e9,1,67.0,90.6,2025-03-31T20:25:15.395Z,2025-03-31T21:25:07Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615081025,140,57.6,5615081031,213,3.55,5615081029,212,10.7,5615081023,56,Left,5615081027,141,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431565,122,1,1,16,24,bsykw9d70ffqe9atosc92n1e9,1,57.6,84.4,2025-03-31T20:25:16.644Z,2025-03-31T20:25:19Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615081173,212,11.1,5615081171,141,68.8,5615081167,56,Center,5615081175,213,5.00,5615081169,140,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431591,123,1,1,16,26,bsykw9d70ffqe9atosc92n1e9,1,60.9,65.7,2025-03-31T20:25:19.099Z,2025-03-31T20:25:22Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615081329,56,Center,5615081333,141,34.9,5615081337,213,4.87,5615081331,140,64.1,5615081335,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431619,124,1,1,16,30,bsykw9d70ffqe9atosc92n1e9,1,64.6,24.7,2025-03-31T20:25:22.132Z,2025-03-31T20:25:25Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615081483,140,75.8,5615081487,212,16.1,5615081481,56,Right,5615081489,213,5.53,5615081485,141,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431623,125,3,1,16,33,bsykw9d70ffqe9atosc92n1e9,1,72.4,7.8,2025-03-31T20:25:25.580Z,2025-03-31T21:26:03Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615081541,233,144,5615081533,286,,5615081531,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431621,144,45,1,16,33,8q6cv8g4bd3xdl7m88kll16na,0,27.6,92.2,2025-03-31T20:25:25.580Z,2025-03-31T21:26:03Z,9xxdec5pv5plas9ve4ehs4nop,E. Sørensen,,,5615081493,56,Back,5615081495,285,,5615081547,233,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431629,126,1,1,16,34,bsykw9d70ffqe9atosc92n1e9,1,69.2,20.6,2025-03-31T20:25:26.995Z,2025-03-31T20:25:29Z,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,5615081587,141,44.3,5615081591,213,2.40,5615081583,56,Center,5615081585,140,52.3,5615081589,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431647,127,1,1,16,36,bsykw9d70ffqe9atosc92n1e9,1,52.3,44.3,2025-03-31T20:25:28.979Z,2025-03-31T20:25:32Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615081697,56,Center,5615081709,213,1.43,5615081705,212,15.1,5615081701,141,66.3,5615081699,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431685,128,1,1,16,40,bsykw9d70ffqe9atosc92n1e9,1,57.2,68.8,2025-03-31T20:25:32.443Z,2025-03-31T20:25:35Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615081911,141,93.9,5615081913,212,19.4,5615081907,56,Left,5615081915,213,1.07,5615081909,140,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431699,129,1,1,16,43,bsykw9d70ffqe9atosc92n1e9,1,66.0,93.6,2025-03-31T20:25:35.587Z,2025-03-31T21:25:04Z,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,5615082007,140,59.5,5615082013,213,4.03,5615082011,212,10.8,5615082009,141,81.2,5615082005,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431717,130,1,1,16,46,bsykw9d70ffqe9atosc92n1e9,1,59.8,72.7,2025-03-31T20:25:38.499Z,2025-03-31T20:25:41Z,18paxu0ihqdu4kbd2ddi5z1t5,M. Roseth,,,5615082103,212,13.6,5615082101,141,54.9,5615082105,213,4.23,5615082099,140,53.8,5615082097,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431731,131,1,1,16,48,bsykw9d70ffqe9atosc92n1e9,1,54.3,48.1,2025-03-31T20:25:40.884Z,2025-03-31T20:25:43Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615082215,56,Center,5615082219,141,29.1,5615082217,140,56.2,5615082223,213,4.87,5615082221,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431747,132,1,1,16,51,bsykw9d70ffqe9atosc92n1e9,1,56.7,28.3,2025-03-31T20:25:43.396Z,2025-03-31T20:25:45Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615082347,213,0.59,5615082343,141,34.9,5615082341,140,63.1,5615082339,56,Center,5615082345,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431755,133,1,1,16,53,bsykw9d70ffqe9atosc92n1e9,1,66.0,35.8,2025-03-31T20:25:45.627Z,2025-03-31T20:25:47Z,3h8jot3v5xxuwzukt6n15jwlx,J. Bell,,,5615082399,213,3.93,5615082395,141,27.4,5615082397,212,8.0,5615082391,56,Center,5615082393,140,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431805,134,1,1,16,54,bsykw9d70ffqe9atosc92n1e9,1,60.6,27.3,2025-03-31T20:25:47.059Z,2025-03-31T20:25:53Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615082725,56,Center,5615082729,141,49.4,5615082733,213,2.05,5615082731,212,17.0,5615082727,140,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431831,135,1,1,17,0,bsykw9d70ffqe9atosc92n1e9,1,54.5,57.3,2025-03-31T20:25:53.075Z,2025-03-31T20:25:56Z,b2isr7ljn9jmt19iiweudegyy,H. Falchener,,,5615082829,212,16.1,5615082831,213,4.87,5615082825,140,56.9,5615082823,56,Center,5615082827,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794431851,136,1,1,17,4,bsykw9d70ffqe9atosc92n1e9,1,55.5,30.0,2025-03-31T20:25:56.155Z,2025-03-31T20:25:59Z,rqzgkxjy310eosvc4w7red49,A. Bærtelsen,,,5615082945,212,14.5,5615082947,213,1.81,5615082943,141,50.7,5615082941,140,52.3,5615082939,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
