id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2820722211,108,1,1,11,33,6oxoag5c6zbnn09wx08vz4iak,1,45.8,79.4,2025-06-01T15:12:44.866Z,2025-06-01T15:12:46Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760341353,213,0.70,5760341341,56,Left,5760341351,212,8.8,5760341349,141,87.7,5760341345,140,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722227,109,1,1,11,34,6oxoag5c6zbnn09wx08vz4iak,1,52.2,87.7,2025-06-01T15:12:46.146Z,2025-06-01T15:12:47Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760341443,213,3.91,5760341437,140,42.5,5760341441,212,14.2,5760341439,141,73.2,5760341435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722277,110,1,1,11,35,6oxoag5c6zbnn09wx08vz4iak,1,42.5,73.2,2025-06-01T15:12:47.138Z,2025-06-01T15:12:53Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760341689,212,21.5,5760341685,141,42.1,5760341691,213,4.52,5760341675,56,Back,5760341681,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722307,111,1,1,11,41,6oxoag5c6zbnn09wx08vz4iak,1,44.7,45.4,2025-06-01T15:12:52.892Z,2025-06-01T15:12:57Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760341889,56,Back,5760341897,212,17.6,5760341899,213,1.64,5760341895,141,71.2,5760341893,140,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722321,112,1,1,11,45,6oxoag5c6zbnn09wx08vz4iak,1,39.1,66.9,2025-06-01T15:12:57.037Z,2025-06-01T15:13:00Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5760342003,212,18.1,5760342005,213,4.60,5760342001,141,40.4,5760341997,56,Back,5760341999,140,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722331,113,1,1,11,48,6oxoag5c6zbnn09wx08vz4iak,0,35.7,38.6,2025-06-01T15:13:00.125Z,2025-06-01T15:13:02Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760342095,213,4.66,5760342087,56,Back,5760342089,140,34.3,5760342093,212,27.6,5760342091,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722409,96,5,1,11,50,uqspd1bx7f6mq8ohj50u1k1k,1,59.3,101.8,2025-06-01T15:13:02.272Z,2025-06-01T17:17:40Z,8qmrc7p7k4bod8ojxl5ib6ot0,D. Tufekčić,,,5760342533,233,114,5760342509,56,Left,5760342511,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722333,114,5,1,11,50,6oxoag5c6zbnn09wx08vz4iak,0,40.7,-1.8,2025-06-01T15:13:02.272Z,2025-06-01T17:17:40Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760342555,233,96,5760342101,347,,5760342099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722451,97,1,1,12,6,uqspd1bx7f6mq8ohj50u1k1k,1,54.3,100.0,2025-06-01T15:13:18.257Z,2025-06-01T15:13:24Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760342727,107,,5760342735,212,14.0,5760342737,213,5.76,5760342729,56,Left,5760342733,141,91.4,5760342731,140,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722455,98,61,1,12,12,uqspd1bx7f6mq8ohj50u1k1k,0,73.6,93.2,2025-06-01T15:13:23.970Z,2025-06-01T15:13:24Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5760342755,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722457,99,5,1,12,13,uqspd1bx7f6mq8ohj50u1k1k,0,73.8,101.4,2025-06-01T15:13:25.242Z,2025-06-01T17:17:41Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5760342981,233,115,5760342765,56,Left,5760342767,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722495,115,5,1,12,13,6oxoag5c6zbnn09wx08vz4iak,1,26.2,-1.4,2025-06-01T15:13:25.242Z,2025-06-01T17:17:40Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760342969,233,99,5760342945,56,Back,5760342947,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722517,116,1,1,12,18,6oxoag5c6zbnn09wx08vz4iak,0,21.8,0.0,2025-06-01T15:13:29.955Z,2025-06-01T15:13:34Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760343093,212,27.0,5760343095,213,0.32,5760343087,56,Back,5760343089,140,46.2,5760343085,107,,5760343097,1,,5760343091,141,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722533,100,43,1,12,24,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-06-01T15:13:35.922Z,2025-06-01T15:13:46Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760343491,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722541,101,61,1,12,24,uqspd1bx7f6mq8ohj50u1k1k,0,52.8,87.8,2025-06-01T15:13:36.297Z,2025-06-01T15:15:46Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760343257,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722561,102,5,1,12,25,uqspd1bx7f6mq8ohj50u1k1k,0,49.2,101.6,2025-06-01T15:13:37.313Z,2025-06-01T17:17:41Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760347475,233,117,5760343377,347,,5760343375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722585,117,5,1,12,25,6oxoag5c6zbnn09wx08vz4iak,1,50.8,-1.6,2025-06-01T15:13:37.313Z,2025-06-01T17:17:41Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5760343509,56,Right,5760343511,347,,5760347445,233,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722599,118,1,1,12,34,6oxoag5c6zbnn09wx08vz4iak,1,43.7,0.0,2025-06-01T15:13:46.258Z,2025-06-01T15:13:47Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760343607,141,12.5,5760343605,140,42.2,5760343609,212,9.6,5760343603,56,Back,5760343611,213,1.74,5760343601,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722605,119,1,1,12,36,6oxoag5c6zbnn09wx08vz4iak,0,41.8,12.3,2025-06-01T15:13:47.594Z,2025-06-01T15:13:48Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760343653,141,7.9,5760343651,140,39.8,5760343655,212,3.7,5760343657,213,4.10,5760343649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722625,103,8,1,12,40,uqspd1bx7f6mq8ohj50u1k1k,1,56.5,86.3,2025-06-01T15:13:51.857Z,2025-06-01T17:11:04Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5760343781,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820720121,56,1,1,12,40,uqspd1bx7f6mq8ohj50u1k1k,0,64.2,97.1,2025-06-01T15:13:52.451Z,2025-06-01T15:49:32Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5760408207,140,65.5,5760408213,213,4.98,5760408209,141,89.7,5760329453,56,Left,5760408211,212,5.2,5760413267,233,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722633,120,8,1,12,42,6oxoag5c6zbnn09wx08vz4iak,1,38.6,10.9,2025-06-01T15:13:53.809Z,2025-06-01T17:10:56Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760343823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722653,105,1,1,12,46,uqspd1bx7f6mq8ohj50u1k1k,0,45.2,82.2,2025-06-01T15:13:57.561Z,2025-06-01T17:10:53Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760343959,140,43.9,5760414199,233,394,5760414197,236,,5760343957,56,Back,5760343965,213,2.68,5760414203,286,,5760343961,141,83.2,5760343963,212,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820734547,394,74,1,12,46,6oxoag5c6zbnn09wx08vz4iak,1,58.1,16.0,2025-06-01T15:13:57.562Z,2025-06-01T17:13:20Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5760413305,233,105,5760413241,56,Right,5760413243,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820734543,393,1,1,12,47,6oxoag5c6zbnn09wx08vz4iak,0,38.3,22.7,2025-06-01T15:13:59.286Z,2025-06-01T16:41:35Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5760414649,140,70.7,5760414657,1,,5760414647,56,Center,5760414655,213,0.83,5760414651,141,76.9,5760414653,212,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722647,104,1,1,12,48,uqspd1bx7f6mq8ohj50u1k1k,1,28.1,14.6,2025-06-01T15:14:00.361Z,2025-06-01T17:10:33Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5760410863,213,2.35,5760410855,56,Back,5760410859,141,43.8,5760410857,140,9.5,5760410861,212,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722683,106,1,1,12,49,uqspd1bx7f6mq8ohj50u1k1k,1,10.3,55.7,2025-06-01T15:14:01.345Z,2025-06-01T15:50:40Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5760344131,56,Back,5760344137,212,26.6,5760344139,213,1.30,5760344135,141,93.5,5760344133,140,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722707,107,1,1,12,51,uqspd1bx7f6mq8ohj50u1k1k,1,15.8,91.1,2025-06-01T15:14:02.761Z,2025-06-01T15:14:05Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760344269,213,4.17,5760344265,141,73.0,5760344267,212,14.4,5760344263,140,8.7,5760344261,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722729,108,1,1,12,53,uqspd1bx7f6mq8ohj50u1k1k,0,8.7,72.9,2025-06-01T15:14:05.369Z,2025-06-01T15:14:08Z,45d87fg5d9k6rvgkkoqcdr384,A. Sæther,,,5760344371,141,68.5,5760344373,212,58.1,5760344377,1,,5760344367,56,Center,5760344375,213,6.23,5760344369,140,64.0,5760344365,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722743,121,12,1,12,57,6oxoag5c6zbnn09wx08vz4iak,1,37.3,23.3,2025-06-01T15:14:09.491Z,2025-06-01T16:42:03Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760528015,15,,5760344453,213,2.04,5760344449,141,37.0,5760344445,56,Back,5760344447,140,32.8,5760344451,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722767,123,1,1,12,59,6oxoag5c6zbnn09wx08vz4iak,1,31.8,46.0,2025-06-01T15:14:11.364Z,2025-06-01T15:14:15Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760344573,140,12.4,5760344579,213,2.93,5760344575,141,52.4,5760344577,212,20.8,5760344571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722791,124,1,1,13,3,6oxoag5c6zbnn09wx08vz4iak,1,10.8,54.2,2025-06-01T15:14:15.114Z,2025-06-01T15:14:20Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5760344725,213,5.53,5760344727,1,,5760344717,56,Back,5760344723,212,39.8,5760344715,155,,5760344719,140,38.4,5760344721,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722805,125,1,1,13,8,6oxoag5c6zbnn09wx08vz4iak,1,36.7,14.4,2025-06-01T15:14:20.314Z,2025-06-01T15:14:23Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760344801,213,2.77,5760344793,56,Back,5760344797,141,21.2,5760344795,140,25.4,5760344799,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722829,126,1,1,13,12,6oxoag5c6zbnn09wx08vz4iak,1,25.2,23.6,2025-06-01T15:14:23.635Z,2025-06-01T15:14:26Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760344931,140,6.9,5760344933,141,55.2,5760344937,213,2.30,5760344929,56,Back,5760344935,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722875,127,1,1,13,14,6oxoag5c6zbnn09wx08vz4iak,1,6.3,55.5,2025-06-01T15:14:26.251Z,2025-06-01T15:14:35Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5760345195,212,40.2,5760345199,1,,5760345197,213,5.37,5760345189,56,Back,5760345193,141,8.8,5760345191,140,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722897,128,1,1,13,23,6oxoag5c6zbnn09wx08vz4iak,1,39.6,9.4,2025-06-01T15:14:35.546Z,2025-06-01T15:14:44Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760345291,56,Back,5760345297,212,12.0,5760345299,213,2.43,5760345295,141,20.9,5760345293,140,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722915,129,1,1,13,32,6oxoag5c6zbnn09wx08vz4iak,1,45.6,41.3,2025-06-01T15:14:44.097Z,2025-06-01T15:14:47Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760345397,212,23.1,5760345395,141,75.1,5760345399,213,1.47,5760345393,140,47.9,5760345391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820722937,130,1,1,13,36,6oxoag5c6zbnn09wx08vz4iak,1,48.0,90.5,2025-06-01T15:14:48.377Z,2025-06-01T15:14:49Z,9se6a4pxhy13alu316ttx2vhl,J. Sery Larsen,,,5760345501,141,93.3,5760345505,213,0.36,5760345497,56,Left,5760345499,140,52.8,5760345503,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723021,131,1,1,13,37,6oxoag5c6zbnn09wx08vz4iak,1,53.2,93.2,2025-06-01T15:14:49.529Z,2025-06-01T15:15:00Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760345913,56,Center,5760345917,141,47.6,5760345921,213,5.41,5760345919,212,40.4,5760345915,140,77.9,5760345911,155,,5760345923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723279,132,1,1,13,43,6oxoag5c6zbnn09wx08vz4iak,1,79.4,40.4,2025-06-01T15:14:54.972Z,2025-06-01T15:16:07Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,1.0,5760347481,140,87.1,5760347981,210,16,5760347479,56,Center,5760347487,213,0.73,5760347985,22,,5760347485,212,10.8,5760347983,154,,5760347483,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723281,133,16,1,13,44,6oxoag5c6zbnn09wx08vz4iak,1,87.9,45.8,2025-06-01T15:14:55.777Z,2025-06-01T15:16:08Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5760347491,22,,5760348005,55,132,5760347741,374,2025-06-01 16:14:54.996,5760348015,230,97.8,5760348017,231,48.6,5760347737,20,,5760347745,375,13:43.440,5760348011,103,26.6,5760348001,29,5760348013,214,,5760348009,102,46.5,5760347495,17,,5760347999,81,,5760347497,56,,Center,5760348003,154,,,,,,,,,,,,
2820723359,109,1,1,14,53,uqspd1bx7f6mq8ohj50u1k1k,1,49.8,50.1,2025-06-01T15:16:05.194Z,2025-06-01T15:16:13Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5760348045,213,3.64,5760348047,279,G,5760348043,212,25.6,5760348341,189,,5760348037,56,Back,5760348039,140,28.3,5760348041,141,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723365,110,1,1,14,56,uqspd1bx7f6mq8ohj50u1k1k,0,28.3,32.2,2025-06-01T15:16:08.329Z,2025-06-01T15:16:13Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5760348083,140,56.5,5760348089,213,5.83,5760348085,141,10.9,5760348087,212,33.0,5760348253,189,,5760348079,56,Right,5760348075,157,,5760348091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723393,134,61,1,14,58,6oxoag5c6zbnn09wx08vz4iak,1,39.9,93.5,2025-06-01T15:16:09.788Z,2025-06-01T15:51:30Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760348295,189,,5760348241,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723391,111,5,1,14,59,uqspd1bx7f6mq8ohj50u1k1k,1,58.9,-2.0,2025-06-01T15:16:10.721Z,2025-06-01T17:17:42Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5760348229,347,,5760348227,56,Right,5760348369,233,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723409,135,5,1,14,59,6oxoag5c6zbnn09wx08vz4iak,0,41.1,102.0,2025-06-01T15:16:10.721Z,2025-06-01T17:17:42Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760348421,189,,5760348395,233,111,5760348347,56,Back,5760348349,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723455,112,1,1,15,9,uqspd1bx7f6mq8ohj50u1k1k,0,55.7,0.0,2025-06-01T15:16:21.449Z,2025-06-01T15:16:23Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5760348621,56,Center,5760348619,107,,5760348623,140,62.2,5760348645,189,,5760348627,212,18.6,5760348625,141,23.4,5760348629,213,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723473,136,1,1,15,12,6oxoag5c6zbnn09wx08vz4iak,1,34.1,75.0,2025-06-01T15:16:23.728Z,2025-06-01T15:16:24Z,3m2o0t6siupip9y3sco71fe5m,E. Guðmundsson,,,5760348711,140,33.2,5760348709,56,Back,5760348713,141,82.9,5760348717,213,1.74,5760348715,212,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723477,137,1,1,15,13,6oxoag5c6zbnn09wx08vz4iak,0,32.6,79.9,2025-06-01T15:16:24.664Z,2025-06-01T17:10:46Z,gbeebtmqq3qerrs4u7ikq0ru,E. Kornvig,,,5760348735,212,10.5,5760348737,213,5.54,5760348733,141,69.5,5760348729,56,Back,5760419813,3,,5760348731,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723481,113,1,1,15,13,uqspd1bx7f6mq8ohj50u1k1k,1,60.8,23.6,2025-06-01T15:16:25.281Z,2025-06-01T17:10:40Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5760348779,212,11.6,5760348775,140,55.4,5760348769,3,,5760348777,141,38.5,5760348781,213,2.08,5760348773,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723493,114,1,1,15,14,uqspd1bx7f6mq8ohj50u1k1k,1,55.4,38.5,2025-06-01T15:16:25.977Z,2025-06-01T17:10:30Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5760348831,212,10.4,5760348825,56,Back,5760348829,141,32.5,5760348827,140,46.3,5760348833,213,3.55,5760535167,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723505,115,1,1,15,15,uqspd1bx7f6mq8ohj50u1k1k,1,46.3,32.5,2025-06-01T15:16:27.457Z,2025-06-01T16:43:51Z,15823p8n34f7coivq6wq687is,W. Igor,,,5760348951,140,52.5,5760348953,141,69.1,5760348949,56,Center,5760348957,213,1.31,5760348955,212,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723507,116,1,1,15,19,uqspd1bx7f6mq8ohj50u1k1k,0,56.1,70.3,2025-06-01T15:16:30.857Z,2025-06-01T17:10:29Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760537071,140,63.0,5760537073,141,83.6,5760348961,56,Left,5760537077,213,0.90,5760537079,1,,5760537075,212,11.6,5760537069,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723527,139,1,1,15,22,6oxoag5c6zbnn09wx08vz4iak,0,28.3,7.1,2025-06-01T15:16:34.360Z,2025-06-01T15:16:35Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760349079,236,,5760349065,212,2.4,5760349069,1,,5760349067,213,0.23,5760349081,233,117,5760349063,141,7.9,5760349057,157,,5760349059,56,Back,5760349085,286,5760349061,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723529,117,74,1,15,22,uqspd1bx7f6mq8ohj50u1k1k,1,54.4,93.9,2025-06-01T15:16:34.361Z,2025-06-01T17:13:20Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760349087,233,139,5760349077,285,,5760349075,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723533,118,5,1,15,23,uqspd1bx7f6mq8ohj50u1k1k,0,59.1,102.0,2025-06-01T15:16:35.185Z,2025-06-01T17:17:43Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5760349115,56,Left,5760349117,347,,5760349191,233,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723545,140,5,1,15,23,6oxoag5c6zbnn09wx08vz4iak,1,40.9,-2.0,2025-06-01T15:16:35.185Z,2025-06-01T17:17:43Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760349185,233,118,5760349179,347,,5760349177,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723571,141,1,1,15,27,6oxoag5c6zbnn09wx08vz4iak,1,30.6,0.0,2025-06-01T15:16:39.296Z,2025-06-01T15:16:45Z,adthn237lwxewaxsrgd6hlu51,T. Pedersen,,,5760349293,107,,5760349303,213,2.19,5760349297,140,23.7,5760349295,56,Back,5760349299,141,12.9,5760349301,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723589,142,1,1,15,33,6oxoag5c6zbnn09wx08vz4iak,1,16.2,13.7,2025-06-01T15:16:45.113Z,2025-06-01T15:16:49Z,ahe00hzfpxhe742i5db3mpe6s,E. Helland,,,5760349457,212,28.6,5760349455,141,52.1,5760349459,213,1.99,5760349451,56,Back,5760349453,140,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723609,143,1,1,15,37,6oxoag5c6zbnn09wx08vz4iak,1,6.4,53.7,2025-06-01T15:16:48.785Z,2025-06-01T15:16:52Z,mh6rotmnlhe66f2y16c3vvmd,M. Dyngeland,,,5760349551,212,26.2,5760349545,56,Back,5760349549,141,88.4,5760349547,140,17.3,5760349553,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723627,144,1,1,15,40,6oxoag5c6zbnn09wx08vz4iak,0,19.1,92.7,2025-06-01T15:16:52.392Z,2025-06-01T15:16:57Z,1n9924y1nahaf0if575wgwonp,J. Soltvedt,,,5760349649,1,,5760349645,212,54.1,5760349647,213,5.91,5760349643,141,63.7,5760349637,155,,5760349639,56,Center,5760349641,140,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723637,119,44,1,15,44,uqspd1bx7f6mq8ohj50u1k1k,1,31.0,34.5,2025-06-01T15:16:55.575Z,2025-06-01T17:17:13Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5760349753,233,145,5760349699,56,Back,5760349701,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723641,145,44,1,15,44,6oxoag5c6zbnn09wx08vz4iak,0,69.0,65.5,2025-06-01T15:16:55.576Z,2025-06-01T17:17:13Z,d4ye48utus6dfrp5jxhipjo8a,A. Heggebø,,,5760349757,233,119,5760349729,286,,5760349727,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723649,120,1,1,15,44,uqspd1bx7f6mq8ohj50u1k1k,1,28.0,31.5,2025-06-01T15:16:55.584Z,2025-06-01T17:18:03Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5760349783,3,,5760349793,213,4.89,5760349785,56,Back,5760349789,141,19.5,5760349787,140,29.4,5760349791,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820723679,122,1,1,15,47,uqspd1bx7f6mq8ohj50u1k1k,1,18.5,12.5,2025-06-01T15:16:59.337Z,2025-06-01T15:17:05Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5760349971,140,31.0,5760349973,141,8.9,5760349977,213,6.10,5760349975,212,13.4,5760349969,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
