id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2803853417,99,10,1,12,35,uqspd1bx7f6mq8ohj50u1k1k,1,8.4,52.9,2025-04-20T12:44:18.090Z,2025-04-20T12:51:31Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666969683,56,Back,5666969681,94,,5666971047,233,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803853431,100,6,1,12,36,uqspd1bx7f6mq8ohj50u1k1k,0,13.2,55.4,2025-04-20T12:44:19.134Z,2025-04-20T13:30:40Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666969789,56,Back,5666969925,233,168,5666969791,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803853427,168,6,1,12,36,80hgdmpkvdrhw1ge9nks2kxvy,1,86.8,44.6,2025-04-20T12:44:19.134Z,2025-04-20T12:44:21Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666969851,56,Center,5666969875,233,100,5666969853,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854081,169,1,1,13,8,80hgdmpkvdrhw1ge9nks2kxvy,1,99.5,0.5,2025-04-20T12:44:50.318Z,2025-04-20T12:44:57Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,,5666973253,155,,5666973255,223,,5666973261,141,57.3,5666973267,1,,5666973257,56,Center,5666973259,140,95.6,5666973249,2,,5666973263,212,38.8,5666973265,213,1.68,5666973251,6,,,,,,,,,,,,,,,,,,,,,,,,
2803854085,170,44,1,13,11,80hgdmpkvdrhw1ge9nks2kxvy,1,93.9,64.4,2025-04-20T12:44:53.308Z,2025-04-20T13:30:59Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666973289,56,Center,5666973413,233,101,5666973291,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854071,101,44,1,13,11,uqspd1bx7f6mq8ohj50u1k1k,0,6.1,35.6,2025-04-20T12:44:53.309Z,2025-04-20T13:31:00Z,15823p8n34f7coivq6wq687is,W. Igor,,,5666973185,56,Back,5666973187,285,,5666973429,233,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854103,171,1,1,13,11,80hgdmpkvdrhw1ge9nks2kxvy,0,95.6,57.3,2025-04-20T12:44:54.262Z,2025-04-20T12:44:55Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666973383,3,,5666973387,140,92.4,5666973385,56,Center,5666973391,212,4.5,5666973393,213,3.88,5666973389,141,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854097,102,61,1,13,12,uqspd1bx7f6mq8ohj50u1k1k,1,7.1,31.2,2025-04-20T12:44:54.696Z,2025-04-20T12:44:54Z,15823p8n34f7coivq6wq687is,W. Igor,,,5666973357,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854131,103,44,1,13,14,uqspd1bx7f6mq8ohj50u1k1k,1,8.0,42.6,2025-04-20T12:44:56.463Z,2025-04-20T13:31:00Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666973527,285,,5666973525,56,Back,5666973685,233,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854137,172,44,1,13,14,80hgdmpkvdrhw1ge9nks2kxvy,0,92.0,57.4,2025-04-20T12:44:56.464Z,2025-04-20T13:31:00Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666973791,233,103,5666973541,56,Center,5666973543,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854141,104,12,1,13,14,uqspd1bx7f6mq8ohj50u1k1k,1,7.0,50.5,2025-04-20T12:44:56.958Z,2025-04-20T12:53:09Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5667012415,15,,5666973559,140,14.0,5666973561,141,52.6,5666973557,56,Back,5666973563,212,7.5,5666973565,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854143,105,43,1,13,14,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-20T12:44:56.962Z,2025-04-20T12:52:05Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666973611,212,13.8,5667013151,144,1,5666973595,2,0,5666973599,155,0,5666973603,56,Back,5666973607,141,47.3,5666973605,140,18.7,5666973615,213,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854175,173,15,1,13,16,80hgdmpkvdrhw1ge9nks2kxvy,1,90.8,48.7,2025-04-20T12:44:58.437Z,2025-04-20T15:25:54Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5666975205,102,51.4,5666975217,100,,5666975235,231,48.4,5666975195,25,,5666975305,233,106,5666975211,328,,5666975225,147,48.2,5666973711,56,Center,5666974667,82,,5666975207,103,5666975221,146,5666975215,458,5666975229,230,97.7,5666973709,17,,19,5666975199,78,95.2,,5666974663,20,,,,,,,
2803854209,106,10,1,13,16,uqspd1bx7f6mq8ohj50u1k1k,1,4.8,51.8,2025-04-20T12:44:58.537Z,2025-04-20T12:52:54Z,94s19kazaywfzrg007vsha6wa,R. Alte,,,5666975311,233,173,5666973943,94,,5666973945,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854223,108,12,1,13,17,uqspd1bx7f6mq8ohj50u1k1k,1,15.4,65.2,2025-04-20T12:44:59.887Z,2025-04-20T12:52:57Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5667014359,140,14.1,5667014363,212,14.9,5667014365,213,4.62,5666973991,56,Back,5667014361,141,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854217,107,43,1,13,18,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-20T12:45:00.726Z,2025-04-20T12:52:30Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5667014863,144,10,5666973967,56,Back,5666973965,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854275,109,44,1,13,18,uqspd1bx7f6mq8ohj50u1k1k,1,13.1,52.4,2025-04-20T12:45:00.885Z,2025-04-20T15:25:36Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5667691911,233,175,5666974209,56,Back,5666974211,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854219,175,44,1,13,18,80hgdmpkvdrhw1ge9nks2kxvy,0,86.9,47.6,2025-04-20T12:45:00.886Z,2025-04-20T15:25:37Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666977431,286,,5667691943,233,109,5666977429,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854281,110,12,1,13,19,uqspd1bx7f6mq8ohj50u1k1k,1,15.6,50.7,2025-04-20T12:45:01.334Z,2025-04-20T15:25:14Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666974259,213,5.38,5666974275,15,,5666974251,56,Back,5666974253,140,20.4,5666974257,212,8.1,5666974255,141,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854315,111,4,1,13,24,uqspd1bx7f6mq8ohj50u1k1k,1,22.0,43.6,2025-04-20T12:45:06.534Z,2025-04-20T13:30:36Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666974529,265,,5666974523,13,,5666974583,233,180,5666974527,152,,5666974525,56,Back,5666974531,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854319,180,4,1,13,24,80hgdmpkvdrhw1ge9nks2kxvy,0,78.0,56.4,2025-04-20T12:45:06.535Z,2025-04-20T13:30:37Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666974561,152,,5666974639,233,111,5666974557,13,,5666974563,265,,5666974565,286,,5666974559,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854901,112,1,1,13,51,uqspd1bx7f6mq8ohj50u1k1k,0,22.4,44.8,2025-04-20T12:45:33.366Z,2025-04-20T12:53:16Z,8u1ii0vmhpub1p2gbsk1w7yzt,M. Lansing,,,5666977517,212,53.9,5666977513,141,14.1,5666977505,56,Right,5666977521,213,5.89,5666977497,157,,5666977495,5,,5666977523,1,,5666977499,152,,5666977509,140,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854913,113,43,1,13,54,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-20T12:45:37.190Z,2025-04-20T12:45:51Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666979187,144,44,5666977575,286,0,5666977573,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854935,181,44,1,13,55,80hgdmpkvdrhw1ge9nks2kxvy,1,29.8,82.3,2025-04-20T12:45:37.357Z,2025-04-20T13:31:01Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666977661,56,Back,5666977667,285,,5666977733,233,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854921,114,44,1,13,55,uqspd1bx7f6mq8ohj50u1k1k,0,70.2,17.7,2025-04-20T12:45:37.358Z,2025-04-20T13:31:01Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666977757,233,181,5666977605,286,,5666977603,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803854975,182,1,1,13,55,80hgdmpkvdrhw1ge9nks2kxvy,0,28.1,76.6,2025-04-20T12:45:37.493Z,2025-04-20T15:24:57Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666977881,212,7.1,5666977877,140,33.0,5666977875,56,Back,5666977873,3,,5666977883,213,0.77,5666977879,141,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855017,183,61,1,13,59,80hgdmpkvdrhw1ge9nks2kxvy,0,26.3,85.4,2025-04-20T12:45:42.212Z,2025-04-20T12:45:42Z,cd0g5e95qabgsw4gl3b8ijoid,K. Antonsen,,,5666978101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855087,115,3,1,14,2,uqspd1bx7f6mq8ohj50u1k1k,1,87.2,10.0,2025-04-20T12:45:44.495Z,2025-04-20T12:45:49Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666978443,286,,5666978441,56,Right,5666978499,233,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855079,184,45,1,14,2,80hgdmpkvdrhw1ge9nks2kxvy,0,12.8,90.0,2025-04-20T12:45:44.495Z,2025-04-20T12:45:50Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5666978541,233,115,5666978395,285,,5666978393,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855179,116,1,1,14,3,uqspd1bx7f6mq8ohj50u1k1k,0,91.3,4.4,2025-04-20T12:45:45.319Z,2025-04-20T12:45:50Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666978949,2,,5666978951,155,,5666978959,212,15.7,5666978953,56,Center,5666978955,140,90.0,5666978961,213,1.66,5666978957,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855189,185,12,1,14,7,80hgdmpkvdrhw1ge9nks2kxvy,1,8.3,69.1,2025-04-20T12:45:49.357Z,2025-04-20T12:45:50Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666979081,212,14.8,5666979075,56,Back,5666979083,213,4.88,5666979077,140,10.6,5666979079,141,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855345,187,1,1,14,15,80hgdmpkvdrhw1ge9nks2kxvy,1,10.2,36.1,2025-04-20T12:45:57.621Z,2025-04-20T12:45:59Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5666979923,56,Back,5666979987,189,,5666979927,141,17.6,5666979925,140,18.8,5666979921,123,,5666979929,212,15.5,5666979933,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855611,188,1,1,14,29,80hgdmpkvdrhw1ge9nks2kxvy,0,29.8,18.9,2025-04-20T12:46:11.605Z,2025-04-20T12:46:12Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666981279,141,26.4,5666981285,1,,5666981283,213,0.15,5666981273,157,,5666981277,140,61.7,5666981275,56,Center,5666981281,212,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855683,117,1,1,14,31,uqspd1bx7f6mq8ohj50u1k1k,1,30.4,83.0,2025-04-20T12:46:13.983Z,2025-04-20T12:46:15Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666981675,1,,5666981673,213,5.26,5666981669,141,69.3,5666981671,212,10.9,5666981663,157,,5666981665,56,Back,5666981667,140,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855705,119,1,1,14,33,uqspd1bx7f6mq8ohj50u1k1k,1,35.8,70.9,2025-04-20T12:46:15.407Z,2025-04-20T12:46:16Z,15823p8n34f7coivq6wq687is,W. Igor,,,5666981789,140,29.2,5666981795,213,3.58,5666981793,212,7.7,5666981791,141,66.1,5666981787,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855731,120,1,1,14,33,uqspd1bx7f6mq8ohj50u1k1k,1,29.4,61.7,2025-04-20T12:46:16.030Z,2025-04-20T12:46:17Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666981919,56,Back,5666981927,213,6.22,5666981925,212,17.5,5666981923,141,60.0,5666981921,140,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855751,121,1,1,14,34,uqspd1bx7f6mq8ohj50u1k1k,1,46.5,60.0,2025-04-20T12:46:17.054Z,2025-04-20T12:46:18Z,bqcjd0macjc7hmtz7zx34ym6t,R. Çorlu,,,5666982021,140,43.0,5666982027,213,3.46,5666982067,156,,5666982025,212,3.9,5666982023,141,58.2,5666982019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855861,122,1,1,14,38,uqspd1bx7f6mq8ohj50u1k1k,1,42.5,58.2,2025-04-20T12:46:20.654Z,2025-04-20T12:46:22Z,15823p8n34f7coivq6wq687is,W. Igor,,,5666982581,141,30.1,5666982577,56,Back,5666982579,140,46.1,5666982585,213,4.91,5666982583,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803855991,123,1,1,14,39,uqspd1bx7f6mq8ohj50u1k1k,1,46.3,30.0,2025-04-20T12:46:22.135Z,2025-04-20T12:46:27Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666983299,213,1.81,5666983291,56,Back,5666983293,140,41.0,5666983295,141,63.9,5666983297,212,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856071,124,1,1,14,45,uqspd1bx7f6mq8ohj50u1k1k,1,44.3,58.2,2025-04-20T12:46:27.486Z,2025-04-20T12:46:31Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666983697,56,Back,5666983703,212,15.4,5666983705,213,4.51,5666983699,140,41.4,5666983701,141,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856163,125,1,1,14,48,uqspd1bx7f6mq8ohj50u1k1k,1,44.8,32.8,2025-04-20T12:46:31.230Z,2025-04-20T12:46:35Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666984121,56,Back,5666984123,140,47.1,5666984125,141,73.9,5666984127,212,28.1,5666984129,213,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856245,126,1,1,14,53,uqspd1bx7f6mq8ohj50u1k1k,0,45.9,75.3,2025-04-20T12:46:35.614Z,2025-04-20T12:46:40Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666984569,141,98.0,5666984579,1,,5666984557,155,,5666984561,56,Left,5666984577,213,0.41,5666984565,140,79.6,5666984573,212,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856287,190,1,1,14,58,80hgdmpkvdrhw1ge9nks2kxvy,1,16.7,6.8,2025-04-20T12:46:40.804Z,2025-04-20T12:46:43Z,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,5666984825,141,25.6,5666984821,140,5.0,5666984815,56,Back,5666984829,212,17.7,5666984835,213,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856327,191,1,1,15,0,80hgdmpkvdrhw1ge9nks2kxvy,0,4.9,26.2,2025-04-20T12:46:43.068Z,2025-04-20T12:46:46Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5666985091,212,26.7,5666985085,56,Back,5666985087,140,30.2,5666985083,157,,5666985095,1,,5666985093,213,6.17,5666985089,141,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856409,127,1,1,15,8,uqspd1bx7f6mq8ohj50u1k1k,1,51.5,90.3,2025-04-20T12:46:50.742Z,2025-04-20T12:47:00Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666985541,3,,5666985551,213,5.74,5666985549,212,5.8,5666985543,56,Left,5666985547,141,85.9,5666985545,140,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856471,128,4,1,15,9,uqspd1bx7f6mq8ohj50u1k1k,1,59.6,82.6,2025-04-20T12:46:51.531Z,2025-04-20T12:46:58Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666986051,233,192,5666985981,13,,5666985989,286,,5666985987,265,,5666985985,152,,5666985983,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856421,192,4,1,15,9,80hgdmpkvdrhw1ge9nks2kxvy,0,40.4,17.4,2025-04-20T12:46:51.532Z,2025-04-20T12:46:58Z,5mvddfxv6aqzohz87gopwl990,J. Hjertø-Dahl,,,5666986089,233,128,5666985701,56,Back,5666985699,13,,5666985705,265,,5666985707,285,,5666985703,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856641,193,17,1,15,17,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-20T12:46:59.284Z,2025-04-20T16:40:13Z,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,,,5667957811,244,,5666986779,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856771,129,1,1,15,25,uqspd1bx7f6mq8ohj50u1k1k,1,46.7,87.7,2025-04-20T12:47:08.150Z,2025-04-20T12:47:10Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666987481,212,12.5,5666987473,152,,5666987475,56,Back,5666987477,140,39.1,5666987479,141,73.6,5666987471,5,,5666987483,213,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856889,130,1,1,15,28,uqspd1bx7f6mq8ohj50u1k1k,1,39.1,73.6,2025-04-20T12:47:10.391Z,2025-04-20T12:47:16Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666988109,141,57.8,5666988117,213,4.54,5666988113,212,10.9,5666988107,140,37.3,5666988105,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856775,194,83,1,15,28,80hgdmpkvdrhw1ge9nks2kxvy,0,64.8,43.1,2025-04-20T12:47:11.219Z,2025-04-20T12:47:18Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666988425,399,2vkztwfo5zi3rbsnlmwsgfjvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856899,131,4,1,15,33,uqspd1bx7f6mq8ohj50u1k1k,1,35.2,55.6,2025-04-20T12:47:15.955Z,2025-04-20T12:47:20Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666988201,13,,5666988203,56,Back,5666988207,265,,5666988205,152,,5666988209,286,,5666988299,233,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803856881,195,4,1,15,33,80hgdmpkvdrhw1ge9nks2kxvy,0,64.8,44.4,2025-04-20T12:47:15.956Z,2025-04-20T12:47:21Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666988151,265,,5666988149,152,,5666988341,233,131,5666988153,285,,5666988147,56,Center,5666988145,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857131,132,1,1,15,45,uqspd1bx7f6mq8ohj50u1k1k,1,31.4,62.3,2025-04-20T12:47:27.478Z,2025-04-20T12:47:29Z,3sfh0fq729hxtea9rzfke9979,D. Ulvestad,,,5666989447,5,,5666989455,141,49.3,5666989457,212,9.1,5666989453,140,29.5,5666989459,213,4.49,5666989449,152,,5666989451,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857181,133,1,1,15,46,uqspd1bx7f6mq8ohj50u1k1k,1,30.6,39.7,2025-04-20T12:47:29.182Z,2025-04-20T12:47:33Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666989741,56,Center,5666989749,213,6.16,5666989739,155,,5666989745,141,34.5,5666989747,212,28.4,5666989743,140,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857195,134,61,1,15,50,uqspd1bx7f6mq8ohj50u1k1k,0,58.3,26.2,2025-04-20T12:47:33.158Z,2025-04-20T12:47:33Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666989801,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857219,196,61,1,15,51,80hgdmpkvdrhw1ge9nks2kxvy,0,33.9,87.4,2025-04-20T12:47:34.003Z,2025-04-20T13:31:10Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666989935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857349,135,5,1,15,52,uqspd1bx7f6mq8ohj50u1k1k,1,62.2,-0.5,2025-04-20T12:47:34.790Z,2025-04-20T14:46:32Z,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,5666990677,233,197,5666990625,56,Right,5666990627,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857239,197,5,1,15,52,80hgdmpkvdrhw1ge9nks2kxvy,0,37.8,100.5,2025-04-20T12:47:34.790Z,2025-04-20T14:46:33Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666990035,56,Back,5666990037,347,,5666990751,233,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857393,136,1,1,16,1,uqspd1bx7f6mq8ohj50u1k1k,1,56.2,0.0,2025-04-20T12:47:43.774Z,2025-04-20T12:47:46Z,4zypjoj5r2y9fqpqxn8cd7o16,I. Hoffmann,,,5666990859,56,Back,5666990871,212,14.9,5666990863,140,42.9,5666990867,141,6.4,5666990853,107,,5666990873,213,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857511,137,1,1,16,7,uqspd1bx7f6mq8ohj50u1k1k,1,44.5,25.3,2025-04-20T12:47:50.262Z,2025-04-20T12:47:52Z,2vkztwfo5zi3rbsnlmwsgfjvu,M. Olsen,,,5666991447,155,,5666991457,212,34.7,5666991461,1,,5666991455,141,76.3,5666991459,213,1.55,5666991451,140,45.3,5666991449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857537,138,1,1,16,10,uqspd1bx7f6mq8ohj50u1k1k,1,48.0,79.3,2025-04-20T12:47:52.767Z,2025-04-20T12:47:54Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666991591,212,21.0,5666991585,140,65.5,5666991589,141,94.1,5666991581,56,Left,5666991593,213,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857643,139,1,1,16,11,uqspd1bx7f6mq8ohj50u1k1k,1,66.1,94.4,2025-04-20T12:47:53.799Z,2025-04-20T12:47:58Z,7fsqcwqftmk6lms6f6u8lpdlg,S. Kilen,,,5666991987,56,Left,5666991991,141,84.8,5666991995,213,3.56,5666991993,212,16.0,5666991989,140,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803857665,140,1,1,16,15,uqspd1bx7f6mq8ohj50u1k1k,0,53.0,84.1,2025-04-20T12:47:58.214Z,2025-04-20T12:48:00Z,6hzeyz7yomlqkb0aukl4ms6j8,M. Rakneberg,,,5666992109,212,42.4,5666992101,155,,5666992111,213,6.07,5666992113,1,,5666992103,56,Center,5666992107,141,71.1,5666992105,140,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803858013,199,1,1,16,33,80hgdmpkvdrhw1ge9nks2kxvy,1,12.3,44.3,2025-04-20T12:48:16.035Z,2025-04-20T12:48:17Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5666993815,123,,5666993817,56,Back,5666993821,141,32.2,5666993819,140,15.3,5666993823,212,8.8,5666993825,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803858077,200,1,1,16,34,80hgdmpkvdrhw1ge9nks2kxvy,1,15.3,32.2,2025-04-20T12:48:17.123Z,2025-04-20T12:48:19Z,9l89pnte9uhyc8jnads2lintg,T. Guddal,,,5666994159,56,Back,5666994167,213,1.70,5666994165,212,15.4,5666994163,141,54.6,5666994161,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803858091,201,1,1,16,37,80hgdmpkvdrhw1ge9nks2kxvy,0,18.4,64.2,2025-04-20T12:48:19.619Z,2025-04-20T12:48:20Z,451kwpccebq3457c7jw8toz4l,J. Haugaard,,,5666994215,56,Center,5666994217,140,59.6,5666994213,157,,5666994221,212,43.3,5666994233,1,,5666994227,213,6.28,5666994219,141,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
