id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2754034287,247,1,1,31,30,anga7587r1zv4ey71ge9zxol3,1,27.7,6.1,2024-12-01T13:34:02.181Z,2024-12-01T13:34:03Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395113901,140,20.0,5395113905,212,14.1,5395113907,213,2.18,5395113903,141,23.0,5395113893,3,,5395113897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034461,248,1,1,31,31,anga7587r1zv4ey71ge9zxol3,1,20.0,23.0,2024-12-01T13:34:03.686Z,2024-12-01T17:01:37Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5395114759,56,Back,5395114767,213,5.92,5395114763,141,10.7,5395114765,212,23.3,5395114761,140,40.7,5396345227,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034481,249,1,1,31,40,anga7587r1zv4ey71ge9zxol3,1,43.2,21.8,2024-12-01T13:34:12.565Z,2024-12-01T13:34:13Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395114849,141,2.8,5395114847,140,48.2,5395114851,212,13.9,5395114845,56,Back,5395114853,213,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034513,250,1,1,31,41,anga7587r1zv4ey71ge9zxol3,1,48.2,2.8,2024-12-01T13:34:13.493Z,2024-12-01T13:34:15Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395115035,213,2.52,5395115031,141,23.1,5395115033,212,23.6,5395115029,140,30.0,5395115027,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034635,251,1,1,31,43,anga7587r1zv4ey71ge9zxol3,1,30.0,23.1,2024-12-01T13:34:15.157Z,2024-12-01T13:34:21Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5395115693,212,31.8,5395115683,56,Back,5395115689,141,69.1,5395115685,140,24.3,5395115695,213,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034667,252,1,1,31,49,anga7587r1zv4ey71ge9zxol3,1,20.1,63.3,2024-12-01T13:34:21.413Z,2024-12-01T13:34:23Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5395115805,141,45.7,5395115809,213,5.37,5395115803,140,28.9,5395115807,212,15.1,5395115801,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034733,253,1,1,31,51,anga7587r1zv4ey71ge9zxol3,1,28.9,45.7,2024-12-01T13:34:23.269Z,2024-12-01T13:34:27Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395116255,213,4.22,5395116251,141,10.4,5395116249,140,16.7,5395116247,56,Back,5395116253,212,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034761,254,1,1,31,55,anga7587r1zv4ey71ge9zxol3,1,16.7,10.4,2024-12-01T13:34:27.205Z,2024-12-01T13:34:28Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5395116405,56,Back,5395116413,213,0.75,5395116407,140,23.0,5395116409,141,19.4,5395116411,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034805,255,1,1,31,56,anga7587r1zv4ey71ge9zxol3,1,23.0,19.4,2024-12-01T13:34:28.693Z,2024-12-01T13:34:32Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395116707,212,20.5,5395116703,141,47.3,5395116713,213,1.18,5395116699,140,30.5,5395116693,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034853,256,1,1,32,0,anga7587r1zv4ey71ge9zxol3,1,30.5,47.3,2024-12-01T13:34:32.564Z,2024-12-01T13:34:35Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395116935,140,38.4,5395116939,212,12.3,5395116937,141,33.9,5395116933,56,Back,5395116941,213,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034881,257,1,1,32,3,anga7587r1zv4ey71ge9zxol3,1,38.4,33.9,2024-12-01T13:34:35.189Z,2024-12-01T13:34:37Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395117065,212,22.5,5395117057,56,Center,5395117059,140,50.1,5395117067,213,0.99,5395117063,141,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034889,258,43,1,32,4,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-12-01T13:34:37.077Z,2024-12-01T13:34:54Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5395117107,286,0,5395118787,144,3,5395117105,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034923,259,4,1,32,6,anga7587r1zv4ey71ge9zxol3,1,51.5,57.4,2024-12-01T13:34:38.772Z,2024-12-01T13:58:34Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5395117345,152,,5395117641,233,262,5395117341,13,,5395117347,265,,5395117349,286,,5395117343,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754034975,262,4,1,32,6,aljua8crr0vkwit0j3m59jw9j,0,48.5,42.6,2024-12-01T13:34:38.773Z,2024-12-01T13:58:35Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5395117585,56,Back,5395117685,233,259,5395117591,285,,5395117583,13,,5395117587,152,,5395117589,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035107,260,1,1,32,10,anga7587r1zv4ey71ge9zxol3,1,52.7,65.4,2024-12-01T13:34:42.932Z,2024-12-01T13:34:47Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5395118199,141,95.7,5395118197,140,73.5,5395118193,152,,5395118203,213,0.76,5395118191,5,,5395118195,56,Left,5395118201,212,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035111,261,1,1,32,15,anga7587r1zv4ey71ge9zxol3,0,74.0,86.9,2024-12-01T13:34:47.797Z,2024-12-01T13:34:48Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395118221,212,3.6,5395118211,56,Left,5395118213,140,76.3,5395118223,213,5.44,5395118217,141,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035153,263,61,1,32,17,aljua8crr0vkwit0j3m59jw9j,1,35.9,24.9,2024-12-01T13:34:49.777Z,2024-12-01T14:00:01Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5395118413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035173,262,1,1,32,17,anga7587r1zv4ey71ge9zxol3,1,74.6,85.4,2024-12-01T13:34:49.845Z,2024-12-01T13:34:52Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5395118527,213,3.97,5395118519,56,Center,5395118523,141,70.9,5395118521,140,66.0,5395118525,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035237,263,1,1,32,19,anga7587r1zv4ey71ge9zxol3,1,65.7,69.6,2024-12-01T13:34:52.037Z,2024-12-01T13:34:55Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5395118839,140,73.7,5395118837,56,Right,5395118847,1,,5395118843,212,35.2,5395118845,213,4.95,5395118841,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035307,264,1,1,32,22,anga7587r1zv4ey71ge9zxol3,1,73.6,18.0,2024-12-01T13:34:55.076Z,2024-12-01T17:02:22Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395119239,56,Center,5395119237,155,,5395119247,213,0.94,5395119243,141,54.5,5395119241,140,90.9,5395119245,212,30.8,5396348579,224,,5395119235,2,,5396348581,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035357,265,1,1,32,26,anga7587r1zv4ey71ge9zxol3,0,89.2,55.4,2024-12-01T13:34:58.517Z,2024-12-01T13:35:01Z,39f0bq9uk4etkf75uzu6qyrmy,M. Abubakari,,,5395119535,140,97.2,5395119541,213,5.09,5395119531,3,,5395119533,56,Center,5395119539,212,22.9,5395119537,141,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035385,264,12,1,32,29,aljua8crr0vkwit0j3m59jw9j,1,0.30000000000000004,82.6,2024-12-01T13:35:01.679Z,2024-12-01T17:02:30Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395119661,212,16.9,5395119655,56,Back,5395119723,167,,5395119663,213,0.86,5395119659,141,100.0,5395119657,140,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035393,265,5,1,32,30,aljua8crr0vkwit0j3m59jw9j,0,13.4,101.4,2024-12-01T13:35:02.213Z,2024-12-01T13:58:25Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395120005,233,266,5395119687,347,,5395119685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035431,266,5,1,32,30,anga7587r1zv4ey71ge9zxol3,1,86.6,-1.4,2024-12-01T13:35:02.213Z,2024-12-01T13:58:25Z,39f0bq9uk4etkf75uzu6qyrmy,M. Abubakari,,,5395119907,56,Right,5395119909,347,,5395119925,233,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035463,267,1,1,32,33,anga7587r1zv4ey71ge9zxol3,1,82.6,0.0,2024-12-01T13:35:05.253Z,2024-12-01T13:35:06Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395120079,107,,5395120081,56,Right,5395120085,141,13.5,5395120083,140,78.4,5395120089,213,1.97,5395120087,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035503,268,1,1,32,34,anga7587r1zv4ey71ge9zxol3,1,78.4,13.5,2024-12-01T13:35:06.837Z,2024-12-01T13:35:09Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395120313,213,6.19,5395120309,141,11.6,5395120307,140,91.4,5395120311,212,13.7,5395120305,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035509,269,61,1,32,36,anga7587r1zv4ey71ge9zxol3,0,91.3,11.6,2024-12-01T13:35:08.980Z,2024-12-01T13:35:09Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395120345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035511,266,61,1,32,37,aljua8crr0vkwit0j3m59jw9j,1,12.2,90.7,2024-12-01T13:35:09.326Z,2024-12-01T14:00:19Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5395120347,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035559,268,1,1,32,38,aljua8crr0vkwit0j3m59jw9j,1,11.8,87.3,2024-12-01T13:35:10.367Z,2024-12-01T13:35:11Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395120575,213,0.83,5395120571,141,97.1,5395120567,56,Back,5395120569,140,17.6,5395120573,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035571,269,3,1,32,39,aljua8crr0vkwit0j3m59jw9j,0,24.2,96.4,2024-12-01T13:35:11.710Z,2024-12-01T19:06:22Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5396350699,285,,5395120641,56,Back,5396351063,465,,5396724421,233,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035617,270,7,1,32,39,anga7587r1zv4ey71ge9zxol3,1,75.8,3.6,2024-12-01T13:35:11.711Z,2024-12-01T19:06:21Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5396351319,167,,5396873141,389,,5395120825,56,Right,5396350875,286,,5396351321,385,,5396724415,233,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035711,270,5,1,32,43,aljua8crr0vkwit0j3m59jw9j,1,21.2,101.6,2024-12-01T13:35:15.478Z,2024-12-01T13:58:26Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395121333,347,,5395121331,56,Back,5395121429,233,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035631,271,5,1,32,43,anga7587r1zv4ey71ge9zxol3,0,78.8,-1.6,2024-12-01T13:35:15.478Z,2024-12-01T13:37:02Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5395120907,347,,5395121455,233,270,5395120905,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035849,271,1,1,32,53,aljua8crr0vkwit0j3m59jw9j,1,19.5,100.0,2024-12-01T13:35:25.582Z,2024-12-01T13:35:27Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395122081,141,97.5,5395122077,56,Back,5395122079,140,28.8,5395122085,213,6.04,5395122083,212,10.1,5395122075,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035877,272,83,1,32,54,anga7587r1zv4ey71ge9zxol3,0,73.8,9.5,2024-12-01T13:35:26.100Z,2024-12-01T17:03:34Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395122353,399,3ejggtt1du1cui3wc1f8oqx62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035915,272,1,1,32,55,aljua8crr0vkwit0j3m59jw9j,1,30.3,94.9,2024-12-01T13:35:27.343Z,2024-12-01T13:35:29Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395122289,56,Back,5395122297,213,4.38,5395122293,141,76.2,5395122291,140,26.1,5395122295,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035919,273,1,1,32,57,aljua8crr0vkwit0j3m59jw9j,0,26.0,76.2,2024-12-01T13:35:29.392Z,2024-12-01T13:35:29Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5395122325,213,0.53,5395122319,140,29.0,5395122323,212,3.6,5395122317,56,Back,5395122321,141,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035937,273,61,1,32,58,anga7587r1zv4ey71ge9zxol3,1,68.1,10.0,2024-12-01T13:35:30.964Z,2024-12-01T17:03:25Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5395122401,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754035985,274,4,1,33,1,aljua8crr0vkwit0j3m59jw9j,1,33.6,94.5,2024-12-01T13:35:33.151Z,2024-12-01T13:58:35Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395122883,286,,5395122693,152,,5395122689,13,,5395122879,233,274,5395122695,265,,5395122691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036007,274,4,1,33,1,anga7587r1zv4ey71ge9zxol3,0,66.4,5.5,2024-12-01T13:35:33.152Z,2024-12-01T13:58:35Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5395122849,152,,5395122847,56,Right,5395122899,233,274,5395122851,265,,5395122853,285,,5395122845,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754262407,885,1,1,33,21,aljua8crr0vkwit0j3m59jw9j,1,39.6,96.5,2024-12-01T13:35:53.497Z,2024-12-01T17:04:00Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5396355787,5,,5396355789,152,,5396355793,140,30.5,5396355799,213,3.58,5396355797,212,10.6,5396355929,189,,5396355791,56,Back,5396355795,141,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036433,275,1,1,33,22,aljua8crr0vkwit0j3m59jw9j,1,29.0,84.9,2024-12-01T13:35:54.542Z,2024-12-01T17:04:02Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5395124971,212,35.6,5395124965,56,Back,5395124967,140,31.6,5395124969,141,32.7,5395124973,213,4.79,5395124977,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036509,276,1,1,33,25,aljua8crr0vkwit0j3m59jw9j,1,31.9,29.8,2024-12-01T13:35:57.279Z,2024-12-01T13:36:00Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395125345,140,44.6,5395125351,213,5.42,5395125343,56,Back,5395125349,212,20.4,5395125347,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036573,277,1,1,33,28,aljua8crr0vkwit0j3m59jw9j,1,44.6,7.3,2024-12-01T13:36:00.159Z,2024-12-01T13:36:03Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5395125655,141,17.6,5395125651,56,Back,5395125653,140,32.6,5395125659,213,2.63,5395125657,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036639,278,1,1,33,31,aljua8crr0vkwit0j3m59jw9j,1,32.8,15.1,2024-12-01T13:36:03.230Z,2024-12-01T13:36:05Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395125907,140,25.2,5395125909,141,53.2,5395125911,212,27.1,5395125913,213,1.87,5395125905,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036699,279,1,1,33,33,aljua8crr0vkwit0j3m59jw9j,1,25.2,53.2,2024-12-01T13:36:05.678Z,2024-12-01T13:36:09Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5395126217,213,4.71,5395126213,141,29.0,5395126209,56,Back,5395126211,140,25.2,5395126215,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036773,280,1,1,33,36,aljua8crr0vkwit0j3m59jw9j,1,25.2,28.7,2024-12-01T13:36:08.862Z,2024-12-01T13:36:13Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395126657,141,6.9,5395126653,140,40.4,5395126663,213,5.53,5395126649,56,Back,5395126661,212,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036787,275,45,1,33,41,anga7587r1zv4ey71ge9zxol3,0,61.4,94.7,2024-12-01T13:36:13.471Z,2024-12-01T14:27:26Z,9pnirb3qt48zeui3su8cvu1ka,J. Amon,,,5395126733,56,Left,5395127019,233,281,5395126735,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036827,281,3,1,33,41,aljua8crr0vkwit0j3m59jw9j,1,38.6,5.3,2024-12-01T13:36:13.471Z,2024-12-01T17:04:14Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5396356921,464,,5395126967,233,275,5395126921,56,Back,5395126925,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036877,282,1,1,33,43,aljua8crr0vkwit0j3m59jw9j,1,39.9,8.9,2024-12-01T13:36:15.678Z,2024-12-01T13:36:18Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5395127275,141,17.4,5395127271,56,Back,5395127277,212,11.1,5395127279,213,2.59,5395127273,140,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036907,283,1,1,33,46,aljua8crr0vkwit0j3m59jw9j,1,30.2,18.7,2024-12-01T13:36:18.606Z,2024-12-01T13:36:20Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395127435,212,25.5,5395127431,140,12.6,5395127433,141,44.6,5395127437,213,2.38,5395127429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754036957,284,1,1,33,48,aljua8crr0vkwit0j3m59jw9j,1,12.4,44.6,2024-12-01T13:36:20.238Z,2024-12-01T13:36:23Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5395127763,141,72.2,5395127767,213,1.20,5395127759,56,Back,5395127761,140,19.4,5395127765,212,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037003,285,1,1,33,51,aljua8crr0vkwit0j3m59jw9j,1,19.7,72.2,2024-12-01T13:36:23.454Z,2024-12-01T13:36:26Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5395128035,56,Back,5395128041,212,15.7,5395128037,140,9.3,5395128039,141,55.7,5395128043,213,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037059,286,1,1,33,54,aljua8crr0vkwit0j3m59jw9j,1,9.3,55.7,2024-12-01T13:36:26.495Z,2024-12-01T13:36:28Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395128275,140,26.5,5395128281,213,0.08,5395128277,141,57.9,5395128279,212,18.1,5395128273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037079,287,1,1,33,56,aljua8crr0vkwit0j3m59jw9j,1,26.5,58.1,2024-12-01T13:36:28.510Z,2024-12-01T13:36:29Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5395128367,213,3.31,5395128363,141,53.4,5395128359,56,Back,5395128361,140,8.1,5395128365,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037173,288,1,1,33,57,aljua8crr0vkwit0j3m59jw9j,1,8.1,53.4,2024-12-01T13:36:29.710Z,2024-12-01T13:36:34Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395128861,213,0.79,5395128855,140,20.3,5395128857,141,72.6,5395128859,212,18.3,5395128853,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037305,289,1,1,34,2,aljua8crr0vkwit0j3m59jw9j,1,22.8,70.2,2024-12-01T13:36:34.398Z,2024-12-01T13:36:40Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5395129585,140,34.2,5395129591,213,5.12,5395129583,56,Back,5395129589,212,30.5,5395129587,141,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037375,290,1,1,34,8,aljua8crr0vkwit0j3m59jw9j,1,41.8,27.2,2024-12-01T13:36:40.190Z,2024-12-01T13:36:44Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395130015,141,7.1,5395130011,56,Right,5395130013,140,60.5,5395130019,213,5.68,5395130017,212,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037399,291,1,1,34,11,aljua8crr0vkwit0j3m59jw9j,1,60.5,6.9,2024-12-01T13:36:43.966Z,2024-12-01T13:36:45Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5395130139,56,Right,5395130143,141,20.3,5395130147,213,1.83,5395130141,140,58.2,5395130145,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037443,292,1,1,34,13,aljua8crr0vkwit0j3m59jw9j,1,58.6,25.2,2024-12-01T13:36:45.246Z,2024-12-01T13:36:47Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5395130423,212,18.5,5395130417,56,Back,5395130419,140,43.9,5395130425,213,3.72,5395130421,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037483,293,1,1,34,15,aljua8crr0vkwit0j3m59jw9j,1,47.0,19.9,2024-12-01T13:36:47.310Z,2024-12-01T17:04:36Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5395130635,141,57.0,5395130633,140,43.3,5395130639,213,1.72,5395130637,212,25.5,5395130631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037571,294,1,1,34,17,aljua8crr0vkwit0j3m59jw9j,1,46.9,63.4,2024-12-01T13:36:49.374Z,2024-12-01T17:04:40Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5395131143,212,34.5,5395131147,1,,5395131139,140,71.7,5395131137,56,Left,5395131141,141,96.7,5395131145,213,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037587,295,1,1,34,21,aljua8crr0vkwit0j3m59jw9j,1,76.4,96.0,2024-12-01T13:36:53.902Z,2024-12-01T13:36:55Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5395131195,140,73.9,5395131201,213,3.75,5395131199,212,3.2,5395131193,56,Left,5395131197,141,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037647,296,1,1,34,23,aljua8crr0vkwit0j3m59jw9j,0,73.9,93.3,2024-12-01T13:36:55.214Z,2024-12-01T13:36:58Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395131551,213,6.23,5395131545,140,100.0,5395131547,141,90.9,5395131549,212,29.1,5395131543,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037699,276,5,1,34,26,anga7587r1zv4ey71ge9zxol3,1,-1.6,10.8,2024-12-01T13:36:58.148Z,2024-12-01T13:58:26Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5395132147,233,297,5395131849,346,,5395131847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754037749,297,5,1,34,26,aljua8crr0vkwit0j3m59jw9j,0,101.6,89.2,2024-12-01T13:36:58.148Z,2024-12-01T13:58:26Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5395132115,56,Left,5395132117,346,,5395132177,233,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
