id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2795604233,136,7,1,12,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,21.7,7.0,2025-04-04T17:13:54.201Z,2025-04-04T20:32:13Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621708629,56,Back,5622880563,178,,5621708637,233,123,5622880561,383,,5621708631,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604249,137,44,1,12,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,22.0,5.8,2025-04-04T17:13:56.088Z,2025-04-04T17:46:11Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621708733,285,,5621708731,56,Back,5621709833,233,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604231,124,44,1,12,3,59as3grjvj19voay31j3yfgni,0,78.0,94.2,2025-04-04T17:13:56.089Z,2025-04-04T17:46:11Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5621708627,286,,5621709861,233,137,5621708625,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604255,138,1,1,12,4,9w3sjm5ml4sjr2v81oxzdrt8v,0,25.0,9.1,2025-04-04T17:13:56.898Z,2025-04-04T17:13:57Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621708765,3,,5621708769,140,33.8,5621708767,56,Back,5621708775,213,0.17,5621708771,141,11.5,5621708773,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604685,128,3,1,12,5,59as3grjvj19voay31j3yfgni,1,78.5,96.2,2025-04-04T17:13:57.331Z,2025-04-04T20:33:12Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5621710993,56,Left,5621710995,286,,5621711015,233,139,5622884077,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604291,139,45,1,12,5,9w3sjm5ml4sjr2v81oxzdrt8v,0,21.5,3.8,2025-04-04T17:13:57.331Z,2025-04-04T17:46:05Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621708963,233,128,5621708947,56,Back,5621708951,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604311,140,83,1,12,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,19.8,8.3,2025-04-04T17:13:58.483Z,2025-04-04T17:23:33Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621709279,399,4zrsiizdbzwwkmit3ta0f0dbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604281,125,3,1,12,7,59as3grjvj19voay31j3yfgni,1,78.3,95.3,2025-04-04T17:13:59.401Z,2025-04-04T20:33:22Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5621708909,286,,5622884829,465,,5621708907,56,Left,5621708957,233,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604573,142,45,1,12,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,21.7,4.7,2025-04-04T17:13:59.401Z,2025-04-04T17:14:41Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621710375,56,Back,5621710377,285,,5621711057,233,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604339,126,2,1,12,8,59as3grjvj19voay31j3yfgni,1,77.9,95.9,2025-04-04T17:14:00.553Z,2025-04-04T17:14:27Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5621709183,140,84.0,5621709187,141,86.9,5621710395,7,ajhd3cqclubmexhscpd4w4ez9,5621709179,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604351,127,43,1,12,11,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-04T17:14:03.993Z,2025-04-04T17:14:29Z,ajhd3cqclubmexhscpd4w4ez9,Paulinho,,,5621710509,144,1,5621709255,213,4.25,5621709251,141,63.7,5621709253,212,15.3,5621709249,140,81.0,5621709247,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604773,143,1,1,12,52,9w3sjm5ml4sjr2v81oxzdrt8v,1,14.6,24.9,2025-04-04T17:14:44.899Z,2025-04-04T17:14:50Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5621711531,213,1.50,5621711519,5,,5621711527,141,62.4,5621711525,140,16.3,5621711529,212,25.6,5621711523,56,Back,5621711521,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604793,144,1,1,12,59,9w3sjm5ml4sjr2v81oxzdrt8v,1,18.9,59.0,2025-04-04T17:14:51.236Z,2025-04-04T17:14:52Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621711653,141,32.3,5621711649,140,19.7,5621711643,56,Back,5621711659,213,4.76,5621711657,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604833,145,1,1,13,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,19.7,32.3,2025-04-04T17:14:52.355Z,2025-04-04T17:14:56Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621711915,141,49.3,5621711919,213,1.40,5621711917,212,11.7,5621711913,140,21.6,5621711911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604879,146,1,1,13,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,22.2,46.5,2025-04-04T17:14:56.803Z,2025-04-04T17:15:02Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621712217,213,5.06,5621712207,155,,5621712209,56,Back,5621712215,212,32.1,5621712219,1,,5621712211,140,32.6,5621712213,141,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795819781,890,45,1,13,7,59as3grjvj19voay31j3yfgni,0,63.1,93.6,2025-04-04T17:14:59.683Z,2025-04-04T20:34:03Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5622887415,233,927,5622887369,285,,5622887367,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795819787,927,3,1,13,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.9,6.4,2025-04-04T17:14:59.683Z,2025-04-04T20:34:04Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5622887391,233,890,5622887389,465,,5622887387,286,,5622887383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604897,147,1,1,13,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.6,13.5,2025-04-04T17:15:02.612Z,2025-04-04T17:15:03Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621712311,141,23.7,5621712313,212,6.9,5621712309,140,33.7,5621712315,213,1.56,5621712307,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604929,148,1,1,13,11,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.5,23.7,2025-04-04T17:15:03.812Z,2025-04-04T17:15:05Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621712467,56,Back,5621712475,213,4.72,5621712469,140,33.6,5621712471,141,8.8,5621712473,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604969,149,1,1,13,12,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.6,8.8,2025-04-04T17:15:04.884Z,2025-04-04T17:15:07Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621712603,56,Back,5621712611,213,2.28,5621712605,140,26.1,5621712609,212,12.1,5621712607,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795604987,150,1,1,13,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.1,22.6,2025-04-04T17:15:07.444Z,2025-04-04T17:15:09Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621712675,56,Back,5621712679,141,46.4,5621712677,140,31.8,5621712683,213,1.22,5621712681,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605063,151,1,1,13,17,9w3sjm5ml4sjr2v81oxzdrt8v,1,31.7,46.4,2025-04-04T17:15:09.396Z,2025-04-04T17:15:13Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5621713095,140,29.8,5621713099,212,18.5,5621713097,141,73.4,5621713093,56,Back,5621713101,213,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605111,152,1,1,13,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.1,72.2,2025-04-04T17:15:13.316Z,2025-04-04T17:15:16Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621713333,212,20.9,5621713331,141,43.6,5621713327,56,Back,5621713329,140,25.8,5621713335,213,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605189,153,1,1,13,24,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.9,40.4,2025-04-04T17:15:16.709Z,2025-04-04T17:15:20Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621713665,1,,5621713663,213,6.25,5621713655,56,Center,5621713659,141,38.7,5621713661,212,34.1,5621713657,140,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605271,154,1,1,13,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.8,47.0,2025-04-04T17:15:20.740Z,2025-04-04T17:15:31Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5621714053,140,92.0,5621714051,56,Left,5621714057,212,30.3,5621714059,213,0.84,5621714055,141,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605239,130,43,1,13,32,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-04T17:15:25.132Z,2025-04-04T17:15:30Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621713935,56,Back,5621713937,285,0,5621714313,144,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605275,155,3,1,13,34,9w3sjm5ml4sjr2v81oxzdrt8v,0,96.4,73.8,2025-04-04T17:15:26.517Z,2025-04-04T20:34:34Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5621714085,286,,5621714083,56,Center,5622889549,465,,5621714189,233,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605293,131,7,1,13,34,59as3grjvj19voay31j3yfgni,1,3.6,26.2,2025-04-04T17:15:26.518Z,2025-04-04T20:34:40Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5622889885,178,,5621714149,56,Back,5621714147,167,,5621714151,285,,5622889883,385,,5621714179,233,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605295,132,6,1,13,35,59as3grjvj19voay31j3yfgni,0,4.1,26.3,2025-04-04T17:15:27.429Z,2025-04-04T20:34:54Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621714259,73,,5621714283,233,156,5621714257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605289,156,6,1,13,35,9w3sjm5ml4sjr2v81oxzdrt8v,1,95.9,73.7,2025-04-04T17:15:27.429Z,2025-04-04T17:22:30Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,1.0,,5621714279,233,132,5621714171,56,Center,5621714173,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605873,157,1,1,14,18,9w3sjm5ml4sjr2v81oxzdrt8v,1,99.5,99.5,2025-04-04T17:16:10.943Z,2025-04-04T20:35:01Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5621717063,212,31.6,5621717055,223,,5621717059,140,97.2,5621717057,56,Center,5621717065,213,4.64,5621717053,155,,5621717061,141,53.1,5621717051,6,,5622891247,20,,5621757123,218,,5621717049,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795612069,207,15,1,14,19,9w3sjm5ml4sjr2v81oxzdrt8v,1,97.0,54.0,2025-04-04T17:16:11.361Z,2025-04-04T21:12:38Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,1.0,5621753239,103,19,5621753237,102,49.3,5621753251,230,99.5,5621753247,146,97.7,5621753249,147,52.9,5621753245,100,,5621752323,16,,5621753243,139,,5621752325,56,Center,5621753233,55,156,5621752721,82,5621753253,231,51.6,5621752715,15,5621752719,328,5621753229,29,5621753227,78,5621753241,214,5621753231,154,5621752713,25,,,,,,,,,,,,,
2795612301,208,61,1,14,20,9w3sjm5ml4sjr2v81oxzdrt8v,1,95.2,50.7,2025-04-04T17:16:12.336Z,2025-04-04T17:26:04Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621753497,56,Center,5621753837,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795605877,158,16,1,14,21,9w3sjm5ml4sjr2v81oxzdrt8v,1,97.2,53.0,2025-04-04T17:16:13.206Z,2025-04-04T20:35:56Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621721431,29,,5621721457,230,99.3,5621720235,374,2025-04-04 18:16:12.991,5621717083,16,,5622894691,396,52.3,5621721437,55,207,5621720229,15,,5621721435,154,,5621757165,217,,5621721443,103,19.0,5621757167,216,5621720233,328,,5622894689,395,5621721459,231,5621721427,76,5621721441,102,5621720239,375,5621721445,214,5621720227,25,157,99.5,52.0,51.9,14:20.849,5621717085,56,Center,,,,,
2795606581,133,1,1,15,23,59as3grjvj19voay31j3yfgni,1,50.1,50.0,2025-04-04T17:17:15.983Z,2025-04-04T17:54:20Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5621720901,56,Back,5621723895,189,,5621720911,279,G,5621720903,140,46.1,5621720905,141,52.8,5621720909,213,2.72,5621720907,212,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606601,134,3,1,15,25,59as3grjvj19voay31j3yfgni,1,63.1,52.8,2025-04-04T17:17:17.264Z,2025-04-04T20:37:14Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5621721033,56,Center,5622899229,465,,5621739035,233,201,5621721035,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795609691,201,45,1,15,25,9w3sjm5ml4sjr2v81oxzdrt8v,0,36.9,47.2,2025-04-04T17:17:17.264Z,2025-04-04T17:46:06Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621738599,56,Back,5621739063,233,134,5621738603,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606605,135,3,1,15,26,59as3grjvj19voay31j3yfgni,0,66.7,49.0,2025-04-04T17:17:19.136Z,2025-04-04T20:37:20Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5621721043,56,Center,5621740293,233,202,5622899623,465,,5621721045,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795609985,202,7,1,15,26,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.3,51.0,2025-04-04T17:17:19.137Z,2025-04-04T20:37:24Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5621740249,56,Back,5622899963,384,,5621740251,285,,5621740281,233,135,5622899965,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606697,159,12,1,15,30,9w3sjm5ml4sjr2v81oxzdrt8v,1,12.2,29.9,2025-04-04T17:17:22.969Z,2025-04-04T17:23:13Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,,5621741173,212,31.5,5621741171,141,51.5,5621741169,140,38.7,5621741175,213,0.49,5621741167,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606701,160,44,1,15,32,9w3sjm5ml4sjr2v81oxzdrt8v,1,39.6,49.4,2025-04-04T17:17:24.702Z,2025-04-04T17:46:11Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5621743033,56,Back,5621743035,285,,5621743069,233,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606675,136,44,1,15,32,59as3grjvj19voay31j3yfgni,0,60.4,50.6,2025-04-04T17:17:24.703Z,2025-04-04T17:46:12Z,1qcf5gb8wf8f4tu94xh96yqy,Dani Silva,,,5621721501,286,,5621743083,233,160,5621721499,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606709,161,1,1,15,33,9w3sjm5ml4sjr2v81oxzdrt8v,1,42.4,49.9,2025-04-04T17:17:25.305Z,2025-04-04T18:03:43Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5621743623,3,,5621743629,141,18.8,5621743625,56,Right,5621743627,140,52.8,5621743633,213,5.19,5621743631,212,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606771,164,1,1,15,37,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.5,22.1,2025-04-04T17:17:29.841Z,2025-04-04T18:03:50Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5621721995,212,24.9,5621721997,213,5.84,5621721993,141,6.3,5621721989,56,Right,5621721991,140,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606781,165,1,1,15,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,86.0,6.4,2025-04-04T17:17:32.905Z,2025-04-04T17:17:34Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621722063,56,Right,5621722071,213,2.55,5621722069,212,7.9,5621722065,140,79.8,5621722067,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606833,166,1,1,15,42,9w3sjm5ml4sjr2v81oxzdrt8v,1,79.7,12.9,2025-04-04T17:17:34.281Z,2025-04-04T18:05:11Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,1.0,,5621729559,210,15,5621722313,213,1.52,5621722311,212,21.1,5621722305,56,Center,5621722309,141,43.9,5621722307,140,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606837,167,15,1,15,44,9w3sjm5ml4sjr2v81oxzdrt8v,1,85.9,48.3,2025-04-04T17:17:36.152Z,2025-04-04T21:12:36Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5621729577,55,166,5621729187,72,,5621729575,29,,5621729583,103,19,5621729587,147,48.7,5621729585,146,87.9,5621729589,230,97.7,5621722327,56,Center,5621729573,78,,5622484515,23,,5621729191,82,5621902665,17,,5621729581,102,5621729591,231,5621729677,233,,,,,,,,,,51.5,48.2,,,,,,152,,,,
2795608095,152,10,1,15,44,59as3grjvj19voay31j3yfgni,1,15.7,51.8,2025-04-04T17:17:36.252Z,2025-04-04T17:51:52Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5621729699,233,167,5621729493,94,,5621729495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606863,137,1,1,15,47,59as3grjvj19voay31j3yfgni,1,25.9,36.1,2025-04-04T17:17:39.696Z,2025-04-04T17:17:40Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5621722475,56,Back,5621722479,141,37.0,5621722477,140,14.5,5621722481,212,12.0,5621722483,213,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606849,168,43,1,15,47,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-04T17:17:39.850Z,2025-04-04T17:19:32Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5621722581,228,0,5621722395,56,Center,5621729825,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606909,138,12,1,15,48,59as3grjvj19voay31j3yfgni,1,14.5,37.0,2025-04-04T17:17:40.753Z,2025-04-04T17:17:45Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621722751,56,Back,5621722753,140,45.8,5621722755,141,50.9,5621722759,213,0.28,5621722757,212,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606913,169,1,1,15,52,9w3sjm5ml4sjr2v81oxzdrt8v,1,55.4,43.0,2025-04-04T17:17:44.538Z,2025-04-04T18:05:10Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621722773,56,Center,5621722787,213,1.01,5621722785,212,12.1,5621722781,141,58.1,5621722777,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606923,170,1,1,15,53,9w3sjm5ml4sjr2v81oxzdrt8v,1,61.5,58.1,2025-04-04T17:17:45.449Z,2025-04-04T18:05:07Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5621722829,212,17.4,5621722825,140,45.4,5621722827,141,63.9,5621722831,213,2.91,5621722823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606979,171,1,1,15,53,9w3sjm5ml4sjr2v81oxzdrt8v,1,45.4,63.9,2025-04-04T17:17:46.089Z,2025-04-04T18:05:05Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621723099,56,Left,5621723101,140,63.5,5621723103,141,93.7,5621723107,213,0.82,5621723105,212,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606983,172,3,1,15,58,9w3sjm5ml4sjr2v81oxzdrt8v,0,66.0,93.9,2025-04-04T17:17:50.297Z,2025-04-04T20:38:30Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621723129,56,Left,5622903371,465,,5621723147,211,,5621723131,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606989,139,4,1,15,59,59as3grjvj19voay31j3yfgni,1,17.6,14.4,2025-04-04T17:17:51.329Z,2025-04-04T17:17:56Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621723253,56,Back,5621723251,294,,5621723249,13,,5621723257,285,,5621723259,233,173,5621723255,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795606995,173,4,1,15,59,9w3sjm5ml4sjr2v81oxzdrt8v,0,82.4,85.6,2025-04-04T17:17:51.330Z,2025-04-04T17:17:56Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621723243,152,,5621723241,56,Left,5621723245,286,,5621723237,13,,5621723287,233,139,5621723239,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795607325,140,1,1,16,28,59as3grjvj19voay31j3yfgni,0,19.4,18.0,2025-04-04T17:18:20.482Z,2025-04-04T17:18:27Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5621725221,152,,5621725213,5,,5621725395,157,,5621725235,213,0.22,5621725237,1,,5621725231,141,36.4,5621725233,212,57.4,5621725229,140,72.8,5621725225,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795607343,174,12,1,16,32,9w3sjm5ml4sjr2v81oxzdrt8v,1,28.2,59.8,2025-04-04T17:18:24.890Z,2025-04-04T17:18:35Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621725303,56,Back,5621725311,213,1.83,5621725309,212,13.7,5621725305,140,24.9,5621725307,141,79.3,5621725933,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795607353,175,12,1,16,33,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.9,79.3,2025-04-04T17:18:25.202Z,2025-04-04T20:41:17Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621725423,212,11.0,5621725421,141,73.6,5621725417,56,Back,5621725425,213,5.92,5621726047,15,,5621725419,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795823981,929,44,1,16,33,9w3sjm5ml4sjr2v81oxzdrt8v,1,29.9,78.1,2025-04-04T17:18:25.975Z,2025-04-04T20:41:14Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5622910617,56,Back,5622910621,285,,5622910623,233,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795823979,891,44,1,16,33,59as3grjvj19voay31j3yfgni,0,70.1,21.9,2025-04-04T17:18:25.976Z,2025-04-04T20:41:14Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5622910609,56,Center,5622910667,233,929,5622910611,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795607361,176,1,1,16,34,9w3sjm5ml4sjr2v81oxzdrt8v,1,34.7,73.6,2025-04-04T17:18:26.450Z,2025-04-04T21:50:44Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5621725493,141,64.4,5621725489,56,Back,5621725491,140,26.4,5621725487,3,,5621725495,212,10.7,5621725497,213,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
