id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2814189699,244,12,1,28,10,czkf5t3ai00ghwbga03i5aqxw,1,4.7,64.4,2025-05-12T17:38:38.112Z,2025-05-12T17:43:28Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723975199,56,Back,5723997593,233,258,5723997361,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189769,245,5,1,28,13,czkf5t3ai00ghwbga03i5aqxw,0,9.8,102.0,2025-05-12T17:38:41.773Z,2025-05-12T17:38:45Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723975561,347,,5723975757,233,259,5723975559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189787,259,5,1,28,13,evf5hhqgnjhwjsth1m6pawxdp,1,90.2,-2.0,2025-05-12T17:38:41.773Z,2025-05-12T17:56:50Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723975675,233,245,5723975663,347,,5723975659,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189921,260,1,1,28,22,evf5hhqgnjhwjsth1m6pawxdp,1,93.6,0.0,2025-05-12T17:38:50.456Z,2025-05-12T17:38:53Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723976401,212,20.9,5723976403,213,2.57,5723976399,141,14.6,5723976393,107,,5723976397,140,76.8,5723976395,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189973,261,1,1,28,25,evf5hhqgnjhwjsth1m6pawxdp,1,82.9,14.3,2025-05-12T17:38:52.864Z,2025-05-12T17:38:56Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,,5723976681,213,4.32,5723976675,140,81.5,5723976673,56,Right,5723976677,141,9.1,5723976679,212,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189977,262,50,1,28,27,evf5hhqgnjhwjsth1m6pawxdp,1,81.6,17.0,2025-05-12T17:38:55.827Z,2025-05-12T19:06:18Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5723976901,233,246,5723976689,56,Right,5723976691,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814189983,246,7,1,28,27,czkf5t3ai00ghwbga03i5aqxw,1,18.4,83.0,2025-05-12T17:38:55.828Z,2025-05-12T19:06:18Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723976735,56,Back,5723976839,233,262,5723976737,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190021,248,1,1,28,29,czkf5t3ai00ghwbga03i5aqxw,1,12.5,72.4,2025-05-12T17:38:57.372Z,2025-05-12T17:39:00Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,,5723976993,141,88.4,5723976997,213,1.50,5723976989,56,Back,5723976991,140,13.2,5723976995,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190035,249,1,1,28,31,czkf5t3ai00ghwbga03i5aqxw,0,19.4,78.4,2025-05-12T17:38:59.860Z,2025-05-12T17:39:01Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723977047,157,,5723977059,1,,5723977057,213,0.23,5723977053,141,100.0,5723977051,140,82.4,5723977055,212,68.0,5723977049,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190041,250,5,1,28,33,czkf5t3ai00ghwbga03i5aqxw,0,76.8,101.6,2025-05-12T17:39:01.425Z,2025-05-12T17:39:08Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723977069,347,,5723977265,233,263,5723977067,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190071,263,5,1,28,33,evf5hhqgnjhwjsth1m6pawxdp,1,23.2,-1.6,2025-05-12T17:39:01.425Z,2025-05-12T17:56:51Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723977245,233,250,5723977231,347,,5723977227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190121,264,1,1,28,38,evf5hhqgnjhwjsth1m6pawxdp,1,31.6,0.0,2025-05-12T17:39:05.992Z,2025-05-12T17:39:07Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723977509,213,2.07,5723977499,107,,5723977501,56,Back,5723977507,212,9.8,5723977503,140,27.1,5723977505,141,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190169,265,1,1,28,39,evf5hhqgnjhwjsth1m6pawxdp,1,27.1,10.6,2025-05-12T17:39:07.216Z,2025-05-12T17:39:12Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723977809,213,6.10,5723977805,141,9.4,5723977807,212,4.5,5723977801,56,Back,5723977803,140,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190191,266,1,1,28,44,evf5hhqgnjhwjsth1m6pawxdp,1,36.8,21.5,2025-05-12T17:39:12.104Z,2025-05-12T17:39:13Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723977929,213,1.48,5723977925,141,45.7,5723977921,56,Back,5723977927,212,16.5,5723977923,140,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190209,267,1,1,28,45,evf5hhqgnjhwjsth1m6pawxdp,1,38.3,44.9,2025-05-12T17:39:13.704Z,2025-05-12T17:39:14Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723978019,56,Back,5723978035,213,4.87,5723978023,140,40.4,5723978027,141,24.6,5723978031,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190279,268,1,1,28,46,evf5hhqgnjhwjsth1m6pawxdp,1,40.1,25.5,2025-05-12T17:39:14.768Z,2025-05-12T17:39:20Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723978435,212,15.2,5723978427,56,Back,5723978433,141,45.8,5723978437,213,2.01,5723978431,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190317,269,1,1,28,52,evf5hhqgnjhwjsth1m6pawxdp,1,39.9,59.3,2025-05-12T17:39:20.112Z,2025-05-12T17:39:23Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723978685,212,13.3,5723978671,56,Back,5723978691,213,1.03,5723978675,140,46.4,5723978679,141,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190339,270,1,1,28,55,evf5hhqgnjhwjsth1m6pawxdp,1,49.1,75.4,2025-05-12T17:39:22.889Z,2025-05-12T17:39:24Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723978765,141,77.5,5723978769,212,13.2,5723978773,213,0.11,5723978757,56,Center,5723978761,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190353,271,1,1,28,56,evf5hhqgnjhwjsth1m6pawxdp,1,61.1,77.2,2025-05-12T17:39:24.304Z,2025-05-12T17:40:46Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723978863,140,40.9,5723978867,212,22.4,5723978861,56,Back,5723978865,141,66.4,5723978877,156,,5723978869,213,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190397,272,1,1,28,58,evf5hhqgnjhwjsth1m6pawxdp,1,39.9,60.3,2025-05-12T17:39:26.608Z,2025-05-12T17:39:30Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5723979125,213,4.70,5723979119,140,39.7,5723979121,141,38.5,5723979123,212,14.8,5723979117,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190471,273,1,1,29,2,evf5hhqgnjhwjsth1m6pawxdp,1,43.9,29.5,2025-05-12T17:39:30.760Z,2025-05-12T17:39:36Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723979557,212,21.8,5723979553,140,62.8,5723979551,56,Right,5723979555,141,16.2,5723979559,213,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190515,274,1,1,29,7,evf5hhqgnjhwjsth1m6pawxdp,1,63.6,29.1,2025-05-12T17:39:35.744Z,2025-05-12T17:39:38Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723979829,196,,5723979839,213,1.22,5723979837,212,48.1,5723979831,56,Left,5723979833,140,79.2,5723979841,1,,5723979835,141,95.6,5723979827,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190551,275,1,1,29,10,evf5hhqgnjhwjsth1m6pawxdp,1,79.6,94.2,2025-05-12T17:39:38.512Z,2025-05-12T17:39:43Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5723980095,140,74.5,5723980097,141,88.0,5723980093,56,Left,5723980099,212,6.8,5723980101,213,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190575,276,1,1,29,15,evf5hhqgnjhwjsth1m6pawxdp,0,74.9,82.7,2025-05-12T17:39:42.962Z,2025-05-12T17:39:44Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723980237,1,,5723980233,212,40.3,5723980231,141,39.4,5723980225,155,,5723980227,56,Center,5723980223,2,,5723980235,213,5.46,5723980229,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190583,251,5,1,29,16,czkf5t3ai00ghwbga03i5aqxw,1,-1.4,62.0,2025-05-12T17:39:44.388Z,2025-05-12T17:56:51Z,a3jetivxcnpp4z36nhboz5ysq,S. Haarala,,,5723980431,233,277,5723980307,346,,5723980305,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190605,277,5,1,29,16,evf5hhqgnjhwjsth1m6pawxdp,0,101.4,38.0,2025-05-12T17:39:44.388Z,2025-05-12T17:56:51Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723980409,346,,5723980467,233,251,5723980407,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814190931,252,1,1,29,37,czkf5t3ai00ghwbga03i5aqxw,1,5.4,55.7,2025-05-12T17:40:05.780Z,2025-05-12T17:40:08Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5723982237,124,,5723982245,212,80.0,5723982243,141,94.4,5723982247,213,0.34,5723982241,140,77.3,5723982249,1,,5723982271,189,,5723982239,56,Left,5723982253,74,,,,,,,,,,,,,,,,,,,,,,,,
2814191017,253,1,1,29,42,czkf5t3ai00ghwbga03i5aqxw,1,73.6,88.4,2025-05-12T17:40:10.052Z,2025-05-12T17:40:12Z,2zjl0xu23wp9j6ciq25irsq38,I. Alemayehu,,,5723982743,56,Center,5723982747,141,72.1,5723982745,140,63.3,5723982751,213,3.94,5723982749,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191083,257,1,1,29,46,czkf5t3ai00ghwbga03i5aqxw,1,63.3,72.1,2025-05-12T17:40:13.956Z,2025-05-12T17:40:16Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723983133,140,39.1,5723983137,212,25.5,5723983131,56,Back,5723983135,141,75.3,5723983139,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191137,258,1,1,29,48,czkf5t3ai00ghwbga03i5aqxw,1,39.1,75.3,2025-05-12T17:40:16.044Z,2025-05-12T17:40:19Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723983445,141,40.0,5723983449,213,4.59,5723983443,140,36.3,5723983447,212,24.2,5723983441,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191183,259,1,1,29,51,czkf5t3ai00ghwbga03i5aqxw,1,47.0,29.5,2025-05-12T17:40:19.836Z,2025-05-12T17:40:23Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5723983777,140,73.6,5723983775,56,Right,5723983783,213,5.82,5723983781,212,31.2,5723983779,141,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191199,260,1,1,29,55,czkf5t3ai00ghwbga03i5aqxw,0,73.5,9.2,2025-05-12T17:40:23.068Z,2025-05-12T17:40:24Z,csd7qb9u0a9am2ltse9w31uz8,T. Bergvall,,,5723983855,212,29.0,5723983853,141,50.9,5723983857,213,1.35,5723983843,56,Center,5723983847,140,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191211,278,8,1,29,57,evf5hhqgnjhwjsth1m6pawxdp,1,18.4,63.9,2025-05-12T17:40:25.832Z,2025-05-12T17:40:25Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,,5723983921,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191263,279,12,1,30,0,evf5hhqgnjhwjsth1m6pawxdp,1,12.7,64.2,2025-05-12T17:40:28.425Z,2025-05-12T17:40:31Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723984201,212,57.8,5723984203,213,5.40,5723984199,141,0.0,5723984195,56,Back,5723984301,167,,5723984197,140,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191303,261,5,1,30,2,czkf5t3ai00ghwbga03i5aqxw,1,51.2,101.6,2025-05-12T17:40:30.313Z,2025-05-12T17:56:52Z,csd7qb9u0a9am2ltse9w31uz8,T. Bergvall,,,5723984429,233,280,5723984389,56,Left,5723984391,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191269,280,5,1,30,2,evf5hhqgnjhwjsth1m6pawxdp,0,48.8,-1.6,2025-05-12T17:40:30.313Z,2025-05-12T17:40:35Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5723984233,56,Back,5723984235,347,,5723984441,233,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191371,262,1,1,30,9,czkf5t3ai00ghwbga03i5aqxw,1,58.2,100.0,2025-05-12T17:40:36.932Z,2025-05-12T17:40:38Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723984749,212,9.6,5723984751,213,4.55,5723984745,140,56.7,5723984747,141,88.1,5723984741,107,,5723984743,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191389,263,1,1,30,10,czkf5t3ai00ghwbga03i5aqxw,1,56.7,88.1,2025-05-12T17:40:37.948Z,2025-05-12T17:40:39Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723984845,213,1.66,5723984837,141,96.8,5723984833,56,Left,5723984835,140,56.2,5723984839,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191477,264,1,1,30,11,czkf5t3ai00ghwbga03i5aqxw,1,56.2,96.8,2025-05-12T17:40:38.948Z,2025-05-12T17:40:45Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723985301,213,3.55,5723985293,56,Back,5723985297,141,83.6,5723985295,140,36.4,5723985299,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191525,265,1,1,30,17,czkf5t3ai00ghwbga03i5aqxw,1,37.3,69.9,2025-05-12T17:40:44.892Z,2025-05-12T17:40:48Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723985559,141,44.9,5723985555,56,Back,5723985561,212,17.3,5723985563,213,4.52,5723985557,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191567,266,1,1,30,20,czkf5t3ai00ghwbga03i5aqxw,1,36.4,37.6,2025-05-12T17:40:48.252Z,2025-05-12T17:40:51Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5723985817,140,39.9,5723985825,213,1.15,5723985819,141,49.6,5723985815,56,Back,5723985823,212,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191697,267,1,1,30,22,czkf5t3ai00ghwbga03i5aqxw,1,39.4,48.2,2025-05-12T17:40:50.804Z,2025-05-12T17:40:58Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723986523,213,3.06,5723986521,212,26.9,5723986515,56,Back,5723986519,141,51.5,5723986517,140,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191783,268,1,1,30,30,czkf5t3ai00ghwbga03i5aqxw,1,16.5,50.9,2025-05-12T17:40:58.412Z,2025-05-12T17:41:03Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5723986961,140,46.5,5723986965,141,96.2,5723986953,155,,5723986957,56,Back,5723986973,213,0.77,5723986977,1,,5723986969,212,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191795,269,43,1,30,35,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-12T17:41:03.108Z,2025-05-12T17:41:20Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723987059,141,85.0,5723988441,144,1,5723987061,212,7.9,5723987063,213,4.97,5723987055,140,60.6,5723987051,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191815,270,43,1,30,36,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-12T17:41:04.011Z,2025-05-12T17:41:21Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723987179,213,3.09,5723988491,144,1,5723987175,141,86.5,5723987173,140,41.5,5723987177,212,20.1,5723987171,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814192043,271,4,1,30,37,czkf5t3ai00ghwbga03i5aqxw,1,59.0,93.2,2025-05-12T17:41:05.028Z,2025-05-12T17:56:40Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,,5723988609,13,,5723988615,265,,5723988617,286,,5723989613,233,281,5723988613,152,,5723988611,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814191819,281,4,1,30,37,evf5hhqgnjhwjsth1m6pawxdp,0,41.0,6.8,2025-05-12T17:41:05.029Z,2025-05-12T17:56:40Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5723989647,233,271,5723987339,152,,5723987335,13,,5723987341,265,,5723987343,285,,5723987337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814192679,272,1,1,31,38,czkf5t3ai00ghwbga03i5aqxw,1,60.0,94.2,2025-05-12T17:42:06.644Z,2025-05-12T17:42:12Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723992239,155,,5723992253,212,25.6,5723992257,213,6.13,5723992249,141,88.6,5723992243,56,Left,5723992241,152,,5723992237,5,,5723992245,140,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2814192691,273,4,1,31,44,czkf5t3ai00ghwbga03i5aqxw,1,84.0,86.0,2025-05-12T17:42:11.988Z,2025-05-12T17:56:40Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5723992373,264,,5723992371,13,,5723992377,152,,5723992375,56,Left,5723992463,233,282,5723992379,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814192685,282,4,1,31,44,evf5hhqgnjhwjsth1m6pawxdp,0,16.0,14.0,2025-05-12T17:42:11.989Z,2025-05-12T17:56:41Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5723992455,152,,5723992449,13,,5723992471,233,273,5723992451,264,,5723992453,56,Back,5723992459,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814193321,274,1,1,32,33,czkf5t3ai00ghwbga03i5aqxw,0,83.8,88.9,2025-05-12T17:43:01.148Z,2025-05-12T17:43:07Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723995839,152,,5723995837,155,,5723995843,140,96.1,5723995841,56,Center,5723995835,5,,5723995849,213,5.16,5723995845,141,49.6,5723995833,2,,5723995847,212,29.7,5723996149,233,283,,,,,,,,,,,,,,,,,,,,
2814193377,283,41,1,32,36,evf5hhqgnjhwjsth1m6pawxdp,0,8.4,54.9,2025-05-12T17:43:04.193Z,2025-05-12T17:43:08Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723996167,233,274,5723996127,140,44.3,5723996133,213,0.58,5723996131,212,44.9,5723996129,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814193429,275,4,1,32,43,czkf5t3ai00ghwbga03i5aqxw,1,64.4,6.0,2025-05-12T17:43:11.848Z,2025-05-12T17:56:41Z,csd7qb9u0a9am2ltse9w31uz8,T. Bergvall,,,5723996621,233,284,5723996495,13,,5723996497,56,Right,5723996499,152,,5723996503,286,,5723996501,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814193423,284,4,1,32,43,evf5hhqgnjhwjsth1m6pawxdp,0,35.6,94.0,2025-05-12T17:43:11.849Z,2025-05-12T17:56:41Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5723996573,285,,5723996571,265,,5723996569,152,,5723996633,233,275,5723996565,13,,5723996567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814193845,276,1,1,33,18,czkf5t3ai00ghwbga03i5aqxw,0,67.9,5.0,2025-05-12T17:43:46.347Z,2025-05-12T17:44:10Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723999061,212,39.7,5723999063,213,0.88,5723999065,1,,5723999059,141,50.1,5723999053,152,,5723999057,140,91.9,5723999051,155,,5723999055,56,Center,5723999049,5,,,,,,,,,,,,,,,,,,,,,,,,
2814193877,285,11,1,33,20,evf5hhqgnjhwjsth1m6pawxdp,1,8.8,47.3,2025-05-12T17:43:48.562Z,2025-05-12T17:43:48Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723999255,88,,5723999253,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194007,286,1,1,33,24,evf5hhqgnjhwjsth1m6pawxdp,1,9.3,48.1,2025-05-12T17:43:51.881Z,2025-05-12T17:43:59Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5723999935,213,0.78,5723999927,56,Back,5723999925,123,,5723999931,141,81.1,5723999933,212,32.0,5723999929,140,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194021,287,1,1,33,31,evf5hhqgnjhwjsth1m6pawxdp,1,57.6,90.0,2025-05-12T17:43:59.625Z,2025-05-12T17:44:00Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5724000017,212,10.6,5724000011,140,67.2,5724000009,56,Left,5724000015,141,94.8,5724000019,213,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194045,288,1,1,33,32,evf5hhqgnjhwjsth1m6pawxdp,1,67.9,94.4,2025-05-12T17:44:00.641Z,2025-05-12T17:44:03Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5724000149,213,3.50,5724000145,141,90.8,5724000147,212,7.1,5724000143,140,61.6,5724000141,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194077,289,1,1,33,35,evf5hhqgnjhwjsth1m6pawxdp,1,64.2,87.4,2025-05-12T17:44:03.426Z,2025-05-12T17:44:05Z,bm0bafkutd9qb9qee06cys9re,I. Jagne,,,5724000355,212,12.8,5724000349,56,Center,5724000351,140,60.9,5724000357,213,4.44,5724000353,141,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194099,290,1,1,33,37,evf5hhqgnjhwjsth1m6pawxdp,1,58.2,57.2,2025-05-12T17:44:05.745Z,2025-05-12T17:44:08Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5724000509,140,46.2,5724000511,141,39.4,5724000513,212,17.5,5724000515,213,3.91,5724000507,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194177,291,1,1,33,40,evf5hhqgnjhwjsth1m6pawxdp,1,50.7,32.4,2025-05-12T17:44:08.185Z,2025-05-12T17:44:13Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5724000949,140,68.9,5724000955,212,25.4,5724000947,56,Right,5724000951,141,7.9,5724000957,213,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194201,292,1,1,33,45,evf5hhqgnjhwjsth1m6pawxdp,1,68.0,9.4,2025-05-12T17:44:13.561Z,2025-05-12T17:44:15Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5724001075,140,69.2,5724001083,212,11.1,5724001079,141,25.6,5724001085,213,1.46,5724001071,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194239,293,1,1,33,47,evf5hhqgnjhwjsth1m6pawxdp,1,69.2,25.6,2025-05-12T17:44:15.353Z,2025-05-12T17:44:22Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5724001269,213,0.32,5724001263,140,81.1,5724001261,56,Center,5724001267,212,13.1,5724001265,141,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194269,294,61,1,33,52,evf5hhqgnjhwjsth1m6pawxdp,0,79.9,29.5,2025-05-12T17:44:19.866Z,2025-05-12T17:44:20Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5724001447,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194389,277,12,1,33,53,czkf5t3ai00ghwbga03i5aqxw,1,13.8,73.5,2025-05-12T17:44:21.012Z,2025-05-12T17:44:33Z,3bepi58wwope38a478y7jwlxw,A. Priske,,,5724002179,213,5.73,5724002175,141,21.0,5724002173,140,69.4,5724002177,212,68.4,5724002171,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194363,295,1,1,34,0,evf5hhqgnjhwjsth1m6pawxdp,1,36.1,79.9,2025-05-12T17:44:28.272Z,2025-05-12T17:44:30Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5724002023,213,5.48,5724002021,212,9.9,5724002015,56,Back,5724002019,141,69.4,5724002017,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814194381,296,1,1,34,2,evf5hhqgnjhwjsth1m6pawxdp,1,42.4,68.1,2025-05-12T17:44:30.281Z,2025-05-12T17:44:32Z,bm0bafkutd9qb9qee06cys9re,I. Jagne,,,5724002109,56,Back,5724002117,213,1.26,5724002113,141,88.6,5724002111,140,46.7,5724002115,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
