id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2815032563,117,1,1,12,16,ac8jow4mdkvnsv5s0och4qqm,1,35.8,88.6,2025-05-15T17:12:50.278Z,2025-05-15T17:12:52Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728773609,141,97.1,5728773605,56,Left,5728773613,213,0.31,5728773607,140,53.0,5728773611,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032601,118,1,1,12,18,ac8jow4mdkvnsv5s0och4qqm,1,52.9,97.4,2025-05-15T17:12:52.670Z,2025-05-15T17:12:57Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5728773813,213,6.24,5728773809,141,96.2,5728773805,56,Left,5728773807,140,70.0,5728773811,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032627,119,1,1,12,24,ac8jow4mdkvnsv5s0och4qqm,0,72.9,92.1,2025-05-15T17:12:57.806Z,2025-05-15T17:13:01Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728773971,140,92.3,5728773977,213,5.58,5728773973,141,66.7,5728773975,212,26.7,5728773969,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032637,84,12,1,12,26,1939bnru25svvgv15k2c7tw2y,1,8.6,31.2,2025-05-15T17:13:00.193Z,2025-05-15T17:13:02Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728774021,212,20.7,5728774025,213,4.16,5728774007,56,Back,5728774053,167,,5728774017,141,5.2,5728774011,140,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032643,85,6,1,12,27,1939bnru25svvgv15k2c7tw2y,0,1.8,15.7,2025-05-15T17:13:00.990Z,2025-05-15T17:52:10Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728774087,73,,5728774109,233,120,5728774085,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032633,120,6,1,12,27,ac8jow4mdkvnsv5s0och4qqm,1,98.2,84.3,2025-05-15T17:13:00.990Z,2025-05-15T17:52:10Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728774047,73,,5728774045,56,Left,5728774089,233,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032857,121,1,1,13,0,ac8jow4mdkvnsv5s0och4qqm,0,99.5,99.5,2025-05-15T17:13:34.502Z,2025-05-15T17:34:30Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5728775331,223,,5728775329,155,,5728775325,2,,5728775337,141,43.7,5728775343,1,,5728775335,140,95.5,5728775339,212,38.2,5728775327,6,,5728775341,213,5728775333,56,4.60,Center,,,,,,,,,,,,,,,,,,,,,
2815032867,86,4,1,13,6,1939bnru25svvgv15k2c7tw2y,1,2.3,45.0,2025-05-15T17:13:39.992Z,2025-05-15T17:51:52Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728828781,152,,5728775409,56,Back,5728828779,294,,5728828777,13,,5728829523,233,343,5728828783,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815042165,343,4,1,13,6,ac8jow4mdkvnsv5s0och4qqm,0,97.7,55.0,2025-05-15T17:13:39.993Z,2025-05-15T17:51:53Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728829517,152,,5728829511,13,,5728829515,56,Center,5728829519,286,,5728829543,233,86,5728829513,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032875,87,43,1,13,8,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-15T17:13:42.017Z,2025-05-15T17:38:16Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728830529,144,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032913,88,43,1,13,13,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-15T17:13:47.313Z,2025-05-15T17:38:18Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728830577,144,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032971,89,1,1,13,19,1939bnru25svvgv15k2c7tw2y,1,3.9,52.4,2025-05-15T17:13:52.962Z,2025-05-15T17:38:24Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728830789,5,,5728775955,212,14.7,5728775951,140,6.6,5728775957,213,4.91,5728775953,141,31.2,5728775949,56,Back,5728830791,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032979,90,1,1,13,21,1939bnru25svvgv15k2c7tw2y,1,9.0,31.6,2025-05-15T17:13:55.313Z,2025-05-15T17:13:56Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728776019,212,9.5,5728776015,140,17.9,5728776013,56,Back,5728776021,213,0.17,5728776017,141,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815032989,91,1,1,13,23,1939bnru25svvgv15k2c7tw2y,1,17.0,33.0,2025-05-15T17:13:56.849Z,2025-05-15T17:13:58Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728776099,56,Back,5728776103,141,8.2,5728776107,213,4.35,5728776101,140,11.0,5728776105,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033011,92,1,1,13,25,1939bnru25svvgv15k2c7tw2y,1,9.0,8.6,2025-05-15T17:13:58.753Z,2025-05-15T17:14:01Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728776213,140,27.3,5728776221,213,6.26,5728776217,212,19.2,5728776211,56,Back,5728776215,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033019,93,3,1,13,28,1939bnru25svvgv15k2c7tw2y,0,27.2,6.6,2025-05-15T17:14:01.841Z,2025-05-15T17:51:56Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728776237,56,Back,5728776371,233,122,5728776239,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033039,122,7,1,13,28,ac8jow4mdkvnsv5s0och4qqm,1,72.8,93.4,2025-05-15T17:14:01.842Z,2025-05-15T17:51:56Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728776331,286,,5728776329,56,Left,5728776367,233,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033057,124,1,1,13,30,ac8jow4mdkvnsv5s0och4qqm,1,83.2,93.6,2025-05-15T17:14:04.686Z,2025-05-15T17:14:06Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5728776403,141,88.0,5728776399,56,Left,5728776405,212,3.9,5728776407,213,4.55,5728776401,140,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033059,125,3,1,13,32,ac8jow4mdkvnsv5s0och4qqm,0,92.4,86.4,2025-05-15T17:14:06.302Z,2025-05-15T17:51:57Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728776415,56,Left,5728776417,286,,5728776539,233,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033069,94,7,1,13,32,1939bnru25svvgv15k2c7tw2y,1,7.6,13.6,2025-05-15T17:14:06.303Z,2025-05-15T17:51:57Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728776469,285,,5728776497,233,125,5728776467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033095,96,1,1,13,35,1939bnru25svvgv15k2c7tw2y,0,10.4,8.8,2025-05-15T17:14:09.537Z,2025-05-15T17:14:10Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728776623,56,Back,5728776681,236,,5728776687,286,,5728776683,233,126,5728776627,141,8.9,5728776631,213,0.01,5728776629,212,4.9,5728776625,140,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033097,126,74,1,13,35,ac8jow4mdkvnsv5s0och4qqm,1,92.4,95.3,2025-05-15T17:14:09.538Z,2025-05-15T17:51:56Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728776691,233,96,5728776635,285,,5728776633,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033113,97,5,1,13,37,1939bnru25svvgv15k2c7tw2y,1,12.8,-1.0,2025-05-15T17:14:11.026Z,2025-05-15T17:14:14Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728776703,347,,5728776709,233,127,5728776701,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033111,127,5,1,13,37,ac8jow4mdkvnsv5s0och4qqm,0,87.2,101.0,2025-05-15T17:14:11.026Z,2025-05-15T17:51:45Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728776717,233,97,5728776699,347,,5728776697,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033271,98,1,1,13,58,1939bnru25svvgv15k2c7tw2y,1,15.3,0.0,2025-05-15T17:14:32.258Z,2025-05-15T17:14:35Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728777563,141,6.5,5728777561,140,37.2,5728777559,56,Back,5728777567,213,0.23,5728777557,107,,5728777569,1,,5728777565,212,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033277,99,1,1,14,1,1939bnru25svvgv15k2c7tw2y,1,37.2,6.5,2025-05-15T17:14:35.106Z,2025-05-15T17:14:36Z,25ytwmg2c5xcqp5ta12oznm22,A. Sigurpálsson,,,5728777603,213,2.63,5728777597,140,32.3,5728777599,141,10.7,5728777595,56,Back,5728777601,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033297,100,1,1,14,2,1939bnru25svvgv15k2c7tw2y,1,32.3,10.7,2025-05-15T17:14:35.873Z,2025-05-15T17:14:39Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5728777701,141,28.9,5728777699,140,31.6,5728777697,56,Back,5728777703,212,12.4,5728777705,213,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033307,101,3,1,14,4,1939bnru25svvgv15k2c7tw2y,1,33.9,18.1,2025-05-15T17:14:37.958Z,2025-05-15T17:52:02Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5728777743,56,Back,5728777767,286,,5728777763,233,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033289,128,45,1,14,4,ac8jow4mdkvnsv5s0och4qqm,0,66.1,81.9,2025-05-15T17:14:37.958Z,2025-05-15T17:52:02Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728777669,285,,5728777781,233,101,5728777667,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033313,102,1,1,14,6,1939bnru25svvgv15k2c7tw2y,0,33.2,26.8,2025-05-15T17:14:40.450Z,2025-05-15T17:14:41Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5728777793,213,6.20,5728777787,140,41.4,5728777789,141,25.8,5728777791,212,8.6,5728777785,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033345,130,1,1,14,6,ac8jow4mdkvnsv5s0och4qqm,1,64.3,64.3,2025-05-15T17:14:40.718Z,2025-05-15T17:14:44Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5728777947,212,10.4,5728777941,56,Center,5728777949,213,0.53,5728777945,141,72.0,5728777943,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033347,131,3,1,14,11,ac8jow4mdkvnsv5s0och4qqm,0,74.3,71.5,2025-05-15T17:14:44.734Z,2025-05-15T17:14:45Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728777953,56,Center,5728777955,286,,5728777973,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033365,104,4,1,14,13,1939bnru25svvgv15k2c7tw2y,1,12.4,11.4,2025-05-15T17:14:47.283Z,2025-05-15T17:14:51Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728778217,56,Back,5728778237,233,132,5728778223,285,,5728778215,13,,5728778219,152,,5728778221,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033373,132,4,1,14,13,ac8jow4mdkvnsv5s0och4qqm,0,87.6,88.6,2025-05-15T17:14:47.284Z,2025-05-15T17:14:52Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5728778157,13,,5728778165,286,,5728778161,152,,5728778159,56,Left,5728778245,233,104,5728778163,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033411,105,1,1,14,19,1939bnru25svvgv15k2c7tw2y,1,12.0,11.6,2025-05-15T17:14:52.833Z,2025-05-15T17:14:56Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5728778361,141,42.1,5728778355,152,,5728778359,140,8.1,5728778353,5,,5728778363,212,21.1,5728778357,56,Back,5728778365,213,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033423,106,1,1,14,22,1939bnru25svvgv15k2c7tw2y,1,9.3,46.9,2025-05-15T17:14:56.114Z,2025-05-15T17:14:58Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728778437,140,13.4,5728778441,212,17.2,5728778443,213,1.32,5728778435,56,Back,5728778439,141,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033435,107,1,1,14,24,1939bnru25svvgv15k2c7tw2y,1,16.3,69.7,2025-05-15T17:14:58.273Z,2025-05-15T17:15:00Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728778519,56,Back,5728778523,141,46.7,5728778521,140,15.5,5728778527,213,4.66,5728778525,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033445,108,1,1,14,26,1939bnru25svvgv15k2c7tw2y,1,15.5,46.7,2025-05-15T17:14:59.911Z,2025-05-15T17:15:01Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728778583,140,2.0,5728778585,141,47.9,5728778589,213,3.08,5728778581,56,Back,5728778587,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033483,109,1,1,14,27,1939bnru25svvgv15k2c7tw2y,0,2.0,47.9,2025-05-15T17:15:01.123Z,2025-05-15T17:15:05Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728778801,141,100.0,5728778795,157,,5728778799,140,31.6,5728778807,1,,5728778797,56,Back,5728778803,212,48.2,5728778805,213,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033485,110,5,1,14,31,1939bnru25svvgv15k2c7tw2y,0,34.2,101.6,2025-05-15T17:15:05.087Z,2025-05-15T17:15:08Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728778839,233,133,5728778821,56,Back,5728778825,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033487,133,5,1,14,31,ac8jow4mdkvnsv5s0och4qqm,1,65.8,-1.6,2025-05-15T17:15:05.087Z,2025-05-15T17:51:45Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5728778831,347,,5728778829,56,Right,5728778833,233,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033517,134,1,1,14,35,ac8jow4mdkvnsv5s0och4qqm,1,57.8,0.0,2025-05-15T17:15:08.999Z,2025-05-15T17:15:13Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728779009,107,,5728779013,140,48.1,5728779015,141,17.7,5728779019,213,2.22,5728779011,56,Back,5728779017,212,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033543,135,1,1,14,39,ac8jow4mdkvnsv5s0och4qqm,1,50.7,30.7,2025-05-15T17:15:13.358Z,2025-05-15T17:15:16Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5728779169,140,38.7,5728779175,213,2.16,5728779173,212,22.7,5728779167,56,Back,5728779171,141,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033571,136,1,1,14,42,ac8jow4mdkvnsv5s0och4qqm,1,39.9,59.4,2025-05-15T17:15:16.334Z,2025-05-15T17:15:19Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728779347,212,29.7,5728779341,56,Left,5728779349,213,0.83,5728779345,141,91.7,5728779343,140,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033607,137,1,1,14,45,ac8jow4mdkvnsv5s0och4qqm,1,73.1,90.9,2025-05-15T17:15:19.493Z,2025-05-15T17:15:24Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5728779515,141,97.2,5728779519,213,1.06,5728779513,140,75.4,5728779517,212,4.9,5728779511,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033645,138,1,1,14,50,ac8jow4mdkvnsv5s0och4qqm,1,64.6,77.3,2025-05-15T17:15:24.654Z,2025-05-15T17:15:28Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5728779701,213,3.63,5728779695,140,54.9,5728779699,212,11.5,5728779693,56,Center,5728779697,141,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033669,139,1,1,14,54,ac8jow4mdkvnsv5s0och4qqm,1,54.0,66.6,2025-05-15T17:15:28.174Z,2025-05-15T17:15:30Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728779821,141,34.9,5728779825,213,4.82,5728779819,140,56.2,5728779817,56,Center,5728779823,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033703,140,1,1,14,56,ac8jow4mdkvnsv5s0och4qqm,1,58.7,35.4,2025-05-15T17:15:30.069Z,2025-05-15T17:15:34Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5728779999,140,70.0,5728780003,212,15.2,5728779997,56,Center,5728780001,141,21.5,5728780005,213,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033713,141,1,1,15,0,ac8jow4mdkvnsv5s0och4qqm,1,72.5,18.9,2025-05-15T17:15:33.966Z,2025-05-15T17:15:35Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728780053,141,27.6,5728780049,56,Center,5728780055,212,5.9,5728780051,140,71.9,5728780057,213,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033727,142,1,1,15,1,ac8jow4mdkvnsv5s0och4qqm,1,70.5,29.2,2025-05-15T17:15:35.149Z,2025-05-15T17:16:13Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,1.0,,5728780161,141,29.7,5728780159,140,83.1,5728780157,56,Center,5728780165,213,0.03,5728781705,210,15,5728780163,212,13.2,5728781707,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033731,111,45,1,15,4,1939bnru25svvgv15k2c7tw2y,0,13.4,64.7,2025-05-15T17:15:37.814Z,2025-05-15T17:52:03Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5728780249,233,143,5728780173,56,Back,5728780175,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033735,143,3,1,15,4,ac8jow4mdkvnsv5s0och4qqm,1,86.6,35.3,2025-05-15T17:15:37.814Z,2025-05-15T17:52:03Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728780231,233,111,5728780191,286,,5728780189,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033737,144,15,1,15,4,ac8jow4mdkvnsv5s0och4qqm,1,85.8,32.1,2025-05-15T17:15:38.534Z,2025-05-15T17:16:13Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728781717,29,,5728781715,80,,5728781719,154,,5728781729,215,,5728781725,102,45.7,5728781713,72,,5728781721,55,142,5728781727,103,5.1,5728780195,63,5728781763,233,,112,5728780197,56,Center,5728781733,146,98.8,5728781737,147,49.1,5728780193,22,,,,,,,,,,
2815033743,112,10,1,15,4,1939bnru25svvgv15k2c7tw2y,1,3.6,54.3,2025-05-15T17:15:38.634Z,2025-05-15T17:16:13Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728780243,178,,5728781771,233,144,5728780245,182,,5728780241,173,,5728780247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033773,114,1,1,15,9,1939bnru25svvgv15k2c7tw2y,0,6.7,80.2,2025-05-15T17:15:43.322Z,2025-05-15T17:15:44Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5728780475,213,0.47,5728780469,140,14.9,5728780473,212,9.6,5728780467,56,Back,5728780471,141,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033777,146,3,1,15,11,ac8jow4mdkvnsv5s0och4qqm,0,86.8,9.4,2025-05-15T17:15:44.829Z,2025-05-15T17:15:50Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728780479,286,,5728780597,233,115,5728780477,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033797,115,7,1,15,11,1939bnru25svvgv15k2c7tw2y,0,13.2,90.6,2025-05-15T17:15:44.830Z,2025-05-15T17:39:38Z,6tqclthbz4m9kqiukixum1mhg,G. Rapp,,,5728780577,233,146,5728780573,56,Back,5728780575,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033793,147,1,1,15,12,ac8jow4mdkvnsv5s0och4qqm,1,86.2,5.5,2025-05-15T17:15:46.438Z,2025-05-15T17:15:47Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728780557,213,0.42,5728780551,140,89.8,5728780555,212,4.1,5728780553,141,8.0,5728780549,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033801,148,1,1,15,13,ac8jow4mdkvnsv5s0och4qqm,1,89.8,8.0,2025-05-15T17:15:47.278Z,2025-05-15T17:39:45Z,aqjwz3wm0it916o2vb5tz9vxl,A. Timossi Andersson,,,5728780601,140,80.2,5728780607,213,2.94,5728780605,212,10.3,5728780599,56,Right,5728780603,141,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033807,149,1,1,15,14,ac8jow4mdkvnsv5s0och4qqm,0,81.3,9.0,2025-05-15T17:15:48.237Z,2025-05-15T17:40:07Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5728780657,212,5.4,5728780651,56,Right,5728834011,2,,5728780659,213,1.13,5728780655,141,16.2,5728780653,140,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033809,116,61,1,15,17,1939bnru25svvgv15k2c7tw2y,1,22.9,73.3,2025-05-15T17:15:51.105Z,2025-05-15T17:15:51Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5728780663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815033827,150,15,1,15,19,ac8jow4mdkvnsv5s0och4qqm,1,94.9,37.6,2025-05-15T17:15:53.701Z,2025-05-15T17:56:01Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5728781185,458,,5728781189,147,47.3,5728857601,60,,5728780921,20,,5728781187,146,99.8,5728781181,103,9.5,5728781177,80,,5728781183,328,,5728781179,102,5728780769,56,46.3,Center,5728780765,22,,5728781197,233,117,,,,,,,,,,,,,,,
2815033825,117,10,1,15,20,1939bnru25svvgv15k2c7tw2y,1,1.7,53.2,2025-05-15T17:15:53.801Z,2025-05-15T17:56:17Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728780759,178,,5728780761,182,,5728780763,56,Back,5728781207,233,150,5728780829,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034023,120,1,1,15,36,1939bnru25svvgv15k2c7tw2y,0,10.9,45.5,2025-05-15T17:16:10.162Z,2025-05-15T17:16:14Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728781833,198,,5728781845,1,,5728781841,212,65.6,5728781843,213,6.04,5728781839,141,22.7,5728781835,56,Center,5728781837,140,71.6,5728781831,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034031,151,12,1,15,41,ac8jow4mdkvnsv5s0och4qqm,1,25.3,83.3,2025-05-15T17:16:14.917Z,2025-05-15T17:16:17Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728781883,141,100.0,5728781901,15,,5728781879,56,Back,5728781885,212,15.1,5728781915,167,,5728781887,213,0.90,5728781881,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034037,121,5,1,15,42,1939bnru25svvgv15k2c7tw2y,1,62.8,-1.2,2025-05-15T17:16:16.403Z,2025-05-15T17:16:19Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5728781911,56,Right,5728781925,233,152,5728781913,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034035,152,5,1,15,42,ac8jow4mdkvnsv5s0och4qqm,0,37.2,101.2,2025-05-15T17:16:16.403Z,2025-05-15T17:51:46Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5728781907,347,,5728781905,56,Back,5728781953,233,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034133,122,1,1,15,54,1939bnru25svvgv15k2c7tw2y,1,58.1,0.0,2025-05-15T17:16:28.642Z,2025-05-15T17:16:30Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5728782453,107,,5728782455,56,Back,5728782461,212,33.7,5728782459,141,21.8,5728782471,189,,5728782465,1,,5728782463,213,2.64,5728782457,140,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815034143,123,1,1,15,57,1939bnru25svvgv15k2c7tw2y,1,29.9,21.8,2025-05-15T17:16:30.770Z,2025-05-15T17:16:32Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728782511,212,31.5,5728782507,140,33.6,5728782521,189,,5728782505,56,Back,5728782509,141,67.8,5728782513,213,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
