id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800298471,66,1,1,8,42,224tl8u2smnbyliroayk69nt0,1,32.4,57.8,2025-04-12T23:46:09.621Z,2025-04-13T00:38:12Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5647430049,141,67.6,5647430053,213,1.70,5647430045,56,Back,5647430051,212,6.7,5647430047,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298495,67,1,1,8,42,224tl8u2smnbyliroayk69nt0,1,31.6,67.6,2025-04-12T23:46:10.421Z,2025-04-12T23:46:13Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647430205,141,61.1,5647430207,212,4.4,5647430197,56,Back,5647430209,213,4.78,5647430201,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298547,68,1,1,8,45,224tl8u2smnbyliroayk69nt0,0,33.9,69.1,2025-04-12T23:46:13.470Z,2025-04-12T23:46:17Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647430493,213,0.50,5647430489,141,100.0,5647430491,212,46.6,5647430485,56,Left,5647430495,1,,5647430487,140,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298571,106,56,1,8,52,e3k8yw2rbmphyfu5htn4yi5jk,1,22.2,6.5,2025-04-12T23:46:19.844Z,2025-04-12T23:46:20Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647430611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298553,69,5,1,8,53,224tl8u2smnbyliroayk69nt0,0,73.4,101.3,2025-04-12T23:46:20.800Z,2025-04-13T00:10:49Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647430521,347,,5647430519,56,Left,5647430879,233,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298613,107,5,1,8,53,e3k8yw2rbmphyfu5htn4yi5jk,1,26.6,-1.3,2025-04-12T23:46:20.800Z,2025-04-13T01:46:46Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647430825,56,Back,5647430829,347,,5647430845,233,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298639,108,1,1,8,55,e3k8yw2rbmphyfu5htn4yi5jk,1,26.2,0.0,2025-04-12T23:46:23.091Z,2025-04-13T00:33:46Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647431009,213,1.09,5647430999,107,,5647431003,140,30.0,5647431001,56,Back,5647431005,141,10.4,5647431007,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298771,109,1,1,8,57,e3k8yw2rbmphyfu5htn4yi5jk,1,26.6,17.0,2025-04-12T23:46:25.251Z,2025-04-13T00:33:48Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647431759,213,4.96,5647431753,140,28.6,5647431751,56,Back,5647431755,141,4.7,5647431757,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800314805,337,1,1,8,59,e3k8yw2rbmphyfu5htn4yi5jk,1,20.7,4.1,2025-04-12T23:46:27.039Z,2025-04-13T00:14:33Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647532325,212,13.0,5647532319,56,Back,5647532327,213,0.09,5647532323,141,5.8,5647532321,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800314821,340,1,1,8,59,e3k8yw2rbmphyfu5htn4yi5jk,1,47.7,7.0,2025-04-12T23:46:27.183Z,2025-04-13T00:33:41Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647536075,212,12.2,5647536067,56,Back,5647536079,213,2.95,5647536073,141,10.5,5647603245,156,,5647536071,140,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800314799,336,50,1,9,0,e3k8yw2rbmphyfu5htn4yi5jk,1,28.0,17.3,2025-04-12T23:46:27.631Z,2025-04-13T01:47:40Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647539153,285,,5647539611,233,77,5647539149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300193,77,7,1,9,0,224tl8u2smnbyliroayk69nt0,1,72.0,82.7,2025-04-12T23:46:27.632Z,2025-04-13T01:47:40Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,1.0,,5647439515,286,,5647539583,233,336,5647439513,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298823,110,43,1,9,7,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-12T23:46:34.811Z,2025-04-13T00:35:58Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647432031,140,25.5,5647432029,56,Back,5647432033,141,19.8,5647610203,144,1,5647432037,213,2.54,5647432035,212,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298793,71,15,1,9,8,224tl8u2smnbyliroayk69nt0,1,84.5,68.7,2025-04-12T23:46:35.735Z,2025-04-13T02:03:30Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5647432225,76,,5647618765,154,,5647432235,147,52.2,5647431869,56,Center,5647431867,64,,5647432101,20,,5647541385,233,111,5647618767,55,77,5647432227,102,53.6,5647618763,29,,5647432233,146,98.5,5647432229,103,6.3,5647431865,22,,,,,,,,,,,,,,,,
2800298861,111,10,1,9,8,e3k8yw2rbmphyfu5htn4yi5jk,1,3.1,49.9,2025-04-12T23:46:35.835Z,2025-04-13T00:16:18Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647432257,182,,5647432261,56,Back,5647432251,173,,5647432253,178,,5647541429,233,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298801,72,6,1,9,9,224tl8u2smnbyliroayk69nt0,1,92.2,57.1,2025-04-12T23:46:36.701Z,2025-04-13T01:47:18Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5647431955,73,,5647431953,56,Center,5647441801,233,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298911,112,6,1,9,9,e3k8yw2rbmphyfu5htn4yi5jk,0,7.8,42.9,2025-04-12T23:46:36.701Z,2025-04-13T01:47:18Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647432541,73,,5647441815,233,72,5647432539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299451,73,1,1,9,50,224tl8u2smnbyliroayk69nt0,1,99.5,99.5,2025-04-12T23:47:18.333Z,2025-04-12T23:47:25Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5647435473,6,,5647435489,1,,5647435479,56,Center,5647435483,141,45.2,5647435477,223,,5647435487,213,4.40,5647435471,2,,5647435481,140,88.2,5647435485,212,38.8,5647435475,155,,,,,,,,,,,,,,,,,,,,,,,,,
2800299477,113,4,1,9,55,e3k8yw2rbmphyfu5htn4yi5jk,1,10.0,54.0,2025-04-12T23:47:22.892Z,2025-04-12T23:47:29Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647435709,294,,5647435713,152,,5647435753,233,74,5647435711,56,Back,5647435715,285,,5647435707,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299457,74,4,1,9,55,224tl8u2smnbyliroayk69nt0,0,90.0,46.0,2025-04-12T23:47:22.893Z,2025-04-13T02:40:50Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5647435649,152,,5647435643,13,,5647435645,294,,5647435651,286,,5647435647,56,Center,5647435775,233,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299703,114,1,1,10,11,e3k8yw2rbmphyfu5htn4yi5jk,1,9.3,52.7,2025-04-12T23:47:38.659Z,2025-04-12T23:47:44Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647436957,56,Back,5647436963,212,17.2,5647436955,152,,5647436961,141,28.0,5647436953,5,,5647436965,213,4.92,5647436959,140,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299751,115,1,1,10,16,e3k8yw2rbmphyfu5htn4yi5jk,1,14.9,31.8,2025-04-12T23:47:44.356Z,2025-04-12T23:47:47Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647437191,56,Back,5647437193,140,27.8,5647437199,213,5.34,5647437197,212,22.9,5647437195,141,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800333199,317,83,1,10,18,224tl8u2smnbyliroayk69nt0,0,72.9,82.9,2025-04-12T23:47:45.532Z,2025-04-13T00:39:28Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5647621625,399,94zkjopy373mgso15ljxmhd04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299811,116,1,1,10,19,e3k8yw2rbmphyfu5htn4yi5jk,1,27.8,4.6,2025-04-12T23:47:47.339Z,2025-04-12T23:47:52Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647437535,141,4.3,5647437537,212,7.1,5647437539,213,6.25,5647437533,140,34.6,5647437531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299813,117,1,1,10,24,e3k8yw2rbmphyfu5htn4yi5jk,0,35.0,7.8,2025-04-12T23:47:51.820Z,2025-04-13T00:40:00Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647623625,233,75,5647437549,56,Back,5647623581,141,7.8,5647623579,140,37.3,5647623583,212,2.4,5647623585,213,0.00,5647623629,286,,5647623623,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299827,75,74,1,10,24,224tl8u2smnbyliroayk69nt0,1,62.6,94.4,2025-04-12T23:47:51.821Z,2025-04-13T00:40:00Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647437617,56,Left,5647623675,233,117,5647437619,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299885,76,5,1,10,25,224tl8u2smnbyliroayk69nt0,0,59.6,101.4,2025-04-12T23:47:52.726Z,2025-04-13T01:46:47Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647437911,347,,5647437951,233,118,5647437909,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299873,118,5,1,10,25,e3k8yw2rbmphyfu5htn4yi5jk,1,40.4,-1.4,2025-04-12T23:47:52.726Z,2025-04-13T01:46:47Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647437929,233,76,5647437855,56,Back,5647437857,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299913,119,1,1,10,28,e3k8yw2rbmphyfu5htn4yi5jk,1,37.0,0.0,2025-04-12T23:47:55.675Z,2025-04-12T23:47:58Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647438017,56,Back,5647438021,141,10.4,5647438023,212,8.2,5647438015,107,,5647438025,213,1.53,5647438019,140,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299925,120,1,1,10,29,e3k8yw2rbmphyfu5htn4yi5jk,1,37.3,10.4,2025-04-12T23:47:57.072Z,2025-04-12T23:47:58Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647438073,141,3.5,5647438077,213,5.29,5647438071,140,40.2,5647438069,56,Back,5647438075,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800314809,338,1,1,10,29,e3k8yw2rbmphyfu5htn4yi5jk,1,47.0,3.7,2025-04-12T23:47:57.391Z,2025-04-13T00:18:17Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647550139,140,36.6,5647550137,56,Back,5647550141,141,6.0,5647550147,213,3.00,5647550143,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800299997,121,43,1,10,30,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-12T23:47:58.388Z,2025-04-13T00:18:54Z,21y2ogvprtdai47j36w9m22cq,M. Myers,,,5647552719,144,1,5647438441,213,3.00,5647438433,56,Back,5647438439,212,14.8,5647438437,141,6.5,5647438435,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300113,122,1,1,10,37,e3k8yw2rbmphyfu5htn4yi5jk,1,28.9,14.3,2025-04-12T23:48:05.308Z,2025-04-13T00:18:51Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647439089,212,30.1,5647439091,213,2.02,5647439085,140,16.4,5647439087,141,54.2,5647439083,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300207,123,1,1,10,43,e3k8yw2rbmphyfu5htn4yi5jk,1,25.9,65.5,2025-04-12T23:48:10.875Z,2025-04-12T23:48:17Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647439557,56,Back,5647439565,213,4.67,5647439559,140,25.2,5647439561,141,40.0,5647439563,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300275,124,1,1,10,49,e3k8yw2rbmphyfu5htn4yi5jk,0,25.3,37.1,2025-04-12T23:48:16.916Z,2025-04-12T23:48:23Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647440007,213,5.78,5647440003,141,4.9,5647439997,155,,5647440001,140,62.8,5647440005,212,45.1,5647439999,56,Right,5647440009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300297,78,44,1,10,54,224tl8u2smnbyliroayk69nt0,1,36.1,95.3,2025-04-12T23:48:22.310Z,2025-04-13T02:01:06Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647440169,233,125,5647440095,56,Back,5647440097,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300285,125,44,1,10,54,e3k8yw2rbmphyfu5htn4yi5jk,0,63.9,4.7,2025-04-12T23:48:22.311Z,2025-04-13T02:01:06Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647440195,233,78,5647440043,286,,5647440041,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300303,79,1,1,10,55,224tl8u2smnbyliroayk69nt0,0,32.8,94.2,2025-04-12T23:48:22.597Z,2025-04-13T01:49:32Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647440125,56,Back,5647440127,140,26.3,5647440129,141,100.0,5647440133,213,2.48,5647440131,212,8.6,5647440123,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300307,80,5,1,10,56,224tl8u2smnbyliroayk69nt0,0,29.4,101.7,2025-04-12T23:48:23.931Z,2025-04-13T01:46:48Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647440147,56,Back,5647440285,233,126,5647440149,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300319,126,5,1,10,56,e3k8yw2rbmphyfu5htn4yi5jk,1,70.6,-1.7000000000000002,2025-04-12T23:48:23.931Z,2025-04-13T01:46:47Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647440217,56,Right,5647440257,233,80,5647440219,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300337,127,1,1,10,57,e3k8yw2rbmphyfu5htn4yi5jk,0,65.5,0.0,2025-04-12T23:48:25.219Z,2025-04-12T23:48:26Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647440335,141,8.5,5647440339,213,0.68,5647440337,212,10.4,5647440329,107,,5647440333,140,73.2,5647440331,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300359,81,12,1,11,0,224tl8u2smnbyliroayk69nt0,1,22.8,81.8,2025-04-12T23:48:28.173Z,2025-04-12T23:48:29Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647440507,167,,5647440453,141,100.0,5647440451,140,31.7,5647440455,212,16.6,5647440457,213,0.97,5647440449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300365,82,5,1,11,1,224tl8u2smnbyliroayk69nt0,0,29.2,102.0,2025-04-12T23:48:28.959Z,2025-04-13T01:46:49Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647440487,347,,5647440999,233,128,5647440485,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300451,128,5,1,11,1,e3k8yw2rbmphyfu5htn4yi5jk,1,70.8,-2.0,2025-04-12T23:48:28.959Z,2025-04-13T01:46:48Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647440957,56,Right,5647440987,233,82,5647440959,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300465,129,1,1,11,11,e3k8yw2rbmphyfu5htn4yi5jk,1,74.8,0.0,2025-04-12T23:48:39.131Z,2025-04-12T23:48:41Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647441067,213,0.68,5647441063,141,5.6,5647441061,140,80.9,5647441059,56,Right,5647441065,212,8.2,5647441057,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300469,130,50,1,11,14,e3k8yw2rbmphyfu5htn4yi5jk,1,81.0,8.2,2025-04-12T23:48:41.557Z,2025-04-13T01:47:41Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647441073,56,Right,5647441201,233,83,5647441075,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300477,83,7,1,11,14,224tl8u2smnbyliroayk69nt0,1,19.0,91.8,2025-04-12T23:48:41.558Z,2025-04-13T01:47:41Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647441113,285,,5647441111,56,Back,5647441171,233,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300535,86,1,1,11,17,224tl8u2smnbyliroayk69nt0,1,22.2,94.6,2025-04-12T23:48:44.581Z,2025-04-13T00:21:13Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5647441425,140,24.9,5647441431,141,86.7,5647441441,213,5.20,5647441437,212,6.1,5647441421,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300515,85,1,1,11,18,224tl8u2smnbyliroayk69nt0,1,17.8,88.8,2025-04-12T23:48:45.862Z,2025-04-13T00:40:42Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5647441335,141,84.9,5647441331,56,Back,5647441341,213,5.25,5647441337,212,3.1,5647441333,140,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300563,87,1,1,11,18,224tl8u2smnbyliroayk69nt0,0,12.1,83.6,2025-04-12T23:48:46.222Z,2025-04-12T23:48:49Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5647441593,140,32.0,5647441597,212,21.0,5647441589,155,,5647441591,56,Back,5647441595,141,81.3,5647441599,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300559,131,44,1,11,20,e3k8yw2rbmphyfu5htn4yi5jk,1,65.4,19.2,2025-04-12T23:48:47.835Z,2025-04-13T02:01:06Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647441667,233,88,5647441579,56,Right,5647441581,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300569,88,44,1,11,20,224tl8u2smnbyliroayk69nt0,0,34.6,80.8,2025-04-12T23:48:47.836Z,2025-04-13T02:01:07Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5647441619,56,Back,5647441705,233,131,5647441621,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300567,132,1,1,11,20,e3k8yw2rbmphyfu5htn4yi5jk,0,61.1,20.1,2025-04-12T23:48:47.947Z,2025-04-12T23:48:48Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647441617,213,6.20,5647441607,3,,5647441615,212,8.1,5647441613,141,19.1,5647441611,140,68.8,5647441609,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300615,89,4,1,11,24,224tl8u2smnbyliroayk69nt0,1,30.4,78.6,2025-04-12T23:48:51.934Z,2025-04-13T02:00:31Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5647441877,285,,5647441869,13,,5647441875,265,,5647441873,152,,5647887949,233,133,5647441871,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300619,133,4,1,11,24,e3k8yw2rbmphyfu5htn4yi5jk,0,69.6,21.4,2025-04-12T23:48:51.935Z,2025-04-13T01:52:58Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5647441915,13,,5647441919,152,,5647442079,286,,5647441921,265,,5647441917,56,Center,5647887977,233,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300819,90,1,1,11,35,224tl8u2smnbyliroayk69nt0,1,28.8,74.8,2025-04-12T23:49:03.046Z,2025-04-12T23:49:06Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647442969,140,26.7,5647442963,5,,5647442975,213,4.63,5647442973,212,25.7,5647442965,152,,5647442971,141,37.2,5647442967,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300835,91,1,1,11,38,224tl8u2smnbyliroayk69nt0,1,29.1,34.4,2025-04-12T23:49:06.085Z,2025-04-12T23:49:07Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647443077,140,29.5,5647443079,141,67.1,5647443083,213,1.55,5647443075,56,Back,5647443081,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300875,92,1,1,11,39,224tl8u2smnbyliroayk69nt0,1,29.5,67.7,2025-04-12T23:49:07.526Z,2025-04-12T23:49:10Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647443297,56,Back,5647443305,213,1.03,5647443301,141,83.6,5647443299,140,35.7,5647443303,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300899,93,1,1,11,43,224tl8u2smnbyliroayk69nt0,1,35.7,83.6,2025-04-12T23:49:10.693Z,2025-04-12T23:49:12Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647443491,212,5.6,5647443485,56,Back,5647443489,141,79.0,5647443493,213,3.74,5647443487,140,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800300943,94,2,1,11,45,224tl8u2smnbyliroayk69nt0,1,28.1,83.8,2025-04-12T23:49:12.781Z,2025-04-13T02:14:20Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647443773,56,Left,5647443701,141,84.8,5647443771,1,,5647443697,140,69.2,5647443769,7,9jfh2t3w4aqc4o4rvjfk7xey1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301165,135,1,1,12,3,e3k8yw2rbmphyfu5htn4yi5jk,1,30.6,4.0,2025-04-12T23:49:30.651Z,2025-04-13T00:38:20Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647444851,212,26.5,5647444845,56,Back,5647444853,213,2.18,5647444847,140,16.2,5647444849,141,36.0,5647444843,241,,5647618263,189,,5647444841,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301183,136,1,1,12,5,e3k8yw2rbmphyfu5htn4yi5jk,1,16.2,36.0,2025-04-12T23:49:32.795Z,2025-04-13T00:38:27Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647444935,212,20.8,5647444931,140,25.7,5647444937,213,1.07,5647444929,56,Back,5647444933,141,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301209,137,1,1,12,7,e3k8yw2rbmphyfu5htn4yi5jk,1,25.7,62.9,2025-04-12T23:49:35.251Z,2025-04-12T23:49:37Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647445067,140,13.4,5647445071,212,20.5,5647445069,141,39.5,5647445073,213,4.03,5647445065,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301247,138,1,1,12,9,e3k8yw2rbmphyfu5htn4yi5jk,1,13.4,43.7,2025-04-12T23:49:36.899Z,2025-04-12T23:49:41Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647445301,213,1.30,5647445299,212,22.8,5647445287,56,Back,5647445297,141,76.0,5647445293,140,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301307,139,1,1,12,13,e3k8yw2rbmphyfu5htn4yi5jk,1,19.2,76.0,2025-04-12T23:49:40.892Z,2025-04-12T23:49:46Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647445681,140,46.9,5647445679,56,Back,5647445683,141,59.0,5647445685,212,31.3,5647445675,155,,5647445687,213,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301345,140,1,1,12,18,e3k8yw2rbmphyfu5htn4yi5jk,1,63.8,37.3,2025-04-12T23:49:46.508Z,2025-04-12T23:49:50Z,21y2ogvprtdai47j36w9m22cq,M. Myers,,,5647445919,212,17.9,5647445909,56,Right,5647445917,141,11.0,5647445921,213,4.76,5647445913,140,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800301357,141,1,1,12,22,e3k8yw2rbmphyfu5htn4yi5jk,0,70.0,18.2,2025-04-12T23:49:50.140Z,2025-04-12T23:49:51Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647445969,213,0.36,5647445965,141,21.2,5647445961,56,Center,5647445959,155,,5647445963,140,75.1,5647445967,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
