id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2816202087,71,50,1,13,8,224tl8u2smnbyliroayk69nt0,1,74.6,8.0,2025-05-18T01:20:11.005Z,2025-05-18T01:23:53Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5735203717,286,,5735196509,56,Right,5735203913,233,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203411,170,7,1,13,8,ak0rmms5xl49w57i2rvid1tk9,1,25.4,92.0,2025-05-18T01:20:11.006Z,2025-05-18T01:22:44Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735203879,233,71,5735203849,56,Back,5735203851,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202183,72,5,1,13,14,224tl8u2smnbyliroayk69nt0,1,64.2,-1.6,2025-05-18T01:20:17.082Z,2025-05-18T04:09:07Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5735210403,233,144,5735196975,347,,5735196973,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202105,144,5,1,13,14,ak0rmms5xl49w57i2rvid1tk9,0,35.8,101.6,2025-05-18T01:20:17.082Z,2025-05-18T04:09:07Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735196603,347,,5735196601,56,Back,5735210419,233,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202203,73,1,1,13,22,224tl8u2smnbyliroayk69nt0,0,67.3,0.0,2025-05-18T01:20:25.317Z,2025-05-18T01:26:16Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735197093,213,0.83,5735197087,140,78.9,5735197085,56,Right,5735197089,141,17.6,5735197083,107,,5735197091,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202257,145,44,1,13,25,ak0rmms5xl49w57i2rvid1tk9,1,23.4,70.1,2025-05-18T01:20:27.691Z,2025-05-18T04:19:53Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735197401,285,,5735197399,56,Back,5735208501,233,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202209,74,44,1,13,25,224tl8u2smnbyliroayk69nt0,0,76.6,29.9,2025-05-18T01:20:27.692Z,2025-05-18T03:35:15Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5735197127,286,,5735197125,56,Center,5735208469,233,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202211,75,43,1,13,25,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-18T01:20:27.829Z,2025-05-18T01:26:20Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5735197151,168,0,5735197163,212,12.6,5735197161,141,34.0,5735197149,3,0,5735197165,213,1.09,5735197159,140,84.4,5735216501,144,1,5735197155,56,Center,,,,,,,,,,,,,,,,,,,,,,,
2816204831,186,1,1,13,25,ak0rmms5xl49w57i2rvid1tk9,1,18.8,76.6,2025-05-18T01:20:28.135Z,2025-05-18T03:42:40Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735211879,213,4.02,5735211875,141,67.6,5735211869,3,,5735211871,56,Back,5735211877,212,7.9,5735211873,140,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202285,146,12,1,13,34,ak0rmms5xl49w57i2rvid1tk9,1,14.6,51.3,2025-05-18T01:20:36.642Z,2025-05-18T04:19:54Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5735197551,212,34.8,5735197547,140,20.3,5735197545,56,Back,5735197553,213,1.40,5735197549,141,100.0,5735197587,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202267,76,5,1,13,34,224tl8u2smnbyliroayk69nt0,1,81.0,-1.5,2025-05-18T01:20:36.996Z,2025-05-18T04:09:08Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5735310871,233,147,5735197467,56,Right,5735197469,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202287,147,5,1,13,34,ak0rmms5xl49w57i2rvid1tk9,0,19.0,101.5,2025-05-18T01:20:36.996Z,2025-05-18T04:09:08Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5735197563,56,Back,5735310903,233,76,5735197565,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202381,77,1,1,13,43,224tl8u2smnbyliroayk69nt0,1,81.9,0.0,2025-05-18T01:20:46.356Z,2025-05-18T01:20:49Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735198163,107,,5735198167,140,72.8,5735198171,212,12.1,5735198169,141,9.7,5735198165,56,Right,5735198173,213,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202427,78,1,1,13,46,224tl8u2smnbyliroayk69nt0,1,72.4,12.0,2025-05-18T01:20:49.500Z,2025-05-18T01:20:52Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5735198393,213,2.21,5735198387,140,60.9,5735198389,141,36.0,5735198391,212,20.3,5735198385,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202455,79,1,1,13,50,224tl8u2smnbyliroayk69nt0,1,61.8,32.1,2025-05-18T01:20:52.692Z,2025-05-18T01:20:55Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,,5735198525,56,Right,5735198533,213,5.12,5735198529,141,12.9,5735198527,140,67.2,5735198531,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202463,80,1,1,13,52,224tl8u2smnbyliroayk69nt0,0,67.0,11.6,2025-05-18T01:20:55.300Z,2025-05-18T01:20:57Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735198611,141,18.2,5735198607,56,Right,5735198615,213,0.38,5735198609,140,77.7,5735198613,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202497,148,43,1,13,56,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-18T01:20:58.745Z,2025-05-18T01:21:09Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735199413,144,8,5735198777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202503,149,8,1,13,56,ak0rmms5xl49w57i2rvid1tk9,1,24.8,76.7,2025-05-18T01:20:58.999Z,2025-05-18T04:19:56Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735198847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202553,81,50,1,13,56,224tl8u2smnbyliroayk69nt0,1,68.0,16.8,2025-05-18T01:20:59.506Z,2025-05-18T02:04:58Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735199123,286,,5735199121,56,Right,5735305383,233,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816221243,420,7,1,13,57,ak0rmms5xl49w57i2rvid1tk9,0,32.0,83.2,2025-05-18T01:20:59.507Z,2025-05-18T03:19:02Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5735305357,285,,5735305373,233,81,5735305355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202541,151,43,1,13,58,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-18T01:21:00.770Z,2025-05-18T02:05:20Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735199061,56,Back,5735199065,140,26.4,5735306225,144,1,5735199071,212,0,5735199069,141,83.3,5735199073,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202565,152,1,1,13,58,ak0rmms5xl49w57i2rvid1tk9,0,26.4,83.3,2025-05-18T01:21:01.410Z,2025-05-18T04:19:58Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735199207,140,29.0,5735199211,212,8.7,5735199205,56,Back,5735199209,141,71.2,5735199213,213,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202563,82,83,1,14,2,224tl8u2smnbyliroayk69nt0,0,69.6,28.0,2025-05-18T01:21:05.044Z,2025-05-18T02:08:54Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735199277,399,3ljxfq84ubqzlooixppmpfdd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202569,153,3,1,14,2,ak0rmms5xl49w57i2rvid1tk9,1,35.5,65.2,2025-05-18T01:21:05.114Z,2025-05-18T04:20:01Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735313383,286,,5735313379,233,353,5735199231,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816222803,353,45,1,14,2,224tl8u2smnbyliroayk69nt0,0,64.5,34.8,2025-05-18T01:21:05.114Z,2025-05-18T03:20:39Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735313365,56,Center,5735313385,233,153,5735313367,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202607,83,43,1,14,2,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-18T01:21:05.115Z,2025-05-18T02:08:08Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5735312209,144,83,5735229351,399,3ljxfq84ubqzlooixppmpfdd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202575,154,4,1,14,3,ak0rmms5xl49w57i2rvid1tk9,1,34.2,75.9,2025-05-18T01:21:06.425Z,2025-05-18T03:18:47Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735199299,56,Back,5735199567,286,,5735199301,152,,5735199563,233,84,5735199297,13,,5735199303,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202609,84,4,1,14,3,224tl8u2smnbyliroayk69nt0,0,65.8,24.1,2025-05-18T01:21:06.426Z,2025-05-18T03:18:47Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5735199509,152,,5735199513,285,,5735199505,13,,5735199575,233,154,5735199507,56,Center,5735199511,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202705,155,1,1,14,18,ak0rmms5xl49w57i2rvid1tk9,1,32.9,69.1,2025-05-18T01:21:21.281Z,2025-05-18T01:21:23Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735199989,212,30.8,5735199991,213,4.75,5735199985,140,34.1,5735199983,56,Back,5735199987,141,23.9,5735199981,152,,5735199979,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202711,156,1,1,14,20,ak0rmms5xl49w57i2rvid1tk9,1,34.1,23.9,2025-05-18T01:21:22.897Z,2025-05-18T01:21:24Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735200019,56,Back,5735200023,141,54.5,5735200027,213,1.57,5735200021,140,34.2,5735200025,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202755,157,1,1,14,21,ak0rmms5xl49w57i2rvid1tk9,1,34.2,54.5,2025-05-18T01:21:24.041Z,2025-05-18T01:21:27Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735200257,141,45.7,5735200261,213,5.64,5735200253,56,Back,5735200255,140,41.8,5735200259,212,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202797,158,1,1,14,24,ak0rmms5xl49w57i2rvid1tk9,1,38.9,46.3,2025-05-18T01:21:27.345Z,2025-05-18T01:21:32Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735200477,56,Back,5735200489,1,,5735200483,212,32.0,5735200479,140,8.4,5735200481,141,46.7,5735200487,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202809,159,1,1,14,29,ak0rmms5xl49w57i2rvid1tk9,1,8.4,46.7,2025-05-18T01:21:32.323Z,2025-05-18T01:21:34Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735200581,213,4.88,5735200575,140,11.6,5735200573,56,Back,5735200579,212,20.7,5735200577,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202815,160,1,1,14,31,ak0rmms5xl49w57i2rvid1tk9,0,11.6,16.7,2025-05-18T01:21:34.001Z,2025-05-18T01:21:35Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735200607,141,13.7,5735200601,155,,5735200603,56,Back,5735200611,213,6.16,5735200609,212,16.6,5735200605,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202827,85,8,1,14,32,224tl8u2smnbyliroayk69nt0,1,70.2,88.6,2025-05-18T01:21:34.820Z,2025-05-18T01:22:31Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735200677,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202837,86,5,1,14,33,224tl8u2smnbyliroayk69nt0,0,70.1,101.4,2025-05-18T01:21:35.715Z,2025-05-18T04:09:09Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735200719,56,Left,5735201073,233,161,5735200721,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202897,161,5,1,14,33,ak0rmms5xl49w57i2rvid1tk9,1,29.9,-1.4,2025-05-18T01:21:35.715Z,2025-05-18T04:09:09Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735201015,347,,5735201045,233,86,5735201013,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202921,162,1,1,14,40,ak0rmms5xl49w57i2rvid1tk9,1,30.1,0.0,2025-05-18T01:21:43.241Z,2025-05-18T01:21:45Z,rtca480n5ehey5ffvt8nudck,H. Endeley,,,5735201163,140,24.8,5735201167,212,8.2,5735201161,56,Back,5735201165,141,7.0,5735201169,213,2.31,5735201159,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202931,163,1,1,14,41,ak0rmms5xl49w57i2rvid1tk9,1,24.8,7.0,2025-05-18T01:21:43.699Z,2025-05-18T01:21:45Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5735201239,212,6.6,5735201235,140,25.0,5735201233,56,Back,5735201241,213,1.54,5735201237,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816202985,164,1,1,14,43,ak0rmms5xl49w57i2rvid1tk9,1,25.0,16.7,2025-05-18T01:21:45.779Z,2025-05-18T01:21:50Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735201573,212,25.8,5735201571,141,54.6,5735201569,140,25.0,5735201575,213,1.57,5735201567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203001,165,1,1,14,47,ak0rmms5xl49w57i2rvid1tk9,1,25.0,54.6,2025-05-18T01:21:50.380Z,2025-05-18T01:21:53Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735201657,56,Back,5735201663,212,28.5,5735201661,141,85.3,5735201665,213,0.82,5735201659,140,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203039,166,1,1,14,51,ak0rmms5xl49w57i2rvid1tk9,1,43.5,85.3,2025-05-18T01:21:53.650Z,2025-05-18T01:21:57Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735201915,140,52.6,5735201913,56,Left,5735201919,212,9.6,5735201921,213,0.07,5735201917,141,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203085,167,1,1,14,55,ak0rmms5xl49w57i2rvid1tk9,1,45.7,75.9,2025-05-18T01:21:57.748Z,2025-05-18T01:22:03Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5735202145,56,Back,5735202153,213,4.55,5735202149,141,36.3,5735202151,212,27.3,5735202147,140,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203109,168,1,1,15,0,ak0rmms5xl49w57i2rvid1tk9,0,53.2,27.9,2025-05-18T01:22:03.181Z,2025-05-18T01:22:06Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735202245,212,49.6,5735202239,56,Center,5735202249,1,,5735202247,213,6.24,5735202241,140,100.0,5735202237,155,,5735202243,141,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203297,87,5,1,15,3,224tl8u2smnbyliroayk69nt0,1,-0.7,75.7,2025-05-18T01:22:05.840Z,2025-05-18T04:09:09Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735203337,233,169,5735203287,346,,5735203285,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203257,169,5,1,15,3,ak0rmms5xl49w57i2rvid1tk9,0,100.7,24.3,2025-05-18T01:22:05.840Z,2025-05-18T04:09:10Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735203389,233,87,5735203073,56,Center,5735203079,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203453,88,1,1,15,38,224tl8u2smnbyliroayk69nt0,1,3.6,56.1,2025-05-18T01:22:41.020Z,2025-05-18T01:22:44Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5735204063,56,Left,5735204067,141,84.5,5735204061,124,,5735204077,74,,5735204069,212,59.0,5735204071,213,0.33,5735204065,140,56.7,5735204073,1,,,,,,,,,,,,,,,,,,,,,,,,
2816203457,89,44,1,15,41,224tl8u2smnbyliroayk69nt0,1,58.2,85.0,2025-05-18T01:22:44.164Z,2025-05-18T03:35:15Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735204093,286,,5735204219,233,171,5735204091,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203475,171,44,1,15,41,ak0rmms5xl49w57i2rvid1tk9,0,41.8,15.0,2025-05-18T01:22:44.165Z,2025-05-18T03:35:16Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5735204151,56,Back,5735204157,285,,5735204247,233,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203493,90,1,1,15,41,224tl8u2smnbyliroayk69nt0,0,56.1,86.0,2025-05-18T01:22:44.291Z,2025-05-18T01:22:47Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735204279,141,93.2,5735204281,212,11.7,5735204275,56,Left,5735204283,213,0.43,5735204273,168,,5735204277,140,66.2,5735204271,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203547,173,1,1,15,45,ak0rmms5xl49w57i2rvid1tk9,1,16.6,4.1,2025-05-18T01:22:48.500Z,2025-05-18T01:22:52Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735204577,141,34.2,5735204579,212,23.6,5735204573,56,Back,5735204581,213,2.09,5735204575,140,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203591,174,1,1,15,49,ak0rmms5xl49w57i2rvid1tk9,0,5.1,46.7,2025-05-18T01:22:52.232Z,2025-05-18T01:22:57Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735204793,212,42.8,5735204785,157,,5735204789,140,45.8,5735204797,1,,5735204791,141,49.6,5735204795,213,0.05,5735204787,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203597,91,44,1,15,53,224tl8u2smnbyliroayk69nt0,1,52.7,50.8,2025-05-18T01:22:56.344Z,2025-05-18T03:35:16Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735204823,56,Center,5735204899,233,175,5735204825,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203595,175,44,1,15,53,ak0rmms5xl49w57i2rvid1tk9,0,47.3,49.2,2025-05-18T01:22:56.345Z,2025-05-18T03:35:17Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735204815,56,Back,5735204817,285,,5735204907,233,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203651,92,1,1,15,54,224tl8u2smnbyliroayk69nt0,1,50.2,51.6,2025-05-18T01:22:56.988Z,2025-05-18T01:23:00Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735205143,141,57.3,5735205141,140,58.0,5735205147,213,0.44,5735205137,3,,5735205139,56,Center,5735205145,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203657,93,44,1,15,57,224tl8u2smnbyliroayk69nt0,1,61.4,57.8,2025-05-18T01:22:59.975Z,2025-05-18T03:35:17Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5735205221,233,176,5735205171,56,Center,5735205173,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203645,176,44,1,15,57,ak0rmms5xl49w57i2rvid1tk9,0,38.6,42.2,2025-05-18T01:22:59.976Z,2025-05-18T03:35:17Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735205237,233,93,5735205121,285,,5735205119,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203669,94,1,1,15,58,224tl8u2smnbyliroayk69nt0,0,58.2,57.9,2025-05-18T01:23:00.660Z,2025-05-18T03:42:29Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5735205283,140,67.0,5735205289,212,12.1,5735205285,141,69.4,5735205275,3,,5735205293,213,0.70,5735205279,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203663,177,1,1,15,59,ak0rmms5xl49w57i2rvid1tk9,0,32.7,38.9,2025-05-18T01:23:01.656Z,2025-05-18T02:03:35Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5735205381,236,,5735205387,286,,5735205201,212,0.2,5735205199,141,39.1,5735205383,233,95,5735205195,56,Back,5735205203,213,0.91,5735205197,140,32.8,,,,,,,,,,,,,,,,,,,,,,,
2816203673,95,74,1,15,59,224tl8u2smnbyliroayk69nt0,1,65.8,71.1,2025-05-18T01:23:01.657Z,2025-05-18T04:20:03Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5735205425,233,177,5735205325,285,,5735205323,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203729,96,1,1,16,4,224tl8u2smnbyliroayk69nt0,1,61.7,90.9,2025-05-18T01:23:06.860Z,2025-05-18T01:23:09Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735205601,140,55.4,5735205607,213,3.61,5735205603,141,86.0,5735205599,56,Left,5735205605,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203767,97,1,1,16,6,224tl8u2smnbyliroayk69nt0,1,55.3,86.0,2025-05-18T01:23:08.899Z,2025-05-18T01:23:13Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,,5735205873,212,17.9,5735205871,141,67.5,5735205869,140,43.2,5735205875,213,3.92,5735205867,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203783,98,1,1,16,11,224tl8u2smnbyliroayk69nt0,1,38.9,66.4,2025-05-18T01:23:13.779Z,2025-05-18T01:23:16Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5735205933,141,40.3,5735205931,140,39.8,5735205937,213,4.77,5735205935,212,17.8,5735205929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203797,99,1,1,16,13,224tl8u2smnbyliroayk69nt0,1,39.3,39.8,2025-05-18T01:23:16.051Z,2025-05-18T01:23:18Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735206031,213,1.71,5735206027,141,56.0,5735206025,140,37.8,5735206023,56,Back,5735206029,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203841,100,1,1,16,15,224tl8u2smnbyliroayk69nt0,1,35.7,59.9,2025-05-18T01:23:17.795Z,2025-05-18T01:23:22Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5735206303,212,17.2,5735206301,141,84.7,5735206299,140,38.7,5735206297,56,Back,5735206305,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203869,101,1,1,16,19,224tl8u2smnbyliroayk69nt0,1,38.1,87.7,2025-05-18T01:23:22.235Z,2025-05-18T01:23:25Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,,5735206465,212,22.9,5735206457,56,Left,5735206463,141,79.0,5735206467,213,6.02,5735206461,140,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203871,102,61,1,16,23,224tl8u2smnbyliroayk69nt0,0,59.2,79.1,2025-05-18T01:23:25.651Z,2025-05-18T01:23:26Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735206483,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203873,178,3,1,16,23,ak0rmms5xl49w57i2rvid1tk9,0,39.7,24.8,2025-05-18T01:23:26.304Z,2025-05-18T03:19:03Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735206639,233,103,5735206493,56,Back,5735206495,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203891,103,7,1,16,23,224tl8u2smnbyliroayk69nt0,1,60.3,75.2,2025-05-18T01:23:26.305Z,2025-05-18T03:19:02Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735206551,285,,5735206583,233,178,5735206549,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203955,104,1,1,16,25,224tl8u2smnbyliroayk69nt0,1,68.0,74.4,2025-05-18T01:23:28.059Z,2025-05-18T01:23:34Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5735206951,141,94.1,5735206949,140,79.7,5735206953,212,18.2,5735206947,56,Left,5735206955,213,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816203985,105,1,1,16,31,224tl8u2smnbyliroayk69nt0,1,83.1,87.8,2025-05-18T01:23:33.932Z,2025-05-18T01:23:36Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5735207073,140,92.5,5735207065,155,,5735207077,212,38.4,5735207069,56,Center,5735207075,141,33.3,5735207081,1,,5735207079,213,4.97,5735207063,2,,,,,,,,,,,,,,,,,,,,,,,,
