id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2789643515,120,7,1,17,22,c9xffml4i7ihblp1qhus9w3fu,1,51.4,20.2,2025-03-16T20:55:58.982Z,2025-03-16T20:56:04Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5588822255,285,,5588822269,233,145,5588822253,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643519,121,50,1,17,23,c9xffml4i7ihblp1qhus9w3fu,1,50.4,23.5,2025-03-16T20:56:00.102Z,2025-03-16T22:43:24Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5588822267,286,,5588822431,233,146,5588822265,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643535,146,7,1,17,23,83cpn99fh7ulkwe8nezy8a3mx,1,49.6,76.5,2025-03-16T20:56:00.103Z,2025-03-16T22:43:23Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588822381,56,Back,5588822409,233,121,5588822383,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643549,147,1,1,17,27,83cpn99fh7ulkwe8nezy8a3mx,1,51.1,86.3,2025-03-16T20:56:03.702Z,2025-03-16T23:06:00Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,,5588822459,141,71.8,5588822461,212,14.8,5588822463,213,3.87,5588822455,56,Back,5588822457,140,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643595,148,1,1,17,29,83cpn99fh7ulkwe8nezy8a3mx,1,35.3,80.3,2025-03-16T20:56:05.705Z,2025-03-16T21:44:52Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588822771,141,62.8,5588822773,212,17.1,5588822767,56,Back,5588822769,140,47.0,5588822775,213,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643607,151,1,1,17,30,83cpn99fh7ulkwe8nezy8a3mx,1,58.0,59.5,2025-03-16T20:56:07.186Z,2025-03-16T21:45:13Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588992133,141,77.1,5588992131,140,67.4,5588992137,213,0.88,5588992129,56,Center,5588992135,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789674917,398,1,1,17,32,83cpn99fh7ulkwe8nezy8a3mx,1,61.3,69.3,2025-03-16T20:56:09.185Z,2025-03-16T21:46:10Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588994725,140,68.2,5588994731,213,1.09,5588994727,141,89.9,5588994723,56,Left,5588994729,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643601,149,1,1,17,34,83cpn99fh7ulkwe8nezy8a3mx,0,67.4,91.4,2025-03-16T20:56:11.514Z,2025-03-17T01:10:14Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5588822809,141,68.4,5588822805,56,Center,5588822811,212,24.9,5588822813,213,5.61,5588822801,2,,5588822803,155,,5588822807,140,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643605,122,12,1,17,36,c9xffml4i7ihblp1qhus9w3fu,1,8.7,42.8,2025-03-16T20:56:12.887Z,2025-03-16T20:56:32Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588822829,141,38.5,5588822851,15,,5588822825,56,Back,5588822827,140,26.9,5588822833,213,6.13,5588822831,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643629,123,4,1,17,38,c9xffml4i7ihblp1qhus9w3fu,1,37.4,35.2,2025-03-16T20:56:15.422Z,2025-03-16T20:56:22Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588823031,56,Back,5588823033,152,,5588823037,286,,5588823051,233,152,5588823035,265,,5588823029,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643625,152,4,1,17,38,83cpn99fh7ulkwe8nezy8a3mx,0,62.6,64.8,2025-03-16T20:56:15.423Z,2025-03-16T23:06:16Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588823079,233,123,5588822995,265,,5588822989,13,,5588822997,285,,5588822993,152,,5588822991,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643899,124,1,1,18,18,c9xffml4i7ihblp1qhus9w3fu,1,30.8,42.2,2025-03-16T20:56:54.613Z,2025-03-16T20:56:56Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588824955,152,,5588824969,141,27.4,5588824951,5,,5588824965,140,31.4,5588824961,56,Back,5588824973,212,10.1,5588824977,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643937,125,1,1,18,19,c9xffml4i7ihblp1qhus9w3fu,1,31.4,27.4,2025-03-16T20:56:56.557Z,2025-03-16T20:57:02Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588825249,140,30.4,5588825253,212,10.7,5588825251,141,43.1,5588825255,213,1.67,5588825247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643965,126,1,1,18,25,c9xffml4i7ihblp1qhus9w3fu,1,34.6,44.5,2025-03-16T20:57:02.142Z,2025-03-16T20:57:07Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588825479,213,4.86,5588825475,141,20.9,5588825473,140,36.9,5588825471,56,Back,5588825477,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643995,127,1,1,18,31,c9xffml4i7ihblp1qhus9w3fu,1,35.9,18.8,2025-03-16T20:57:07.629Z,2025-03-16T20:57:10Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588825657,140,56.7,5588825655,56,Right,5588825661,212,24.2,5588825663,213,5.84,5588825659,141,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644013,128,1,1,18,33,c9xffml4i7ihblp1qhus9w3fu,1,56.4,5.6,2025-03-16T20:57:10.453Z,2025-03-16T20:57:14Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588825809,141,12.9,5588825813,213,2.91,5588825811,212,21.9,5588825805,56,Back,5588825807,140,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644029,129,1,1,18,37,c9xffml4i7ihblp1qhus9w3fu,1,36.1,12.9,2025-03-16T20:57:14.182Z,2025-03-16T20:57:16Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588825875,56,Back,5588825879,141,4.7,5588825877,140,44.8,5588825883,213,5.74,5588825881,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644039,130,1,1,18,40,c9xffml4i7ihblp1qhus9w3fu,0,44.8,4.7,2025-03-16T20:57:16.590Z,2025-03-16T20:57:43Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588825951,155,,5588825953,56,Right,5588825957,141,11.3,5588825955,140,66.8,5588825961,213,0.19,5588825959,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644053,153,12,1,18,41,83cpn99fh7ulkwe8nezy8a3mx,1,22.7,91.8,2025-03-16T20:57:18.137Z,2025-03-16T21:46:45Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5588826095,141,85.1,5588826091,56,Back,5588826093,140,29.8,5588826097,212,8.7,5588826099,213,5.73,5588996657,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644063,154,1,1,18,43,83cpn99fh7ulkwe8nezy8a3mx,1,29.7,84.8,2025-03-16T20:57:20.531Z,2025-03-16T23:47:10Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588826167,141,85.6,5588826161,3,,5588826171,213,0.04,5588826163,56,Back,5588826165,140,44.2,5588997467,168,,5588826169,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789674911,397,61,1,18,45,83cpn99fh7ulkwe8nezy8a3mx,0,46.7,96.3,2025-03-16T20:57:22.033Z,2025-03-16T21:47:58Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,,5589000525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644097,131,1,1,18,47,c9xffml4i7ihblp1qhus9w3fu,1,34.6,35.2,2025-03-16T20:57:23.813Z,2025-03-16T20:57:26Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588826425,140,53.0,5588826423,56,Center,5588826431,213,0.51,5588826427,141,51.0,5588826429,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644103,132,43,1,18,50,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-16T20:57:26.742Z,2025-03-16T20:57:29Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588826575,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644105,133,1,1,18,50,c9xffml4i7ihblp1qhus9w3fu,0,52.7,51.0,2025-03-16T20:57:26.925Z,2025-03-16T20:57:27Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588826487,1,,5588826477,56,Left,5588826481,141,100.0,5588826483,212,38.7,5588826485,213,1.07,5588826475,155,,5588826479,140,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644107,134,5,1,18,51,c9xffml4i7ihblp1qhus9w3fu,0,71.4,101.4,2025-03-16T20:57:27.736Z,2025-03-16T23:57:49Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588826515,347,,5588827509,233,155,5588826513,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644227,155,5,1,18,51,83cpn99fh7ulkwe8nezy8a3mx,1,28.6,-1.4,2025-03-16T20:57:27.736Z,2025-03-16T23:57:49Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588827485,233,134,5588827441,56,Back,5588827443,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644257,156,1,1,19,9,83cpn99fh7ulkwe8nezy8a3mx,0,32.0,0.0,2025-03-16T20:57:46.265Z,2025-03-16T20:57:50Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5588827575,213,0.60,5588827565,107,,5588827569,140,45.4,5588827567,56,Back,5588827571,141,12.2,5588827573,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644261,135,43,1,19,12,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-16T20:57:48.636Z,2025-03-16T20:58:21Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5588829219,144,8,5588827607,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644297,137,13,1,19,15,c9xffml4i7ihblp1qhus9w3fu,1,89.0,68.5,2025-03-16T20:57:52.373Z,2025-03-17T00:34:06Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5588828195,102,59.2,5588828203,231,51.4,5588828197,103,9.7,5588827861,64,,5588827859,22,,5588828201,230,99.8,5588829469,458,,5588828199,215,,5589355243,83,,5588827863,56,Center,5588828019,72,,,,,,,,,,,,,,,,
2789644315,138,5,1,19,17,c9xffml4i7ihblp1qhus9w3fu,0,101.0,58.4,2025-03-16T20:57:53.724Z,2025-03-16T23:57:50Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5588828375,233,157,5588827993,56,Center,5588827995,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644355,157,5,1,19,17,83cpn99fh7ulkwe8nezy8a3mx,1,-1.0,41.6,2025-03-16T20:57:53.724Z,2025-03-16T23:57:49Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588828327,56,Back,5588828367,233,138,5588828329,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644575,158,1,1,19,49,83cpn99fh7ulkwe8nezy8a3mx,0,3.3,51.8,2025-03-16T20:58:25.986Z,2025-03-16T20:58:28Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,5588829625,1,,5588829619,141,86.0,5588829627,74,,5588829621,212,62.1,5588829623,213,0.38,5588829615,56,Left,5588829613,124,,5588829617,140,58.1,,,,,,,,,,,,,,,,,,,,,,,,
2789644585,139,1,1,19,52,c9xffml4i7ihblp1qhus9w3fu,0,40.9,13.1,2025-03-16T20:58:28.796Z,2025-03-16T20:58:30Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588829709,212,24.0,5588829711,213,0.04,5588829705,140,63.7,5588829701,3,,5588829703,56,Right,5588829707,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644601,159,1,1,19,54,83cpn99fh7ulkwe8nezy8a3mx,1,32.4,84.2,2025-03-16T20:58:31.509Z,2025-03-16T20:58:33Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588829825,3,,5588829835,213,0.35,5588829829,140,35.4,5588829831,141,85.9,5588829827,56,Back,5588829833,212,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644629,160,1,1,19,56,83cpn99fh7ulkwe8nezy8a3mx,0,39.4,92.0,2025-03-16T20:58:32.969Z,2025-03-16T20:58:36Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5588830011,140,40.7,5588830013,141,87.4,5588830017,213,5.12,5588830007,3,,5588830015,212,3.4,5588830009,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644655,161,61,1,20,1,83cpn99fh7ulkwe8nezy8a3mx,0,40.0,81.4,2025-03-16T20:58:37.954Z,2025-03-16T20:58:38Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588830207,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644663,140,1,1,20,1,c9xffml4i7ihblp1qhus9w3fu,1,60.8,22.7,2025-03-16T20:58:38.108Z,2025-03-16T20:58:39Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5588830265,140,61.6,5588830269,212,5.5,5588830267,141,14.7,5588830271,213,4.87,5588830263,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644697,142,1,1,20,2,c9xffml4i7ihblp1qhus9w3fu,1,61.7,15.6,2025-03-16T20:58:39.275Z,2025-03-16T20:58:42Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588830469,212,17.2,5588830465,140,77.3,5588830471,213,5.97,5588830463,56,Right,5588830467,141,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644723,143,1,1,20,5,c9xffml4i7ihblp1qhus9w3fu,1,81.1,9.4,2025-03-16T20:58:42.203Z,2025-03-16T20:58:44Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588830621,141,25.9,5588830623,212,11.9,5588830617,56,Center,5588830625,213,1.24,5588830619,140,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644733,144,1,1,20,7,c9xffml4i7ihblp1qhus9w3fu,0,80.5,23.7,2025-03-16T20:58:44.491Z,2025-03-16T20:58:45Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588830667,140,85.5,5588830673,213,1.07,5588830671,212,10.9,5588830665,56,Center,5588830669,141,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644761,162,1,1,20,9,83cpn99fh7ulkwe8nezy8a3mx,1,12.8,63.4,2025-03-16T20:58:46.049Z,2025-03-16T20:58:48Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588830833,56,Back,5588830841,213,0.87,5588830837,141,70.0,5588830839,212,5.9,5588830835,140,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644775,164,1,1,20,12,83cpn99fh7ulkwe8nezy8a3mx,1,16.5,70.0,2025-03-16T20:58:48.801Z,2025-03-16T23:47:15Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588830935,141,29.1,5588830937,212,32.4,5588830931,56,Back,5588830941,1,,5588830933,140,32.3,5588830927,155,,5588830939,213,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644793,165,50,1,20,17,83cpn99fh7ulkwe8nezy8a3mx,1,39.6,11.0,2025-03-16T20:58:53.657Z,2025-03-16T20:58:59Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588831041,286,,5588831039,56,Back,5588831193,233,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644799,145,7,1,20,17,c9xffml4i7ihblp1qhus9w3fu,1,60.4,89.0,2025-03-16T20:58:53.658Z,2025-03-16T20:58:58Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5588831073,56,Left,5588831071,167,,5588831141,233,165,5588831075,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644865,146,5,1,20,17,c9xffml4i7ihblp1qhus9w3fu,0,62.2,100.9,2025-03-16T20:58:54.387Z,2025-03-16T23:57:51Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5588831437,56,Left,5588831505,233,166,5588831439,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644825,166,5,1,20,17,83cpn99fh7ulkwe8nezy8a3mx,1,37.8,-0.9,2025-03-16T20:58:54.387Z,2025-03-16T23:57:50Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588831221,56,Back,5588831223,347,,5588831459,233,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644897,167,1,1,20,24,83cpn99fh7ulkwe8nezy8a3mx,1,38.8,0.0,2025-03-16T20:59:01.265Z,2025-03-16T21:49:46Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5588831641,56,Back,5588831643,140,29.4,5588831647,212,14.2,5589004859,189,,5588831645,141,14.7,5588831649,213,2.34,5588831639,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644901,168,43,1,20,26,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-16T20:59:03.160Z,2025-03-16T21:49:42Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588831697,56,Back,5588831705,213,5.26,5589005173,189,0,5589006363,144,1,5588831703,212,4.9,5588831699,140,31.8,5588831701,141,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789644917,169,1,1,20,29,83cpn99fh7ulkwe8nezy8a3mx,0,37.5,7.7,2025-03-16T20:59:06.017Z,2025-03-16T20:59:06Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588831785,213,1.16,5588831779,140,53.7,5588831777,56,Center,5588831787,1,,5588831783,212,42.5,5588831781,141,64.9,5588831773,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645007,148,1,1,20,34,c9xffml4i7ihblp1qhus9w3fu,1,55.8,40.4,2025-03-16T20:59:10.819Z,2025-03-16T20:59:14Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588832237,140,72.4,5588832241,212,17.4,5588832243,213,0.01,5588832235,56,Center,5588832239,141,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645011,149,4,1,20,38,c9xffml4i7ihblp1qhus9w3fu,1,67.8,35.2,2025-03-16T20:59:14.684Z,2025-03-16T22:42:57Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588832281,265,,5588832283,286,,5588832277,56,Center,5588832351,233,170,5588832275,13,,5588832279,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645009,170,4,1,20,38,83cpn99fh7ulkwe8nezy8a3mx,0,32.2,64.8,2025-03-16T20:59:14.685Z,2025-03-16T22:42:57Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588832371,233,149,5588832339,285,,5588832337,265,,5588832333,56,Back,5588832331,13,,5588832335,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645165,150,1,1,20,53,c9xffml4i7ihblp1qhus9w3fu,1,66.6,37.3,2025-03-16T20:59:30.323Z,2025-03-16T20:59:32Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588833165,140,60.4,5588833159,5,,5588833167,141,10.1,5588833161,152,,5588833171,213,4.37,5588833163,56,Right,5588833169,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645177,151,1,1,20,55,c9xffml4i7ihblp1qhus9w3fu,1,60.4,10.0,2025-03-16T20:59:31.826Z,2025-03-16T20:59:33Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588833255,213,1.60,5588833247,56,Center,5588833249,140,60.1,5588833251,141,25.5,5588833253,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645201,152,1,1,20,56,c9xffml4i7ihblp1qhus9w3fu,1,59.2,23.0,2025-03-16T20:59:33.379Z,2025-03-16T20:59:34Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588833341,141,25.8,5588833343,212,13.8,5588833337,56,Center,5588833339,140,72.2,5588833345,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645251,153,1,1,20,58,c9xffml4i7ihblp1qhus9w3fu,1,72.6,23.4,2025-03-16T20:59:34.690Z,2025-03-16T20:59:38Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588833619,56,Right,5588833625,212,14.9,5588833623,141,5.5,5588833621,140,80.8,5588833627,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645271,154,1,1,21,1,c9xffml4i7ihblp1qhus9w3fu,0,81.6,6.1,2025-03-16T20:59:38.403Z,2025-03-16T20:59:40Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588833723,2,,5588833733,212,30.2,5588833727,56,Center,5588833731,141,44.0,5588833735,213,1.02,5588833725,155,,5588833729,140,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645295,171,12,1,21,3,83cpn99fh7ulkwe8nezy8a3mx,1,3.0,51.9,2025-03-16T20:59:40.496Z,2025-03-16T20:59:42Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588833839,212,18.2,5588833837,141,77.6,5588833895,167,,5588833841,213,1.85,5588833833,56,Back,5588833835,140,0.0,5588833851,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645289,155,6,1,21,4,c9xffml4i7ihblp1qhus9w3fu,1,99.8,30.5,2025-03-16T20:59:40.739Z,2025-03-16T22:43:11Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588833983,233,172,5588833881,56,Center,5588833885,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645303,172,6,1,21,4,83cpn99fh7ulkwe8nezy8a3mx,0,0.2,69.5,2025-03-16T20:59:40.739Z,2025-03-16T22:43:11Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588833943,56,Back,5588833945,73,,5588833993,233,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645607,156,1,1,21,35,c9xffml4i7ihblp1qhus9w3fu,0,99.5,0.5,2025-03-16T21:00:12.075Z,2025-03-16T21:00:14Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588835691,155,,5588835693,223,,5588835697,140,95.8,5588835701,212,27.4,5588835689,6,,5588835703,213,1.71,5588835695,56,Center,5588835687,2,,5588835699,141,40.4,,,,,,,,,,,,,,,,,,,,,
2789645615,173,12,1,21,37,83cpn99fh7ulkwe8nezy8a3mx,1,4.1,55.4,2025-03-16T21:00:14.449Z,2025-03-16T21:00:16Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588835745,213,1.28,5588835743,212,32.3,5588835823,167,,5588835741,141,100.0,5588835737,56,Back,5588835739,140,12.8,5588835777,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645799,157,5,1,21,39,c9xffml4i7ihblp1qhus9w3fu,1,88.1,-1.2,2025-03-16T21:00:16.265Z,2025-03-16T23:57:51Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5588836779,347,,5588836777,56,Right,5588836793,233,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645625,174,5,1,21,39,83cpn99fh7ulkwe8nezy8a3mx,0,11.9,101.2,2025-03-16T21:00:16.265Z,2025-03-16T23:57:51Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588836805,233,157,5588835809,56,Back,5588835811,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645863,158,1,1,21,57,c9xffml4i7ihblp1qhus9w3fu,0,89.7,0.0,2025-03-16T21:00:34.041Z,2025-03-16T21:00:40Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588837099,107,,5588837109,213,1.37,5588837111,1,,5588837105,141,36.3,5588837107,212,26.2,5588837101,56,Center,5588837103,140,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645849,175,44,1,22,0,83cpn99fh7ulkwe8nezy8a3mx,1,6.3,60.3,2025-03-16T21:00:37.569Z,2025-03-16T23:58:24Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588837015,56,Back,5588837263,233,159,5588837017,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645871,159,44,1,22,1,c9xffml4i7ihblp1qhus9w3fu,0,93.7,39.7,2025-03-16T21:00:37.570Z,2025-03-16T23:58:24Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588837271,233,175,5588837153,286,,5588837151,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645875,176,12,1,22,1,83cpn99fh7ulkwe8nezy8a3mx,1,7.6,53.3,2025-03-16T21:00:38.129Z,2025-03-16T23:47:14Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588837171,213,0.91,5588837163,56,Back,5588837167,141,67.5,5588837169,212,12.2,5588837165,140,14.7,5589010115,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789645905,160,1,1,22,5,c9xffml4i7ihblp1qhus9w3fu,0,92.8,11.3,2025-03-16T21:00:41.641Z,2025-03-16T21:00:44Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5588837343,140,93.1,5588837337,2,,5588837521,233,177,5588837527,286,,5588837349,213,1.55,5588837341,56,Center,5588837347,212,13.2,5588837345,141,30.7,5588837339,155,,5588837517,236,,,,,,,,,,,,,,,,,,,
