id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818493393,156,1,1,18,12,224tl8u2smnbyliroayk69nt0,1,63.5,59.7,2025-05-24T20:24:44.264Z,2025-05-24T20:24:48Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747903353,56,Center,5747903361,213,4.06,5747903359,212,17.6,5747903407,156,,5747903355,140,53.4,5747903357,141,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493451,157,1,1,18,16,224tl8u2smnbyliroayk69nt0,1,56.9,35.7,2025-05-24T20:24:48.112Z,2025-05-24T20:24:50Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747903721,140,55.0,5747903719,56,Center,5747903723,141,58.7,5747903725,212,15.8,5747903727,213,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493477,158,1,1,18,18,224tl8u2smnbyliroayk69nt0,1,53.2,57.0,2025-05-24T20:24:50.304Z,2025-05-24T20:24:54Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5747903863,213,4.87,5747903859,141,29.4,5747903861,212,19.0,5747903855,56,Center,5747903857,140,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493501,159,1,1,18,22,224tl8u2smnbyliroayk69nt0,0,58.1,26.4,2025-05-24T20:24:54.240Z,2025-05-24T20:24:56Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747903989,1,,5747903983,141,30.7,5747903977,155,,5747903981,140,88.6,5747903985,212,32.2,5747903987,213,0.09,5747903979,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493555,170,1,1,18,28,daicfonrbj124lu2la2rctxck,1,11.9,68.8,2025-05-24T20:25:00.716Z,2025-05-24T20:25:09Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5747904301,213,0.72,5747904279,56,Back,5747904295,212,26.4,5747904341,287,,5747904275,123,,5747904289,141,94.5,5747904283,140,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495501,184,45,1,18,34,224tl8u2smnbyliroayk69nt0,0,33.0,19.0,2025-05-24T20:25:05.903Z,2025-05-24T22:12:35Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747915291,233,205,5747915103,56,Back,5747915105,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495447,205,3,1,18,34,daicfonrbj124lu2la2rctxck,1,67.0,81.0,2025-05-24T20:25:05.903Z,2025-05-24T22:12:34Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747914801,286,,5747915267,233,184,5747914799,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493667,160,83,1,18,35,224tl8u2smnbyliroayk69nt0,0,48.2,25.0,2025-05-24T20:25:07.720Z,2025-05-24T22:06:05Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747905845,399,9ch7zgxlcjiio0xbo2hhl2yvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493719,171,1,1,18,37,daicfonrbj124lu2la2rctxck,1,64.7,77.2,2025-05-24T20:25:09.292Z,2025-05-24T20:28:46Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747905241,213,6.09,5747905239,212,16.7,5747905235,140,80.3,5747905237,141,72.4,5747905233,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493705,161,83,1,18,42,224tl8u2smnbyliroayk69nt0,0,32.3,24.6,2025-05-24T20:25:14.160Z,2025-05-24T20:25:26Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747905843,399,449e2muutlpvx9lhv1t2tcsmh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493725,172,50,1,18,44,daicfonrbj124lu2la2rctxck,1,84.2,93.4,2025-05-24T20:25:15.940Z,2025-05-24T20:25:26Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,5747905281,56,Left,5747905283,286,,5747905485,233,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493751,162,7,1,18,44,224tl8u2smnbyliroayk69nt0,1,15.8,6.6,2025-05-24T20:25:15.941Z,2025-05-24T20:25:24Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747905475,233,172,5747905459,285,,5747905455,167,,5747905457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493807,163,5,1,18,45,224tl8u2smnbyliroayk69nt0,0,21.2,-2.0,2025-05-24T20:25:16.876Z,2025-05-24T22:12:09Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747905783,56,Back,5747905837,233,173,5747905787,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493747,173,5,1,18,45,daicfonrbj124lu2la2rctxck,1,78.8,102.0,2025-05-24T20:25:16.876Z,2025-05-24T22:12:09Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,5747905797,233,163,5747905421,56,Left,5747905423,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493779,174,1,1,18,48,daicfonrbj124lu2la2rctxck,1,82.6,100.0,2025-05-24T20:25:19.798Z,2025-05-24T20:25:23Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,5747905603,140,72.3,5747905607,212,12.9,5747905605,141,91.7,5747905599,107,,5747905609,213,3.72,5747905601,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493789,175,1,1,18,50,daicfonrbj124lu2la2rctxck,0,72.3,91.7,2025-05-24T20:25:22.539Z,2025-05-24T20:25:23Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,5747905695,213,4.80,5747905689,140,73.2,5747905693,212,10.9,5747905687,56,Center,5747905691,141,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493829,164,1,1,18,53,224tl8u2smnbyliroayk69nt0,1,27.2,43.1,2025-05-24T20:25:25.544Z,2025-05-24T20:27:14Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747905917,1,,5747905915,213,1.53,5747905907,56,Back,5747905905,157,,5747905911,141,83.9,5747905913,212,27.8,5747905909,140,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494825,177,61,1,18,54,224tl8u2smnbyliroayk69nt0,1,15.8,92.3,2025-05-24T20:25:26.030Z,2025-05-24T20:27:13Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747911369,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493865,176,1,1,18,59,daicfonrbj124lu2la2rctxck,0,77.7,13.7,2025-05-24T20:25:30.964Z,2025-05-24T20:25:34Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5747906173,212,2.7,5747906163,56,Right,5747906275,236,,5747906277,233,165,5747906281,286,,5747906171,141,17.3,5747906175,213,1.17,5747906167,140,78.7,5747906155,2,,5747906357,155,,,,,,,,,,,,,,,,,,,,,,,,,
2818493861,165,12,1,18,59,224tl8u2smnbyliroayk69nt0,1,20.8,76.0,2025-05-24T20:25:31.064Z,2025-05-24T20:25:34Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747906301,233,176,5747906143,185,,5747906145,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493903,166,61,1,19,4,224tl8u2smnbyliroayk69nt0,0,28.9,89.4,2025-05-24T20:25:35.919Z,2025-05-24T20:25:36Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747906387,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493943,177,1,1,19,6,daicfonrbj124lu2la2rctxck,1,69.8,24.3,2025-05-24T20:25:37.971Z,2025-05-24T20:25:40Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5747906587,141,35.5,5747906585,140,61.2,5747906591,213,2.44,5747906583,56,Center,5747906589,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493969,178,1,1,19,8,daicfonrbj124lu2la2rctxck,1,61.5,35.4,2025-05-24T20:25:40.307Z,2025-05-24T20:25:42Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5747906725,212,8.9,5747906727,213,5.05,5747906723,141,23.0,5747906719,56,Center,5747906721,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818493995,179,1,1,19,10,daicfonrbj124lu2la2rctxck,1,64.3,23.0,2025-05-24T20:25:42.299Z,2025-05-24T20:25:44Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747906859,56,Right,5747906861,140,64.2,5747906865,212,8.8,5747906867,213,4.70,5747906863,141,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494011,180,1,1,19,12,daicfonrbj124lu2la2rctxck,1,64.2,10.0,2025-05-24T20:25:44.108Z,2025-05-24T20:25:46Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747906947,56,Center,5747906953,212,8.4,5747906951,141,21.6,5747906955,213,1.92,5747906949,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494057,181,1,1,19,14,daicfonrbj124lu2la2rctxck,1,61.8,21.8,2025-05-24T20:25:45.859Z,2025-05-24T20:25:49Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747907191,212,12.1,5747907193,213,4.89,5747907189,141,4.3,5747907187,140,63.8,5747907185,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494073,167,45,1,19,17,224tl8u2smnbyliroayk69nt0,0,30.0,92.8,2025-05-24T20:25:49.060Z,2025-05-24T22:12:35Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747907455,233,182,5747907279,285,,5747907277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494085,182,3,1,19,17,daicfonrbj124lu2la2rctxck,1,70.0,7.2,2025-05-24T20:25:49.060Z,2025-05-24T22:12:35Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747907403,233,167,5747907321,56,Right,5747907323,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494131,183,1,1,19,19,daicfonrbj124lu2la2rctxck,0,84.8,5.0,2025-05-24T20:25:51.459Z,2025-05-24T20:25:54Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747907583,1,,5747907581,213,1.40,5747907577,141,57.9,5747907575,140,90.8,5747907571,155,,5747907579,212,36.5,5747907569,2,,5747907573,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494137,168,12,1,19,22,224tl8u2smnbyliroayk69nt0,1,8.0,41.8,2025-05-24T20:25:54.088Z,2025-05-24T20:26:02Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5747907607,141,19.7,5747907605,140,15.2,5747907609,212,16.8,5747907639,15,,5747907603,56,Back,5747907611,213,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494203,184,1,1,19,29,daicfonrbj124lu2la2rctxck,0,98.2,73.0,2025-05-24T20:26:01.091Z,2025-05-24T20:26:03Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747908019,286,,5747908013,236,,5747907955,141,67.2,5747907957,212,4.1,5747908015,233,169,5747907953,140,97.2,5747907959,213,4.45,5747907951,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494207,169,74,1,19,29,224tl8u2smnbyliroayk69nt0,1,2.8,32.8,2025-05-24T20:26:01.092Z,2025-05-24T21:22:09Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5747907975,285,,5747907973,56,Back,5747908039,233,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494221,170,6,1,19,30,224tl8u2smnbyliroayk69nt0,0,2.8,32.8,2025-05-24T20:26:02.584Z,2025-05-24T20:26:05Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5747908141,73,,5747908173,233,185,5747908139,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494217,185,6,1,19,30,daicfonrbj124lu2la2rctxck,1,97.2,67.2,2025-05-24T20:26:02.584Z,2025-05-24T21:21:57Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747908089,56,Center,5747908091,73,,5747908155,233,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494479,186,1,1,19,58,daicfonrbj124lu2la2rctxck,0,99.5,99.5,2025-05-24T20:26:29.939Z,2025-05-24T22:38:27Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,5747909503,213,4.62,5747909487,2,,5747909497,140,96.7,5747909495,56,Center,5747909501,212,31.1,5747909491,155,,5747909493,223,,5747909489,6,,5747909499,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818497723,205,44,1,19,58,224tl8u2smnbyliroayk69nt0,1,7.9,42.8,2025-05-24T20:26:30.772Z,2025-05-24T22:05:26Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5748022655,233,410,5747928019,56,Back,5747928021,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818514637,410,44,1,19,59,daicfonrbj124lu2la2rctxck,0,92.1,57.2,2025-05-24T20:26:30.773Z,2025-05-24T22:05:27Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,5748022629,56,Center,5748022673,233,205,5748022631,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494485,171,12,1,19,59,224tl8u2smnbyliroayk69nt0,1,7.0,52.5,2025-05-24T20:26:31.736Z,2025-05-24T22:39:20Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747909541,212,3.5,5747909539,141,55.8,5747909531,56,Back,5747909543,213,0.71,5747909535,140,9.5,5747909561,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818514675,411,61,1,20,1,daicfonrbj124lu2la2rctxck,1,91.5,56.9,2025-05-24T20:26:32.873Z,2025-05-24T22:06:10Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,5748022861,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494507,172,12,1,20,2,224tl8u2smnbyliroayk69nt0,1,9.7,55.8,2025-05-24T20:26:34.440Z,2025-05-24T20:30:30Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747909661,213,5.87,5747909659,212,35.4,5747909655,140,40.6,5747909657,141,35.1,5747909653,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494615,187,1,1,20,8,daicfonrbj124lu2la2rctxck,1,54.0,65.2,2025-05-24T20:26:39.836Z,2025-05-24T20:26:44Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5747910207,141,6.8,5747910215,213,5.46,5747910201,56,Right,5747910209,212,54.1,5747910219,1,,5747910203,140,89.0,5747910197,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494621,188,1,1,20,12,daicfonrbj124lu2la2rctxck,0,88.0,5.9,2025-05-24T20:26:44.587Z,2025-05-24T20:26:45Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5747910249,140,86.6,5747910247,56,Right,5747910253,212,5.0,5747910255,213,1.87,5747910251,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494639,173,12,1,20,14,224tl8u2smnbyliroayk69nt0,1,8.2,90.3,2025-05-24T20:26:45.800Z,2025-05-24T20:26:47Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747910387,167,,5747910371,141,100.0,5747910369,140,16.5,5747910373,212,11.4,5747910375,213,0.70,5747910367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494641,174,5,1,20,14,224tl8u2smnbyliroayk69nt0,0,17.3,100.8,2025-05-24T20:26:46.043Z,2025-05-24T22:12:10Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747910441,233,189,5747910385,347,,5747910383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494645,189,5,1,20,14,daicfonrbj124lu2la2rctxck,1,82.7,-0.8,2025-05-24T20:26:46.043Z,2025-05-24T22:12:10Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5747910409,233,174,5747910395,347,,5747910393,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494663,190,1,1,20,15,daicfonrbj124lu2la2rctxck,1,81.3,0.0,2025-05-24T20:26:47.460Z,2025-05-24T20:26:49Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5747910503,212,3.8,5747910501,141,3.5,5747910495,107,,5747910497,56,Right,5747910505,213,2.34,5747910499,140,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494683,191,1,1,20,17,daicfonrbj124lu2la2rctxck,1,78.8,4.0,2025-05-24T20:26:48.788Z,2025-05-24T20:26:51Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747910601,141,6.2,5747910605,212,5.9,5747910607,213,0.26,5747910599,140,84.2,5747910597,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494691,192,3,1,20,19,daicfonrbj124lu2la2rctxck,0,92.2,9.8,2025-05-24T20:26:51.347Z,2025-05-24T20:26:57Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747910631,286,,5747910729,233,175,5747910629,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494697,175,7,1,20,19,224tl8u2smnbyliroayk69nt0,1,7.8,90.2,2025-05-24T20:26:51.348Z,2025-05-24T20:26:56Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747910663,56,Back,5747910665,285,,5747910683,233,192,5747910661,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818494739,176,5,1,20,20,224tl8u2smnbyliroayk69nt0,0,11.3,101.4,2025-05-24T20:26:52.200Z,2025-05-24T22:12:11Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747912467,233,193,5747910923,56,Back,5747910925,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495007,193,5,1,20,20,daicfonrbj124lu2la2rctxck,1,88.7,-1.4,2025-05-24T20:26:52.200Z,2025-05-24T22:12:11Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747912409,56,Right,5747912411,347,,5747912453,233,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495025,194,1,1,20,52,daicfonrbj124lu2la2rctxck,0,85.1,0.0,2025-05-24T20:27:23.923Z,2025-05-24T20:27:26Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,5747912519,107,,5747912523,140,89.9,5747912521,56,Center,5747912531,213,1.36,5747912525,141,32.7,5747912527,212,24.1,5747912535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495031,178,12,1,20,54,224tl8u2smnbyliroayk69nt0,1,10.6,55.8,2025-05-24T20:27:26.223Z,2025-05-24T20:27:39Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747912561,140,36.7,5747912559,56,Back,5747912567,213,6.03,5747912565,212,28.3,5747912569,15,,5747912563,141,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495083,195,1,1,20,57,daicfonrbj124lu2la2rctxck,1,67.4,42.4,2025-05-24T20:27:29.459Z,2025-05-24T20:27:32Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,5747912855,140,68.9,5747912857,141,79.9,5747912859,212,25.5,5747912861,213,1.51,5747912853,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495165,196,1,1,21,0,daicfonrbj124lu2la2rctxck,1,69.2,80.0,2025-05-24T20:27:32.026Z,2025-05-24T20:27:37Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5747913225,141,75.0,5747913227,212,3.9,5747913229,213,4.21,5747913223,140,67.4,5747913221,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495171,197,1,1,21,5,daicfonrbj124lu2la2rctxck,1,68.4,84.5,2025-05-24T20:27:37.651Z,2025-05-24T20:27:38Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,5747913283,140,68.0,5747913285,141,87.4,5747913287,212,2.0,5747913289,213,1.78,5747913281,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495193,198,1,1,21,6,daicfonrbj124lu2la2rctxck,1,68.0,87.4,2025-05-24T20:27:38.675Z,2025-05-24T20:27:39Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5747913373,56,Center,5747913381,213,4.67,5747913377,141,76.6,5747913375,140,67.7,5747913379,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495197,179,83,1,21,7,224tl8u2smnbyliroayk69nt0,0,31.8,35.2,2025-05-24T20:27:39.431Z,2025-05-24T20:27:44Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747913745,399,8pqvmz8g1yhe7hqqc1d68c4mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495225,199,1,1,21,7,daicfonrbj124lu2la2rctxck,1,67.7,76.6,2025-05-24T20:27:39.611Z,2025-05-24T20:27:41Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,5747913547,140,65.5,5747913553,212,2.6,5747913549,141,78.4,5747913557,213,2.65,5747913543,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495275,200,1,1,21,9,daicfonrbj124lu2la2rctxck,1,67.3,65.5,2025-05-24T20:27:41.259Z,2025-05-24T20:27:46Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5747913865,212,25.0,5747913867,213,4.53,5747913863,141,29.4,5747913861,140,63.0,5747913859,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495281,180,45,1,21,14,224tl8u2smnbyliroayk69nt0,0,29.8,76.4,2025-05-24T20:27:46.579Z,2025-05-24T22:12:36Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747913887,56,Back,5747913889,285,,5747914137,233,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495305,201,3,1,21,14,daicfonrbj124lu2la2rctxck,1,70.2,23.6,2025-05-24T20:27:46.579Z,2025-05-24T22:12:36Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747914101,233,180,5747913993,56,Center,5747913997,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495387,202,1,1,21,17,daicfonrbj124lu2la2rctxck,1,74.8,23.4,2025-05-24T20:27:49.099Z,2025-05-24T20:27:57Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747914459,212,18.1,5747914461,213,5.66,5747914457,141,7.9,5747914455,140,88.8,5747914453,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495313,181,83,1,21,17,224tl8u2smnbyliroayk69nt0,0,25.6,75.1,2025-05-24T20:27:49.472Z,2025-05-24T20:28:25Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5747914771,399,9ch7zgxlcjiio0xbo2hhl2yvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495327,182,43,1,21,18,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T20:27:49.792Z,2025-05-24T20:27:59Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,5747914519,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495513,206,1,1,21,20,daicfonrbj124lu2la2rctxck,1,90.2,10.7,2025-05-24T20:27:52.043Z,2025-05-24T20:28:25Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747915199,2,,5747915207,141,42.4,5747915205,140,89.0,5747915211,213,1.63,5747915203,56,Center,5747915209,212,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495389,203,61,1,21,22,daicfonrbj124lu2la2rctxck,0,89.4,57.0,2025-05-24T20:27:54.058Z,2025-05-24T20:28:28Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,5747914473,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495427,183,4,1,21,24,224tl8u2smnbyliroayk69nt0,1,11.9,45.8,2025-05-24T20:27:56.042Z,2025-05-24T21:21:46Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747914699,265,,5747914693,13,,5747914701,285,,5747914697,152,,5747914695,56,Back,5747914723,233,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818495395,204,4,1,21,24,daicfonrbj124lu2la2rctxck,0,88.1,54.2,2025-05-24T20:27:56.043Z,2025-05-24T20:28:30Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,5747914529,152,,5747914533,286,,5747914525,13,,5747914527,56,Center,5747914531,265,,5747914753,233,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
