id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2806131507,103,1,1,9,55,cy6zs39z79dcfbr4xzkp38z7q,1,63.3,31.6,2025-04-26T12:16:54.047Z,2025-04-26T12:16:58Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5679623167,56,Right,5679623169,140,63.4,5679623171,141,8.5,5679623175,213,4.72,5679623173,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131575,104,1,1,9,59,cy6zs39z79dcfbr4xzkp38z7q,1,58.6,14.4,2025-04-26T12:16:57.903Z,2025-04-26T12:17:01Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679623511,140,53.7,5679623515,212,13.9,5679623509,56,Center,5679623517,213,1.95,5679623513,141,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131597,105,1,1,10,3,cy6zs39z79dcfbr4xzkp38z7q,1,58.6,35.8,2025-04-26T12:17:01.680Z,2025-04-26T12:17:03Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,,5679623627,141,56.1,5679623629,212,15.0,5679623623,56,Center,5679623631,213,1.97,5679623625,140,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131671,106,1,1,10,4,cy6zs39z79dcfbr4xzkp38z7q,1,52.0,56.1,2025-04-26T12:17:03.023Z,2025-04-26T12:17:08Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679624075,212,16.5,5679624071,141,31.9,5679624067,56,Center,5679624069,140,51.8,5679624083,213,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131747,107,1,1,10,9,cy6zs39z79dcfbr4xzkp38z7q,0,56.6,24.0,2025-04-26T12:17:08.528Z,2025-04-26T12:17:11Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679624383,141,30.9,5679624389,1,,5679624387,213,0.10,5679624379,56,Center,5679624377,155,,5679624381,140,100.0,5679624385,212,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131759,92,5,1,10,13,8eab5wbcnttsiosd1o8c71gmk,1,-0.6,69.5,2025-04-26T12:17:11.723Z,2025-04-26T12:51:24Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5679624453,346,,5679624561,233,108,5679624451,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806131769,108,5,1,10,13,cy6zs39z79dcfbr4xzkp38z7q,0,100.6,30.5,2025-04-26T12:17:11.723Z,2025-04-26T12:51:25Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679624617,233,92,5679624499,56,Center,5679624501,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132237,93,1,1,10,35,8eab5wbcnttsiosd1o8c71gmk,0,4.4,52.2,2025-04-26T12:17:34.607Z,2025-04-26T12:17:38Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679626701,213,0.94,5679626921,237,,5679626693,56,Back,5679626699,212,41.7,5679626697,141,100.0,5679626695,140,27.9,5679626703,1,,5679626691,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132251,94,5,1,10,36,8eab5wbcnttsiosd1o8c71gmk,0,29.3,101.6,2025-04-26T12:17:35.024Z,2025-04-26T12:51:25Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679626783,56,Back,5679626807,233,109,5679626785,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132245,109,5,1,10,36,cy6zs39z79dcfbr4xzkp38z7q,1,70.7,-1.6,2025-04-26T12:17:35.024Z,2025-04-26T12:51:25Z,5lx97p0c2ja9g4vjofjr2o5pl,J. Lehtonen,,,5679626747,347,,5679626791,233,94,5679626745,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132305,110,1,1,10,38,cy6zs39z79dcfbr4xzkp38z7q,1,68.4,0.0,2025-04-26T12:17:37.599Z,2025-04-26T12:17:40Z,5lx97p0c2ja9g4vjofjr2o5pl,J. Lehtonen,,,5679627103,107,,5679627107,56,Right,5679627115,212,14.1,5679627111,140,61.6,5679627117,213,2.10,5679627113,141,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132363,111,1,1,10,41,cy6zs39z79dcfbr4xzkp38z7q,1,62.8,13.8,2025-04-26T12:17:39.871Z,2025-04-26T12:17:42Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679627413,56,Center,5679627417,141,30.9,5679627419,212,13.2,5679627415,140,56.8,5679627421,213,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132437,112,1,1,10,43,cy6zs39z79dcfbr4xzkp38z7q,1,54.7,35.2,2025-04-26T12:17:42.607Z,2025-04-26T12:17:47Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,,5679627883,140,44.8,5679627889,213,2.26,5679627887,212,16.3,5679627885,141,53.7,5679627881,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132525,113,1,1,10,48,cy6zs39z79dcfbr4xzkp38z7q,1,46.7,57.8,2025-04-26T12:17:47.007Z,2025-04-26T12:17:52Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679628323,212,10.5,5679628319,140,48.2,5679628317,56,Back,5679628321,141,42.5,5679628325,213,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132543,114,1,1,10,53,cy6zs39z79dcfbr4xzkp38z7q,1,46.8,43.6,2025-04-26T12:17:52.063Z,2025-04-26T12:17:53Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679628405,141,27.3,5679628401,56,Back,5679628409,213,4.53,5679628407,212,11.3,5679628403,140,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132601,115,1,1,10,54,cy6zs39z79dcfbr4xzkp38z7q,1,44.4,27.3,2025-04-26T12:17:53.311Z,2025-04-26T12:17:56Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679628731,141,58.4,5679628721,56,Back,5679628739,212,21.4,5679628727,140,41.2,5679628745,213,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132671,116,1,1,10,58,cy6zs39z79dcfbr4xzkp38z7q,1,40.6,70.3,2025-04-26T12:17:56.767Z,2025-04-26T12:20:34Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679629059,56,Left,5679629063,140,54.9,5679629069,213,0.47,5679629067,212,16.8,5679629065,141,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132695,117,1,1,11,2,cy6zs39z79dcfbr4xzkp38z7q,1,54.9,81.4,2025-04-26T12:18:00.927Z,2025-04-26T12:20:41Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679629203,212,11.9,5679629195,140,45.0,5679629205,213,3.64,5679629199,141,73.0,5679629193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132733,118,1,1,11,3,cy6zs39z79dcfbr4xzkp38z7q,1,44.0,72.7,2025-04-26T12:18:02.126Z,2025-04-26T12:20:50Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679629401,212,17.3,5679629395,56,Left,5679629397,140,57.2,5679629403,213,0.64,5679629399,141,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132747,119,3,1,11,6,cy6zs39z79dcfbr4xzkp38z7q,0,56.8,91.9,2025-04-26T12:18:05.319Z,2025-04-26T12:51:41Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679642961,286,,5679643149,233,95,5679629461,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132757,95,7,1,11,6,8eab5wbcnttsiosd1o8c71gmk,0,43.2,8.1,2025-04-26T12:18:05.320Z,2025-04-26T12:51:40Z,d34pugygez0vtpx1t8p5bnq0a,S. Sipola,,,5679643071,285,,5679643069,56,Back,5679643095,233,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806135543,129,61,1,11,7,8eab5wbcnttsiosd1o8c71gmk,1,45.0,4.5,2025-04-26T12:18:06.001Z,2025-04-26T12:21:35Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679644493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132771,96,5,1,11,7,8eab5wbcnttsiosd1o8c71gmk,1,42.8,-2.0,2025-04-26T12:18:06.240Z,2025-04-26T12:51:26Z,d34pugygez0vtpx1t8p5bnq0a,S. Sipola,,,5679629583,233,120,5679629567,56,Back,5679629569,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132761,120,5,1,11,7,cy6zs39z79dcfbr4xzkp38z7q,0,57.2,102.0,2025-04-26T12:18:06.240Z,2025-04-26T12:18:09Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679629525,347,,5679629633,233,96,5679629523,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132947,97,1,1,11,20,8eab5wbcnttsiosd1o8c71gmk,1,52.0,0.0,2025-04-26T12:18:18.767Z,2025-04-26T12:18:21Z,d34pugygez0vtpx1t8p5bnq0a,S. Sipola,,,5679630581,141,5.6,5679630575,107,,5679630585,213,0.62,5679630583,212,8.9,5679630577,56,Right,5679630579,140,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132955,98,61,1,11,22,8eab5wbcnttsiosd1o8c71gmk,1,58.9,5.6,2025-04-26T12:18:21.243Z,2025-04-26T12:18:21Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679630617,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132951,121,83,1,11,22,cy6zs39z79dcfbr4xzkp38z7q,0,35.3,85.7,2025-04-26T12:18:21.344Z,2025-04-26T12:18:24Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679630859,399,d34pugygez0vtpx1t8p5bnq0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806132965,99,61,1,11,23,8eab5wbcnttsiosd1o8c71gmk,0,56.1,8.5,2025-04-26T12:18:22.577Z,2025-04-26T12:18:22Z,d34pugygez0vtpx1t8p5bnq0a,S. Sipola,,,5679630671,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133157,123,1,1,11,26,cy6zs39z79dcfbr4xzkp38z7q,1,37.1,74.1,2025-04-26T12:18:25.247Z,2025-04-26T12:18:31Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,,5679631635,141,71.2,5679631631,56,Center,5679631637,212,18.0,5679631639,213,6.17,5679631633,140,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133163,124,81,1,11,30,cy6zs39z79dcfbr4xzkp38z7q,0,54.1,71.2,2025-04-26T12:18:28.848Z,2025-04-26T12:18:31Z,,,,,5679631659,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133235,100,27,1,11,34,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-26T12:18:32.993Z,2025-04-26T12:22:26Z,,,,,5679647875,201,,5679632037,233,125,5679647877,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133241,125,27,1,11,34,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:18:32.993Z,2025-04-26T12:22:23Z,,,,,5679647713,40,,5679647709,201,,5679631999,233,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133443,101,28,1,11,37,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-26T12:18:36.200Z,2025-04-26T12:51:36Z,,,,,5679632913,55,100,5679774107,233,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133265,126,28,1,11,37,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:18:36.200Z,2025-04-26T12:51:36Z,,,,,5679774057,233,101,5679632089,55,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133453,102,68,1,11,49,8eab5wbcnttsiosd1o8c71gmk,0,55.8,27.6,2025-04-26T12:18:47.951Z,2025-04-26T12:18:50Z,,,,,5679633171,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133459,127,68,1,11,49,cy6zs39z79dcfbr4xzkp38z7q,1,54.1,71.2,2025-04-26T12:18:48.047Z,2025-04-26T12:22:00Z,,,,,5679645983,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806135783,157,1,1,11,50,cy6zs39z79dcfbr4xzkp38z7q,1,42.3,67.3,2025-04-26T12:18:49.033Z,2025-04-26T12:22:15Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679647173,212,8.8,5679647175,213,4.27,5679647171,141,55.6,5679647167,56,Back,5679647169,140,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133561,128,1,1,11,53,cy6zs39z79dcfbr4xzkp38z7q,1,37.0,74.4,2025-04-26T12:18:52.336Z,2025-04-26T12:18:55Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679633513,213,0.83,5679633505,141,85.4,5679633501,56,Back,5679633509,212,10.1,5679633503,140,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133603,129,1,1,11,56,cy6zs39z79dcfbr4xzkp38z7q,1,43.4,83.3,2025-04-26T12:18:55.072Z,2025-04-26T12:18:58Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679633731,141,71.5,5679633727,56,Center,5679633729,140,85.5,5679633735,213,6.10,5679633733,212,44.9,5679633737,1,,5679633725,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133649,130,1,1,12,0,cy6zs39z79dcfbr4xzkp38z7q,1,94.1,79.3,2025-04-26T12:18:58.803Z,2025-04-26T12:23:17Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679633975,212,18.9,5679650867,1,,5679633971,140,77.3,5679633969,56,Center,5679650865,157,,5679633977,213,3.51,5679633973,141,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133655,131,61,1,12,2,cy6zs39z79dcfbr4xzkp38z7q,0,77.3,69.3,2025-04-26T12:19:01.521Z,2025-04-26T12:19:02Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679634009,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133733,103,12,1,12,3,8eab5wbcnttsiosd1o8c71gmk,1,11.7,32.4,2025-04-26T12:19:02.415Z,2025-04-26T12:27:46Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5679634441,140,13.6,5679634445,212,2.0,5679634473,397,,5679634447,213,0.14,5679634443,141,32.8,5679634475,233,133,5679634439,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133677,133,74,1,12,3,cy6zs39z79dcfbr4xzkp38z7q,1,83.5,66.3,2025-04-26T12:19:02.416Z,2025-04-26T12:19:07Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679634483,233,103,5679634125,285,,5679634295,397,,5679634123,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806139113,153,61,1,12,4,8eab5wbcnttsiosd1o8c71gmk,1,15.8,40.9,2025-04-26T12:19:03.450Z,2025-04-26T12:27:20Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5679664051,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806139107,191,61,1,12,4,cy6zs39z79dcfbr4xzkp38z7q,1,84.8,64.8,2025-04-26T12:19:03.633Z,2025-04-26T12:27:25Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679665023,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133767,104,12,1,12,6,8eab5wbcnttsiosd1o8c71gmk,1,11.6,38.3,2025-04-26T12:19:05.336Z,2025-04-26T12:27:43Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679665763,397,,5679634633,212,1.9,5679634635,213,0.11,5679634631,141,38.6,5679665765,233,132,5679634627,56,Back,5679634629,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133665,132,74,1,12,6,cy6zs39z79dcfbr4xzkp38z7q,1,77.3,69.3,2025-04-26T12:19:05.337Z,2025-04-26T12:27:45Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679665795,233,104,5679665755,397,,5679634051,285,,5679634049,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133735,134,43,1,12,7,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:19:06.336Z,2025-04-26T12:26:56Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679634449,56,Center,5679634451,346,0,5679663785,144,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133777,105,11,1,12,9,8eab5wbcnttsiosd1o8c71gmk,1,8.0,49.3,2025-04-26T12:19:08.398Z,2025-04-26T12:28:01Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679666747,56,Back,5679666749,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806133995,106,1,1,12,17,8eab5wbcnttsiosd1o8c71gmk,1,11.4,46.4,2025-04-26T12:19:15.680Z,2025-04-26T12:19:22Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679635775,123,,5679635781,141,29.4,5679635785,213,5.00,5679635783,212,12.1,5679635779,140,14.7,5679635777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134053,107,1,1,12,23,8eab5wbcnttsiosd1o8c71gmk,0,26.4,27.7,2025-04-26T12:19:22.625Z,2025-04-26T12:19:27Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679636141,1,,5679636135,141,24.9,5679636131,56,Center,5679636129,157,,5679636137,212,61.6,5679636133,140,85.0,5679636139,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134083,137,1,1,12,29,cy6zs39z79dcfbr4xzkp38z7q,1,26.4,81.7,2025-04-26T12:19:28.367Z,2025-04-26T12:19:29Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679636289,213,3.92,5679636283,140,14.8,5679636287,212,17.1,5679636285,141,64.0,5679636281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134147,138,1,1,12,31,cy6zs39z79dcfbr4xzkp38z7q,1,14.8,64.0,2025-04-26T12:19:29.776Z,2025-04-26T12:19:33Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5679636621,141,75.9,5679636625,213,0.58,5679636623,212,14.7,5679636617,56,Back,5679636619,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134195,139,1,1,12,35,cy6zs39z79dcfbr4xzkp38z7q,1,27.0,72.9,2025-04-26T12:19:33.696Z,2025-04-26T12:19:38Z,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,,,5679636865,213,4.11,5679636855,56,Back,5679636861,141,46.1,5679636857,140,15.1,5679636863,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134251,140,1,1,12,39,cy6zs39z79dcfbr4xzkp38z7q,1,14.2,43.0,2025-04-26T12:19:38.033Z,2025-04-26T12:19:43Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5679637265,212,60.3,5679637261,140,70.0,5679637257,157,,5679637259,56,Center,5679637269,1,,5679637267,213,0.24,5679637263,141,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134257,141,61,1,12,44,cy6zs39z79dcfbr4xzkp38z7q,1,70.0,64.2,2025-04-26T12:19:43.428Z,2025-04-26T12:19:43Z,j4mqmt0lccgzq4nf87ljkoyy,J. Rennicks,,,5679637277,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134353,142,1,1,12,52,cy6zs39z79dcfbr4xzkp38z7q,1,95.2,88.6,2025-04-26T12:19:50.816Z,2025-04-26T12:29:29Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,,5679637761,212,13.2,5679637755,56,Center,5679671767,195,,5679637757,140,92.6,5679637759,141,69.6,5679637763,213,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134357,143,1,1,12,55,cy6zs39z79dcfbr4xzkp38z7q,0,90.4,67.8,2025-04-26T12:19:54.047Z,2025-04-26T12:29:45Z,j4mqmt0lccgzq4nf87ljkoyy,J. Rennicks,,,5679637783,212,7.6,5679637781,141,56.6,5679672791,195,,5679637785,213,4.68,5679637777,56,Center,5679637779,140,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134371,108,61,1,12,57,8eab5wbcnttsiosd1o8c71gmk,1,12.1,41.5,2025-04-26T12:19:55.739Z,2025-04-26T12:19:55Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5679637867,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134423,109,12,1,12,59,8eab5wbcnttsiosd1o8c71gmk,1,8.1,40.7,2025-04-26T12:19:58.320Z,2025-04-26T12:20:01Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679638201,212,33.7,5679638195,56,Back,5679638203,213,5.36,5679638197,140,27.5,5679638199,141,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134429,110,1,1,13,2,8eab5wbcnttsiosd1o8c71gmk,0,27.5,1.3,2025-04-26T12:20:01.567Z,2025-04-26T12:30:31Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5679638235,213,0.64,5679638233,212,5.2,5679638227,56,Back,5679638229,140,31.5,5679638231,141,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134431,144,3,1,13,3,cy6zs39z79dcfbr4xzkp38z7q,0,71.2,92.2,2025-04-26T12:20:02.352Z,2025-04-26T12:51:41Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679638251,56,Left,5679638253,286,,5679638575,233,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134461,111,7,1,13,3,8eab5wbcnttsiosd1o8c71gmk,1,28.8,7.8,2025-04-26T12:20:02.353Z,2025-04-26T12:51:41Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679638375,56,Back,5679638567,233,144,5679638377,285,,5679638373,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134463,112,5,1,13,5,8eab5wbcnttsiosd1o8c71gmk,0,29.6,-1.4,2025-04-26T12:20:03.696Z,2025-04-26T12:51:26Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679638383,56,Back,5679638387,347,,5679638443,233,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134453,145,5,1,13,5,cy6zs39z79dcfbr4xzkp38z7q,1,70.4,101.4,2025-04-26T12:20:03.696Z,2025-04-26T12:51:26Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679638423,233,112,5679638321,56,Left,5679638323,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806134783,146,1,1,13,26,cy6zs39z79dcfbr4xzkp38z7q,0,76.8,100.0,2025-04-26T12:20:25.311Z,2025-04-26T12:20:30Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,,5679640095,141,61.1,5679640091,56,Center,5679640101,1,,5679640089,107,,5679640099,213,5.14,5679640093,140,88.8,5679640097,212,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
