id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2738568177,176,43,1,21,54,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T17:22:16.106Z,2024-10-25T17:23:06Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310854145,140,38.3,5310854139,3,0,5310854149,141,37.0,5310854141,56,Back,5310854155,212,14.8,5310854159,213,4.82,5310856149,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568181,177,43,1,21,56,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T17:22:17.282Z,2024-10-25T17:24:53Z,3mgrufy83uhzs9liw8pwxi784,G. Larsen,,,5310854169,56,Back,5310854173,141,28.8,5310854171,140,25.1,5310854175,212,14.9,5310854177,213,3.52,5310861757,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568229,182,5,1,21,59,8cfkisxf1fkxdqtt6tx1tup48,0,44.6,101.4,2024-10-25T17:22:20.294Z,2024-10-28T18:46:17Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5310854511,347,,5310854699,233,207,5310854509,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568259,207,5,1,21,59,b8oqgvx1ijeyn6y1cn6929ix4,1,55.4,-1.4,2024-10-25T17:22:20.294Z,2024-10-28T19:39:28Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310854661,347,,5310854667,233,182,5310854659,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568301,208,1,1,22,3,b8oqgvx1ijeyn6y1cn6929ix4,1,47.5,0.0,2024-10-25T17:22:24.963Z,2024-10-28T18:46:32Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310854899,107,,5310854907,212,21.2,5310854905,141,25.6,5310854909,213,2.09,5310854903,140,37.4,5310854901,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568329,209,1,1,22,8,b8oqgvx1ijeyn6y1cn6929ix4,1,36.7,23.9,2024-10-25T17:22:29.946Z,2024-10-28T18:46:45Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310855029,212,19.0,5310855023,140,32.3,5310855025,141,51.0,5310855019,56,Back,5310855033,213,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568365,210,1,1,22,10,b8oqgvx1ijeyn6y1cn6929ix4,1,33.4,50.7,2024-10-25T17:22:31.254Z,2024-10-28T18:46:51Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310855253,141,27.7,5310855251,140,32.3,5310855255,212,15.7,5310855257,213,4.64,5310855249,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568379,211,1,1,22,15,b8oqgvx1ijeyn6y1cn6929ix4,1,33.2,34.3,2024-10-25T17:22:36.714Z,2024-10-28T18:47:03Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310855345,141,54.6,5310855341,56,Back,5310855343,140,32.3,5310855349,213,1.64,5310855347,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568415,212,1,1,22,18,b8oqgvx1ijeyn6y1cn6929ix4,1,39.3,61.2,2024-10-25T17:22:40.001Z,2024-10-28T18:47:13Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310855523,56,Back,5310855529,212,14.1,5310855525,140,47.8,5310855527,141,45.2,5310855531,213,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568411,183,83,1,22,21,8cfkisxf1fkxdqtt6tx1tup48,0,49.3,52.1,2024-10-25T17:22:43.065Z,2024-10-28T18:47:21Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5310855589,399,f58yr2jmfp8kpgprfxbokt1t6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568425,213,1,1,22,23,b8oqgvx1ijeyn6y1cn6929ix4,1,47.1,51.0,2024-10-25T17:22:45.090Z,2024-10-28T18:47:23Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5310855575,140,36.6,5310855581,213,2.28,5310855577,141,69.9,5310855573,56,Back,5310855579,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568473,214,1,1,22,26,b8oqgvx1ijeyn6y1cn6929ix4,1,36.6,70.0,2024-10-25T17:22:47.523Z,2024-10-28T18:47:28Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310855849,56,Back,5310855857,213,3.70,5310855855,212,26.9,5310855851,140,14.9,5310855853,141,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568489,215,1,1,22,30,b8oqgvx1ijeyn6y1cn6929ix4,1,15.3,50.1,2024-10-25T17:22:51.658Z,2024-10-28T18:47:35Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310855931,141,72.7,5310855933,212,15.4,5310855935,213,1.56,5310855927,56,Back,5310855929,140,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568515,216,1,1,22,33,b8oqgvx1ijeyn6y1cn6929ix4,1,20.3,74.4,2024-10-25T17:22:54.281Z,2024-10-28T18:48:08Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310856095,212,14.5,5310856097,213,1.25,5310856093,141,94.7,5310856091,140,24.6,5310856089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740848883,849,1,1,22,33,b8oqgvx1ijeyn6y1cn6929ix4,1,21.5,89.3,2024-10-25T17:22:55.122Z,2024-10-28T18:48:45Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5323224677,212,14.3,5323224673,141,76.1,5323224671,140,32.1,5323224669,56,Back,5323224681,213,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568537,217,1,1,22,38,b8oqgvx1ijeyn6y1cn6929ix4,1,28.8,83.3,2024-10-25T17:23:00.185Z,2024-10-28T18:49:08Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5310856187,212,8.1,5310856189,213,2.09,5310856181,56,Back,5310856183,140,25.0,5310856185,141,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568609,218,1,1,22,39,b8oqgvx1ijeyn6y1cn6929ix4,1,23.5,93.9,2024-10-25T17:23:00.921Z,2024-10-28T18:49:10Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310856563,213,6.23,5310856557,140,30.6,5310856561,212,7.5,5310856559,141,93.3,5310856555,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568615,219,61,1,22,40,b8oqgvx1ijeyn6y1cn6929ix4,1,30.6,93.3,2024-10-25T17:23:02.161Z,2024-10-28T18:49:12Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5310856593,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568619,184,5,1,22,41,8cfkisxf1fkxdqtt6tx1tup48,0,73.8,-1.8,2024-10-25T17:23:02.858Z,2024-10-28T18:49:24Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310856597,347,,5310856795,233,220,5310859305,361,,5310856595,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568645,220,5,1,22,41,b8oqgvx1ijeyn6y1cn6929ix4,1,26.2,101.8,2024-10-25T17:23:02.858Z,2024-10-28T18:50:01Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5310856761,233,184,5323228693,361,,5310856715,56,Back,5310856717,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568655,185,43,1,22,49,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T17:23:11.074Z,2024-10-25T17:24:02Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310859227,144,74,5310856759,285,0,5310856757,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568735,221,1,1,22,55,b8oqgvx1ijeyn6y1cn6929ix4,1,24.2,100.0,2024-10-25T17:23:16.810Z,2024-10-28T18:50:19Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310857197,56,Back,5310857205,213,3.97,5310857203,212,11.3,5310857201,141,88.7,5310857199,140,16.9,5310857195,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568793,222,1,1,22,57,b8oqgvx1ijeyn6y1cn6929ix4,1,16.9,88.7,2024-10-25T17:23:18.865Z,2024-10-28T18:50:27Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310857569,212,19.6,5310857563,56,Back,5310857571,213,4.92,5310857565,140,20.7,5310857567,141,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568873,223,1,1,23,2,b8oqgvx1ijeyn6y1cn6929ix4,1,25.6,50.0,2024-10-25T17:23:23.961Z,2024-10-28T18:50:37Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310857955,157,,5310857959,140,74.7,5310857967,1,,5310857965,213,0.44,5310857961,141,85.3,5310857957,56,Left,5310857963,212,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568881,224,3,1,23,9,b8oqgvx1ijeyn6y1cn6929ix4,0,74.3,92.4,2024-10-25T17:23:30.586Z,2024-10-28T18:50:55Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5323230761,465,,5310857995,56,Left,5310858473,233,186,5310857997,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568953,186,7,1,23,9,8cfkisxf1fkxdqtt6tx1tup48,1,25.7,7.6,2024-10-25T17:23:30.587Z,2024-10-28T19:39:31Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5323230973,383,,5310858375,56,Back,5310858455,233,224,5310858377,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568947,225,4,1,23,12,b8oqgvx1ijeyn6y1cn6929ix4,1,73.7,91.4,2024-10-25T17:23:34.098Z,2024-10-28T18:51:06Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5310858369,286,,5310858515,233,187,5310858363,56,Left,5310858361,13,,5311945277,295,,5310858365,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738568955,187,4,1,23,12,8cfkisxf1fkxdqtt6tx1tup48,0,26.3,8.6,2024-10-25T17:23:34.099Z,2024-10-28T18:51:08Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310858505,13,,5310858513,285,,5311945189,295,,5310858509,152,,5310858507,56,Back,5310858543,233,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569143,226,1,1,23,35,b8oqgvx1ijeyn6y1cn6929ix4,1,68.7,92.6,2024-10-25T17:23:56.896Z,2024-10-28T18:51:25Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310859451,152,,5310859453,56,Left,5310859455,140,81.5,5310859461,212,13.5,5310859463,213,0.09,5310859457,141,94.4,5310859449,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569167,227,1,1,23,40,b8oqgvx1ijeyn6y1cn6929ix4,1,76.4,89.4,2024-10-25T17:24:01.936Z,2024-10-28T18:51:34Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5310859587,212,15.7,5310859579,140,91.0,5310859589,213,0.21,5310859583,141,94.2,5310859577,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569233,188,83,1,23,43,8cfkisxf1fkxdqtt6tx1tup48,0,6.4,14.9,2024-10-25T17:24:04.786Z,2024-10-28T18:52:00Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310859927,399,dyzzo6n83rg4fpvmqqa69moes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569243,228,61,1,23,44,b8oqgvx1ijeyn6y1cn6929ix4,0,94.9,88.1,2024-10-25T17:24:05.712Z,2024-10-28T18:52:02Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310859903,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569613,189,5,1,23,45,8cfkisxf1fkxdqtt6tx1tup48,1,-1.1,16.8,2024-10-25T17:24:06.289Z,2024-10-28T18:52:04Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310861809,346,,5310861807,56,Back,5310861829,233,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569245,229,5,1,23,45,b8oqgvx1ijeyn6y1cn6929ix4,0,101.1,83.2,2024-10-25T17:24:06.289Z,2024-10-28T18:52:06Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310859933,346,,5310859931,56,Left,5310861855,233,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569771,190,1,1,24,44,8cfkisxf1fkxdqtt6tx1tup48,1,4.2,55.8,2024-10-25T17:25:05.641Z,2024-10-28T18:52:24Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5310862815,74,,5310862801,124,,5310862803,56,Center,5310862809,212,61.5,5310862813,1,,5310862811,213,0.12,5310862805,140,62.4,5310862807,141,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569785,191,50,1,24,50,8cfkisxf1fkxdqtt6tx1tup48,1,66.8,66.7,2024-10-25T17:25:11.686Z,2024-10-28T18:52:39Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5310862945,233,230,5310862893,286,,5310862891,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569795,230,7,1,24,50,b8oqgvx1ijeyn6y1cn6929ix4,1,33.2,33.3,2024-10-25T17:25:11.687Z,2024-10-28T18:52:37Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5310862915,285,,5310862927,233,191,5310862913,56,Back,5323234863,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569811,231,1,1,24,51,b8oqgvx1ijeyn6y1cn6929ix4,1,27.4,33.0,2024-10-25T17:25:12.455Z,2024-10-28T18:52:44Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5310862997,141,32.7,5310863001,213,6.27,5310863003,1,,5310862995,140,40.7,5310862999,212,14.0,5310862991,157,,5310862993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569827,233,1,1,24,54,b8oqgvx1ijeyn6y1cn6929ix4,1,40.8,32.7,2024-10-25T17:25:16.071Z,2024-10-28T18:52:56Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5310863165,212,14.1,5310863163,141,15.9,5310863161,140,32.9,5310863167,213,4.08,5310863159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738591137,415,1,1,24,58,b8oqgvx1ijeyn6y1cn6929ix4,0,35.5,4.3,2024-10-25T17:25:19.228Z,2024-10-28T18:53:38Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5310977923,56,Back,5310977927,141,6.4,5310977929,212,2.9,5310977925,140,37.9,5310977931,213,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569851,192,1,1,24,59,8cfkisxf1fkxdqtt6tx1tup48,0,51.2,76.7,2024-10-25T17:25:20.345Z,2024-10-28T18:53:43Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310863321,213,0.44,5310863315,140,66.6,5310863319,212,17.8,5310863313,56,Left,5310863317,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569889,234,2,1,25,0,b8oqgvx1ijeyn6y1cn6929ix4,1,27.7,13.7,2024-10-25T17:25:21.607Z,2024-10-28T18:53:49Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310863587,140,70.3,5310863615,1,,5310863591,141,29.5,5310863613,7,dyzzo6n83rg4fpvmqqa69moes,5310863617,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738569991,194,1,1,25,16,8cfkisxf1fkxdqtt6tx1tup48,1,35.6,65.8,2024-10-25T17:25:37.536Z,2024-10-28T18:54:13Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5310864169,213,4.31,5310864161,56,Back,5310864157,5,,5310864163,140,23.8,5310864165,141,22.5,5323237881,189,,5310864159,241,,5310864167,212,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570009,195,1,1,25,17,8cfkisxf1fkxdqtt6tx1tup48,1,15.3,36.1,2024-10-25T17:25:39.049Z,2024-10-28T18:54:16Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310864285,56,Back,5310864289,141,45.7,5323238107,189,,5310864291,212,6.5,5310864293,213,1.59,5310864287,140,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570025,196,1,1,25,20,8cfkisxf1fkxdqtt6tx1tup48,1,22.4,38.8,2024-10-25T17:25:41.697Z,2024-10-28T18:54:21Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5310864383,213,2.56,5310864375,141,49.9,5310864379,212,13.7,5310864371,140,11.5,5310864367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570063,197,1,1,25,24,8cfkisxf1fkxdqtt6tx1tup48,1,8.8,60.6,2024-10-25T17:25:45.417Z,2024-10-28T18:54:28Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5310864581,213,0.78,5310864583,1,,5310864575,140,33.2,5310864579,212,36.1,5310864573,56,Back,5310864577,141,98.0,5310864571,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570081,198,1,1,25,26,8cfkisxf1fkxdqtt6tx1tup48,0,33.2,98.0,2024-10-25T17:25:47.257Z,2024-10-28T18:54:34Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310864677,213,5.31,5310864667,3,,5310864675,212,18.9,5310864671,140,43.3,5310864673,141,75.0,5310864669,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570097,235,1,1,25,29,b8oqgvx1ijeyn6y1cn6929ix4,1,60.8,20.7,2024-10-25T17:25:50.438Z,2024-10-28T18:54:48Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5310864777,140,64.1,5310864779,141,13.4,5310864775,56,Right,5310864781,212,6.1,5310864783,213,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570101,236,1,1,25,30,b8oqgvx1ijeyn6y1cn6929ix4,0,64.1,13.4,2024-10-25T17:25:51.560Z,2024-10-28T18:54:51Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5310864801,141,14.7,5310864803,212,4.2,5310864799,140,68.0,5310864797,56,Right,5310864805,213,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570103,199,61,1,25,31,8cfkisxf1fkxdqtt6tx1tup48,1,34.4,83.8,2024-10-25T17:25:52.296Z,2024-10-28T18:54:53Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310864807,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570131,200,83,1,25,32,8cfkisxf1fkxdqtt6tx1tup48,0,34.4,83.8,2024-10-25T17:25:53.744Z,2024-10-28T18:55:03Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310973075,399,9618hk1lq7i6see347k7plkyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570117,237,61,1,25,33,b8oqgvx1ijeyn6y1cn6929ix4,0,65.6,15.6,2024-10-25T17:25:55.022Z,2024-10-28T18:55:12Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5310864879,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570151,201,3,1,25,35,8cfkisxf1fkxdqtt6tx1tup48,0,33.6,81.4,2024-10-25T17:25:57.005Z,2024-10-28T18:55:15Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310865029,56,Back,5323240419,465,,5310865187,233,238,5310865031,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570157,238,7,1,25,35,b8oqgvx1ijeyn6y1cn6929ix4,1,66.4,18.6,2024-10-25T17:25:57.006Z,2024-10-28T19:39:31Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5323240763,383,,5310865179,233,201,5310865073,56,Right,5310865077,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738591751,417,1,1,25,37,b8oqgvx1ijeyn6y1cn6929ix4,1,58.2,26.8,2024-10-25T17:25:58.228Z,2024-10-28T18:55:31Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5310980849,56,Center,5310980857,213,1.20,5310980851,140,60.6,5310980853,141,36.4,5310980855,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570199,240,1,1,25,39,b8oqgvx1ijeyn6y1cn6929ix4,0,68.5,47.5,2024-10-25T17:26:01.015Z,2024-10-28T18:55:55Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5310865335,141,48.7,5310865339,213,0.07,5310865333,140,80.2,5310865337,212,12.3,5310865331,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570209,203,1,1,25,40,8cfkisxf1fkxdqtt6tx1tup48,0,14.2,46.1,2024-10-25T17:26:01.657Z,2024-10-28T18:56:01Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5310865397,140,24.7,5310865403,213,0.23,5310865401,212,11.3,5310865405,1,,5310865399,141,49.9,5310865393,157,,5310865395,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570213,241,61,1,25,41,b8oqgvx1ijeyn6y1cn6929ix4,1,79.2,47.5,2024-10-25T17:26:03.162Z,2024-10-28T18:56:14Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5310865419,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570245,204,1,1,25,43,8cfkisxf1fkxdqtt6tx1tup48,1,15.5,38.9,2024-10-25T17:26:04.577Z,2024-10-28T18:56:20Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310865565,140,43.8,5310865569,212,46.4,5310865563,56,Back,5310865573,1,,5310865561,157,,5310865571,213,0.88,5310865567,141,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570161,239,43,1,25,44,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-25T17:26:05.670Z,2024-10-25T18:02:42Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5310995203,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570169,202,43,1,25,45,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-10-25T17:26:06.353Z,2024-10-25T17:26:30Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310866587,144,56,5310865173,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570373,206,1,1,25,50,8cfkisxf1fkxdqtt6tx1tup48,1,42.8,85.7,2024-10-25T17:26:12.072Z,2024-10-28T18:56:39Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5310866307,212,9.3,5310866305,141,82.0,5310866309,213,6.01,5310866301,56,Left,5310866303,140,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570433,207,1,1,26,1,8cfkisxf1fkxdqtt6tx1tup48,1,52.1,72.7,2024-10-25T17:26:22.793Z,2024-10-28T18:56:54Z,3mgrufy83uhzs9liw8pwxi784,G. Larsen,,,5310866655,140,40.1,5310866659,212,12.6,5310866653,56,Back,5310866657,141,71.2,5310866661,213,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570447,208,1,1,26,3,8cfkisxf1fkxdqtt6tx1tup48,1,40.7,66.1,2024-10-25T17:26:24.841Z,2024-10-28T18:57:26Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5310866729,56,Back,5310866733,140,48.6,5310866739,212,21.2,5310866735,141,37.4,5310866743,213,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570453,209,1,1,26,5,8cfkisxf1fkxdqtt6tx1tup48,1,48.6,37.4,2024-10-25T17:26:26.600Z,2024-10-28T18:57:33Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5310866797,212,19.6,5310866793,140,67.1,5310866791,56,Center,5310866799,213,0.15,5310866795,141,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570505,210,1,1,26,7,8cfkisxf1fkxdqtt6tx1tup48,1,67.1,41.6,2024-10-25T17:26:28.809Z,2024-10-28T18:57:40Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5310867079,141,47.8,5310867077,140,60.8,5310867083,213,2.57,5310867081,212,7.8,5310867075,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570517,211,1,1,26,10,8cfkisxf1fkxdqtt6tx1tup48,1,61.0,51.5,2024-10-25T17:26:31.433Z,2024-10-28T18:57:46Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310867157,212,17.0,5310867155,141,76.4,5310867153,140,59.1,5310867151,56,Center,5310867159,213,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738570527,212,1,1,26,12,8cfkisxf1fkxdqtt6tx1tup48,1,59.1,76.4,2024-10-25T17:26:33.337Z,2024-10-28T18:57:53Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5310867251,212,12.2,5310867253,213,0.67,5310867247,140,68.2,5310867249,141,87.5,5310867245,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
