id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2802139919,162,1,1,14,26,dbl7ir1qugqz8nvp1vzn8im50,1,16.2,13.7,2025-04-17T11:14:48.740Z,2025-04-17T11:14:53Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5657618021,141,56.6,5657618019,140,7.1,5657618017,56,Back,5657618025,213,1.89,5657618023,212,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139929,163,1,1,14,30,dbl7ir1qugqz8nvp1vzn8im50,1,8.1,56.9,2025-04-17T11:14:52.891Z,2025-04-17T11:14:55Z,2g019dl7zougqjo7usig0rf11,M. Hansen,,,5657618051,56,Back,5657618069,213,0.11,5657618065,212,18.0,5657618059,141,59.9,5657618055,140,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139933,164,1,1,14,32,dbl7ir1qugqz8nvp1vzn8im50,1,25.1,59.9,2025-04-17T11:14:55.043Z,2025-04-17T11:14:57Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5657618097,212,20.2,5657618091,56,Back,5657618099,213,1.90,5657618095,141,88.0,5657618093,140,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139935,165,1,1,14,35,dbl7ir1qugqz8nvp1vzn8im50,1,18.9,88.0,2025-04-17T11:14:57.140Z,2025-04-18T12:56:42Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5658919331,155,,5657618113,140,46.2,5657618115,141,86.3,5657618119,213,6.24,5657618117,212,28.7,5657618111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139939,166,1,1,14,38,dbl7ir1qugqz8nvp1vzn8im50,0,46.2,86.3,2025-04-17T11:15:00.403Z,2025-04-17T11:15:05Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5657618145,168,,5657618149,140,67.1,5657618155,213,0.04,5657618153,212,22.0,5657618143,3,,5657618147,56,Left,5657618151,141,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139937,144,12,1,14,43,b8oqgvx1ijeyn6y1cn6929ix4,1,36.3,12.3,2025-04-17T11:15:05.180Z,2025-04-17T11:15:06Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5657618135,212,9.6,5657618129,56,Back,5657618161,167,,5657618131,140,35.2,5657618133,141,0.0,5657618137,213,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139941,145,5,1,14,43,b8oqgvx1ijeyn6y1cn6929ix4,0,33.8,-1.8,2025-04-17T11:15:05.525Z,2025-04-17T13:12:14Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5657618157,56,Back,5657618203,233,167,5657618159,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139943,167,5,1,14,43,dbl7ir1qugqz8nvp1vzn8im50,1,66.2,101.8,2025-04-17T11:15:05.525Z,2025-04-17T13:12:13Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5657618163,56,Left,5657618165,347,,5657618195,233,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139949,168,1,1,14,45,dbl7ir1qugqz8nvp1vzn8im50,1,68.3,100.0,2025-04-17T11:15:07.235Z,2025-04-17T11:15:09Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5657618219,212,14.0,5657618221,213,5.52,5657618215,140,77.9,5657618213,56,Left,5657618217,141,87.8,5657618211,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139951,169,1,1,14,46,dbl7ir1qugqz8nvp1vzn8im50,1,77.9,87.8,2025-04-17T11:15:08.685Z,2025-04-17T11:15:10Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5657618229,56,Left,5657618235,212,5.4,5657618237,213,2.76,5657618233,141,90.8,5657618231,140,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139953,170,1,1,14,47,dbl7ir1qugqz8nvp1vzn8im50,1,73.1,90.8,2025-04-17T11:15:09.914Z,2025-04-17T11:15:11Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5657618249,213,4.30,5657618245,141,81.2,5657618241,56,Left,5657618243,140,70.4,5657618247,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139959,171,1,1,14,49,dbl7ir1qugqz8nvp1vzn8im50,1,70.4,81.2,2025-04-17T11:15:11.355Z,2025-04-17T11:15:14Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5657618273,141,71.2,5657618277,213,3.97,5657618271,140,64.4,5657618269,56,Center,5657618275,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139967,172,1,1,14,52,dbl7ir1qugqz8nvp1vzn8im50,1,63.2,67.2,2025-04-17T11:15:14.051Z,2025-04-17T11:15:17Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5657618325,56,Center,5657618329,141,21.6,5657618327,140,63.5,5657618331,212,31.0,5657618333,213,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139983,173,1,1,14,55,dbl7ir1qugqz8nvp1vzn8im50,1,63.5,21.6,2025-04-17T11:15:17.531Z,2025-04-17T11:15:24Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657618441,212,21.4,5657618437,140,82.1,5657618443,213,5.86,5657618439,141,8.8,5657618435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802145007,460,43,1,14,58,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:15:20.963Z,2025-04-17T12:03:46Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657648545,144,83,5657648269,399,5wmik73cqursg7sv3w14ue5pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139979,146,83,1,15,1,b8oqgvx1ijeyn6y1cn6929ix4,0,14.2,72.1,2025-04-17T11:15:23.572Z,2025-04-17T12:03:53Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657618481,399,5wmik73cqursg7sv3w14ue5pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139989,174,3,1,15,2,dbl7ir1qugqz8nvp1vzn8im50,0,81.3,23.9,2025-04-17T11:15:24.627Z,2025-04-18T12:59:07Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5657618455,286,,5657618453,56,Center,5657618477,233,147,5658922035,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139987,147,7,1,15,2,b8oqgvx1ijeyn6y1cn6929ix4,0,18.7,76.1,2025-04-17T11:15:24.628Z,2025-04-18T12:59:10Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657618451,285,,5657618457,233,174,5658922091,385,,5657618449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802364871,851,61,1,15,3,dbl7ir1qugqz8nvp1vzn8im50,1,80.9,25.4,2025-04-17T11:15:25.673Z,2025-04-18T12:59:32Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5658922493,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139997,175,1,1,15,4,dbl7ir1qugqz8nvp1vzn8im50,1,78.3,22.5,2025-04-17T11:15:26.762Z,2025-04-17T11:15:28Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5657618503,141,32.4,5657618507,213,2.71,5657618501,140,64.2,5657618499,56,Center,5657618505,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140009,176,1,1,15,6,dbl7ir1qugqz8nvp1vzn8im50,1,64.2,32.4,2025-04-17T11:15:28.235Z,2025-04-17T11:15:30Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5657618567,140,54.0,5657618571,212,19.8,5657618565,56,Center,5657618569,141,56.9,5657618573,213,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140019,177,1,1,15,8,dbl7ir1qugqz8nvp1vzn8im50,1,54.0,56.9,2025-04-17T11:15:30.458Z,2025-04-17T11:15:33Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657618615,213,1.14,5657618609,140,58.0,5657618613,212,10.0,5657618611,141,70.2,5657618607,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140027,178,1,1,15,10,dbl7ir1qugqz8nvp1vzn8im50,1,58.0,70.2,2025-04-17T11:15:32.963Z,2025-04-17T11:15:34Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5657618639,56,Left,5657618645,212,12.0,5657618647,213,1.14,5657618643,141,86.2,5657618641,140,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140037,179,1,1,15,12,dbl7ir1qugqz8nvp1vzn8im50,1,62.8,86.2,2025-04-17T11:15:34.803Z,2025-04-17T11:15:39Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5657618705,56,Back,5657618709,141,71.5,5657618713,213,3.59,5657618711,212,22.9,5657618707,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140049,180,1,1,15,17,dbl7ir1qugqz8nvp1vzn8im50,1,46.8,63.1,2025-04-17T11:15:39.283Z,2025-04-17T11:15:42Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657618777,141,24.6,5657618773,56,Center,5657618779,212,28.1,5657618775,140,56.4,5657618781,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140061,181,1,1,15,20,dbl7ir1qugqz8nvp1vzn8im50,0,56.4,23.1,2025-04-17T11:15:42.178Z,2025-04-17T11:15:47Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5657618899,4,,5657618841,213,0.06,5657618837,141,27.3,5657618839,212,46.4,5657618835,140,100.0,5657618833,56,Center,5657618843,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140109,148,5,1,15,22,b8oqgvx1ijeyn6y1cn6929ix4,1,-0.5,74.6,2025-04-17T11:15:44.939Z,2025-04-17T13:12:14Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657619097,346,,5657619109,233,182,5657619095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140069,182,5,1,15,22,dbl7ir1qugqz8nvp1vzn8im50,0,100.5,25.4,2025-04-17T11:15:44.939Z,2025-04-17T13:12:14Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5657618895,56,Center,5657619113,233,148,5657618897,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140119,149,1,1,15,47,b8oqgvx1ijeyn6y1cn6929ix4,0,4.8,50.4,2025-04-17T11:16:09.116Z,2025-04-17T11:16:12Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5657619161,1,,5657619151,56,Center,5657619157,212,56.3,5657619155,141,68.7,5657619163,74,,5657619159,213,0.22,5657619149,124,,5657619153,140,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140121,183,12,1,15,50,dbl7ir1qugqz8nvp1vzn8im50,1,44.2,25.5,2025-04-17T11:16:12.354Z,2025-04-17T11:16:23Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5657619165,56,Center,5657619171,212,20.7,5657619169,141,33.6,5657619173,213,0.27,5657619175,15,,5657619167,140,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140127,150,1,1,15,52,b8oqgvx1ijeyn6y1cn6929ix4,1,32.8,62.3,2025-04-17T11:16:14.242Z,2025-04-17T11:16:16Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657619201,3,,5657619211,213,1.55,5657619207,141,77.8,5657619209,212,10.5,5657619205,140,33.0,5657619203,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140131,151,1,1,15,53,b8oqgvx1ijeyn6y1cn6929ix4,1,33.0,77.6,2025-04-17T11:16:15.890Z,2025-04-17T11:16:17Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657619257,213,5.81,5657619247,3,,5657619251,140,42.3,5657619253,141,70.2,5657619249,56,Back,5657619255,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140135,152,1,1,15,55,b8oqgvx1ijeyn6y1cn6929ix4,1,42.3,70.2,2025-04-17T11:16:17.340Z,2025-04-17T11:16:18Z,b6l4m6bmqgil9bjjov4tnuivo,C. Palm,,,5657619277,213,6.20,5657619271,140,48.9,5657619267,168,,5657619273,141,69.4,5657619265,3,,5657619269,56,Back,5657619275,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140141,153,1,1,15,56,b8oqgvx1ijeyn6y1cn6929ix4,1,48.9,69.4,2025-04-17T11:16:18.411Z,2025-04-17T11:16:20Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5657619313,140,54.0,5657619311,56,Center,5657619315,141,47.2,5657619321,213,5.05,5657619319,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140143,154,43,1,15,58,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:16:20.179Z,2025-04-17T11:16:33Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5657619535,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140151,155,1,1,15,58,b8oqgvx1ijeyn6y1cn6929ix4,1,56.2,44.9,2025-04-17T11:16:20.243Z,2025-04-17T11:16:26Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5657619379,141,21.0,5657619375,56,Right,5657619381,212,16.3,5657619383,213,4.76,5657619377,140,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140159,156,1,1,16,4,b8oqgvx1ijeyn6y1cn6929ix4,1,78.4,11.7,2025-04-17T11:16:26.251Z,2025-04-17T11:16:28Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657619439,213,2.76,5657619435,141,16.2,5657619431,56,Right,5657619433,140,71.1,5657619437,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140167,157,1,1,16,6,b8oqgvx1ijeyn6y1cn6929ix4,1,70.3,17.1,2025-04-17T11:16:28.755Z,2025-04-17T11:16:31Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5657619489,212,10.9,5657619485,140,72.4,5657619483,56,Center,5657619491,213,1.37,5657619487,141,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140181,158,1,1,16,9,b8oqgvx1ijeyn6y1cn6929ix4,1,71.6,44.6,2025-04-17T11:16:31.371Z,2025-04-17T11:16:35Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5657619549,56,Center,5657619555,212,16.4,5657619553,141,67.9,5657619557,213,1.83,5657619551,140,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140189,159,1,1,16,12,b8oqgvx1ijeyn6y1cn6929ix4,1,64.6,78.2,2025-04-17T11:16:34.802Z,2025-04-17T11:16:37Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657619611,212,5.8,5657619607,140,64.6,5657619613,213,4.71,5657619609,141,69.7,5657619605,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140191,160,1,1,16,15,b8oqgvx1ijeyn6y1cn6929ix4,1,64.2,68.5,2025-04-17T11:16:37.595Z,2025-04-17T11:16:38Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5657619623,212,7.1,5657619625,213,3.91,5657619617,56,Center,5657619621,141,61.2,5657619619,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140207,161,1,1,16,16,b8oqgvx1ijeyn6y1cn6929ix4,1,59.3,61.2,2025-04-17T11:16:38.474Z,2025-04-17T11:16:42Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657619723,213,2.73,5657619715,56,Back,5657619721,212,18.3,5657619719,141,72.0,5657619717,140,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140221,162,1,1,16,19,b8oqgvx1ijeyn6y1cn6929ix4,1,41.6,67.2,2025-04-17T11:16:41.914Z,2025-04-17T11:16:45Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5657619781,141,30.9,5657619779,140,44.7,5657619777,56,Back,5657619785,213,4.84,5657619783,212,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140229,163,1,1,16,22,b8oqgvx1ijeyn6y1cn6929ix4,1,43.8,29.4,2025-04-17T11:16:44.810Z,2025-04-17T11:16:51Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5657619827,56,Right,5657619833,212,24.7,5657619835,213,5.50,5657619831,141,3.8,5657619829,140,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140235,164,1,1,16,28,b8oqgvx1ijeyn6y1cn6929ix4,0,66.6,18.3,2025-04-17T11:16:50.851Z,2025-04-17T11:23:39Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657619875,212,17.7,5657619877,213,5.83,5657619873,141,7.0,5657619869,56,Right,5657619871,140,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140237,184,12,1,16,30,dbl7ir1qugqz8nvp1vzn8im50,1,15.7,91.4,2025-04-17T11:16:52.394Z,2025-04-18T13:01:35Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657619881,56,Back,5657619887,212,1.3,5657619883,140,16.9,5657619889,213,0.21,5657619885,141,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365261,870,61,1,16,31,b8oqgvx1ijeyn6y1cn6929ix4,1,83.1,7.2,2025-04-17T11:16:53.386Z,2025-04-18T13:01:48Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5658924689,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365271,852,61,1,16,32,dbl7ir1qugqz8nvp1vzn8im50,1,16.9,92.8,2025-04-17T11:16:54.386Z,2025-04-18T13:01:46Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5658924741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140243,165,5,1,16,32,b8oqgvx1ijeyn6y1cn6929ix4,1,78.4,-1.8,2025-04-17T11:16:54.466Z,2025-04-17T13:12:15Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657619911,347,,5657619909,56,Right,5657619923,233,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140239,185,5,1,16,32,dbl7ir1qugqz8nvp1vzn8im50,0,21.6,101.8,2025-04-17T11:16:54.466Z,2025-04-17T13:12:15Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657619891,56,Back,5657619927,233,165,5657619893,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140341,166,27,1,17,23,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:17:45.940Z,2025-04-17T11:17:59Z,,,,,5657620553,233,186,5657620627,53,b55jtl3ixolidn6cvc4t90efo,5657620625,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140343,186,27,1,17,23,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-17T11:17:45.940Z,2025-04-17T11:17:47Z,,,,,5657620535,233,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140389,167,28,1,18,4,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:18:26.233Z,2025-04-18T16:19:32Z,,,,,5657620815,55,166,5659817675,233,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140437,188,28,1,18,4,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-17T11:18:26.233Z,2025-04-18T16:19:32Z,,,,,5659817651,233,167,5657621083,55,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140441,168,1,1,18,23,b8oqgvx1ijeyn6y1cn6929ix4,0,82.7,0.0,2025-04-17T11:18:45.224Z,2025-04-17T11:18:47Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5657621103,140,92.0,5657621105,141,44.5,5657621099,107,,5657621109,213,1.27,5657621111,1,,5657621101,56,Center,5657621107,212,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140445,189,12,1,18,26,dbl7ir1qugqz8nvp1vzn8im50,1,8.0,60.3,2025-04-17T11:18:48.816Z,2025-04-17T11:18:50Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5657621135,212,10.7,5657621139,15,,5657621129,56,Back,5657621131,140,11.9,5657621133,141,74.8,5657621137,213,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140447,169,44,1,18,27,b8oqgvx1ijeyn6y1cn6929ix4,1,88.4,26.8,2025-04-17T11:18:49.761Z,2025-04-17T13:04:41Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657621141,56,Center,5657621165,233,190,5657621143,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140453,190,44,1,18,27,dbl7ir1qugqz8nvp1vzn8im50,0,11.6,73.2,2025-04-17T11:18:49.762Z,2025-04-17T13:04:42Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5657621169,233,169,5657621163,285,,5657621161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140449,170,1,1,18,28,b8oqgvx1ijeyn6y1cn6929ix4,0,88.9,29.5,2025-04-17T11:18:50.185Z,2025-04-17T11:18:50Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657621155,213,1.41,5657621145,3,,5657621149,140,90.8,5657621147,56,Center,5657621151,141,47.8,5657621153,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140461,191,12,1,18,29,dbl7ir1qugqz8nvp1vzn8im50,1,9.8,55.5,2025-04-17T11:18:51.848Z,2025-04-17T11:18:56Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5657621199,213,0.46,5657621195,141,75.1,5657621197,212,29.9,5657621193,140,35.3,5657621191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140463,192,61,1,18,33,dbl7ir1qugqz8nvp1vzn8im50,0,35.3,75.1,2025-04-17T11:18:55.920Z,2025-04-17T11:49:34Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657621201,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140467,171,1,1,18,33,b8oqgvx1ijeyn6y1cn6929ix4,1,64.4,20.1,2025-04-17T11:18:56.032Z,2025-04-17T11:18:58Z,423hv4unq5vvnp7kecv6wp3is,M. Saaby,,,5657621217,140,45.4,5657621223,213,2.83,5657621221,212,21.0,5657621215,56,Back,5657621219,141,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140469,172,1,1,18,36,b8oqgvx1ijeyn6y1cn6929ix4,1,41.4,32.2,2025-04-17T11:18:58.305Z,2025-04-17T11:19:01Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657621231,56,Back,5657621237,212,25.4,5657621233,140,20.1,5657621239,213,2.65,5657621235,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140475,173,1,1,18,39,b8oqgvx1ijeyn6y1cn6929ix4,1,20.2,55.2,2025-04-17T11:19:01.120Z,2025-04-17T11:19:03Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5657621267,140,31.3,5657621273,213,1.04,5657621269,141,84.5,5657621271,212,23.1,5657621265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140477,174,1,1,18,42,b8oqgvx1ijeyn6y1cn6929ix4,1,30.4,85.6,2025-04-17T11:19:04.888Z,2025-04-17T11:19:08Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5657621281,141,65.4,5657621279,140,35.0,5657621283,212,14.6,5657621277,56,Back,5657621285,213,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802140479,175,1,1,18,46,b8oqgvx1ijeyn6y1cn6929ix4,0,37.4,58.1,2025-04-17T11:19:08.713Z,2025-04-17T11:19:12Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5657621295,140,58.6,5657621299,212,46.4,5657621293,56,Right,5657621301,213,5.21,5657621297,141,0.0,5657621303,1,,5657621291,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
