id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2711317623,115,1,1,10,46,a9vw7ikerpr4cuweeeka5aneg,0,82.2,11.9,2024-08-20T16:10:52.249Z,2024-08-20T16:10:53Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5161624739,56,Center,5161624735,2,,5161624747,213,1.35,5161624745,212,11.8,5161624741,140,84.6,5161624743,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317627,88,12,1,10,49,bd4qakf7j0wwie8wke9km7uj8,1,12.5,65.7,2024-08-20T16:10:54.775Z,2024-08-20T16:11:20Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161624779,141,57.3,5161624783,213,5.76,5161624775,56,Back,5161624781,212,11.5,5161624785,15,,5161624777,140,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317629,116,1,1,10,49,a9vw7ikerpr4cuweeeka5aneg,1,77.2,44.2,2024-08-20T16:10:55.337Z,2024-08-20T16:10:56Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161624793,212,7.7,5161624795,213,2.28,5161624789,140,72.4,5161624791,141,52.8,5161624787,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317645,117,1,1,10,51,a9vw7ikerpr4cuweeeka5aneg,1,72.4,52.8,2024-08-20T16:10:56.591Z,2024-08-20T16:11:03Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5161624871,213,1.57,5161624863,56,Left,5161624867,141,84.5,5161624869,212,21.6,5161624865,140,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317653,118,1,1,10,58,a9vw7ikerpr4cuweeeka5aneg,1,76.0,71.1,2024-08-20T16:11:03.688Z,2024-08-20T16:11:09Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5161624903,140,86.6,5161624905,141,92.9,5161624901,56,Left,5161624907,212,18.5,5161624909,213,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317661,119,1,1,11,4,a9vw7ikerpr4cuweeeka5aneg,1,91.5,91.5,2024-08-20T16:11:09.479Z,2024-08-20T16:11:16Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5161624961,140,96.9,5161624965,212,11.6,5161624963,141,76.7,5161624959,56,Center,5161624967,213,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317685,121,1,1,11,9,a9vw7ikerpr4cuweeeka5aneg,1,68.0,37.3,2024-08-20T16:11:14.991Z,2024-08-20T17:04:47Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,,5161625095,213,5.18,5161625091,141,10.0,5161625087,56,Right,5161625089,140,76.9,5161625093,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317663,120,61,1,11,10,a9vw7ikerpr4cuweeeka5aneg,0,97.3,73.6,2024-08-20T16:11:15.892Z,2024-08-20T16:11:16Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161624971,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317683,90,61,1,11,17,bd4qakf7j0wwie8wke9km7uj8,0,34.5,68.4,2024-08-20T16:11:22.622Z,2024-08-20T16:39:32Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5161625083,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317681,89,12,1,11,17,bd4qakf7j0wwie8wke9km7uj8,1,6.9,30.4,2024-08-20T16:11:23.246Z,2024-08-20T17:04:40Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161625075,141,68.4,5161625071,56,Back,5161625079,213,0.73,5161625077,212,38.8,5161625073,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317687,122,3,1,11,18,a9vw7ikerpr4cuweeeka5aneg,0,77.8,9.4,2024-08-20T16:11:23.968Z,2024-08-20T17:00:33Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161625103,286,,5161646613,233,91,5161625101,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317713,91,7,1,11,18,bd4qakf7j0wwie8wke9km7uj8,1,22.2,90.6,2024-08-20T16:11:23.969Z,2024-08-20T17:00:33Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5161625223,56,Back,5161646609,233,122,5161625225,285,,5161625221,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317715,92,5,1,11,25,bd4qakf7j0wwie8wke9km7uj8,0,19.9,101.3,2024-08-20T16:11:30.871Z,2024-08-20T16:37:15Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161625229,347,,5161625227,56,Back,5161625329,233,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317733,123,5,1,11,25,a9vw7ikerpr4cuweeeka5aneg,1,80.1,-1.3,2024-08-20T16:11:30.871Z,2024-08-20T18:03:24Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161625313,56,Right,5161625323,233,92,5161625315,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317741,124,1,1,11,42,a9vw7ikerpr4cuweeeka5aneg,0,78.8,0.0,2024-08-20T16:11:47.399Z,2024-08-20T16:11:52Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161625407,212,28.7,5161625399,107,,5161625409,213,1.09,5161625401,56,Center,5161625405,141,36.4,5161625411,1,,5161625403,140,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317753,93,44,1,11,46,bd4qakf7j0wwie8wke9km7uj8,1,8.3,61.8,2024-08-20T16:11:51.455Z,2024-08-20T17:00:43Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161648413,233,125,5161648399,285,,5161648397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317743,125,44,1,11,46,a9vw7ikerpr4cuweeeka5aneg,0,91.7,38.2,2024-08-20T16:11:51.456Z,2024-08-20T18:42:54Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161625421,286,,5161648417,233,93,5161625419,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317755,94,61,1,11,46,bd4qakf7j0wwie8wke9km7uj8,1,8.7,61.7,2024-08-20T16:11:51.519Z,2024-08-20T16:41:20Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161649003,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317757,126,1,1,11,48,a9vw7ikerpr4cuweeeka5aneg,0,81.6,16.7,2024-08-20T16:11:53.479Z,2024-08-20T16:11:58Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161625463,56,Center,5161625503,233,95,5161625461,155,,5161625465,140,94.2,5161625469,212,27.3,5161625471,213,1.06,5161625459,2,,5161625467,141,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317763,95,11,1,11,52,bd4qakf7j0wwie8wke9km7uj8,1,5.8,54.3,2024-08-20T16:11:57.886Z,2024-08-20T16:11:58Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161625507,233,126,5161625501,88,,5161625499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317767,96,1,1,11,54,bd4qakf7j0wwie8wke9km7uj8,1,9.8,56.7,2024-08-20T16:11:59.623Z,2024-08-20T16:12:04Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161625529,287,,5161625525,213,5.19,5161625521,141,6.5,5161625517,56,Back,5161625523,212,38.4,5161625515,123,,5161625519,140,26.5,5161625595,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317785,97,1,1,11,59,bd4qakf7j0wwie8wke9km7uj8,1,32.6,5.5,2024-08-20T16:12:04.783Z,2024-08-20T16:12:10Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161625667,56,Back,5161625669,140,27.0,5161625673,212,23.6,5161625671,141,39.1,5161625675,213,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317795,98,1,1,12,4,bd4qakf7j0wwie8wke9km7uj8,1,31.9,37.9,2024-08-20T16:12:10.055Z,2024-08-20T16:12:13Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161625711,56,Back,5161625715,141,76.7,5161625717,212,26.4,5161625719,213,1.58,5161625713,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317801,99,1,1,12,7,bd4qakf7j0wwie8wke9km7uj8,1,30.6,79.5,2024-08-20T16:12:12.879Z,2024-08-20T16:12:16Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161625743,140,14.9,5161625741,56,Back,5161625745,141,52.4,5161625747,212,24.7,5161625749,213,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317807,100,1,1,12,10,bd4qakf7j0wwie8wke9km7uj8,1,14.9,52.4,2024-08-20T16:12:16.175Z,2024-08-20T16:12:20Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161625797,213,5.07,5161625793,141,17.6,5161625791,140,23.2,5161625789,56,Back,5161625795,212,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317815,101,1,1,12,15,bd4qakf7j0wwie8wke9km7uj8,1,26.5,13.7,2024-08-20T16:12:20.671Z,2024-08-20T16:12:25Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161625853,56,Back,5161625861,213,2.20,5161625855,140,9.5,5161625857,141,49.6,5161625859,212,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317827,102,1,1,12,20,bd4qakf7j0wwie8wke9km7uj8,1,13.4,65.1,2024-08-20T16:12:25.408Z,2024-08-20T16:12:30Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5161625935,1,,5161625931,212,62.0,5161625927,140,69.0,5161625933,213,0.34,5161625925,56,Left,5161625929,141,95.7,5161625923,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317837,103,1,1,12,24,bd4qakf7j0wwie8wke9km7uj8,0,69.0,95.7,2024-08-20T16:12:30.181Z,2024-08-20T16:41:50Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161625977,56,Left,5161625985,213,5.61,5161625981,141,81.6,5161625983,212,15.3,5161625979,140,80.4,5161625975,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317857,128,1,1,12,30,a9vw7ikerpr4cuweeeka5aneg,1,17.2,28.6,2024-08-20T16:12:35.727Z,2024-08-20T16:12:40Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161626117,213,5.81,5161626109,56,Back,5161626113,141,13.8,5161626115,212,22.1,5161626111,140,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317871,129,1,1,12,35,a9vw7ikerpr4cuweeeka5aneg,1,39.2,15.8,2024-08-20T16:12:40.767Z,2024-08-20T16:12:43Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5161626173,140,47.9,5161626179,213,5.62,5161626177,212,11.6,5161626175,141,5.2,5161626171,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317877,130,1,1,12,38,a9vw7ikerpr4cuweeeka5aneg,0,48.7,5.0,2024-08-20T16:12:43.432Z,2024-08-20T16:12:46Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161626215,141,15.9,5161626211,56,Right,5161626219,213,0.18,5161626217,212,42.0,5161626213,140,88.1,5161626221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317881,104,12,1,12,41,bd4qakf7j0wwie8wke9km7uj8,1,11.6,70.4,2024-08-20T16:12:47.111Z,2024-08-20T16:12:51Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161626253,141,100.0,5161626251,140,6.5,5161626255,212,21.7,5161626249,56,Back,5161626277,167,,5161626257,213,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317885,105,5,1,12,44,bd4qakf7j0wwie8wke9km7uj8,0,6.6,101.4,2024-08-20T16:12:50.327Z,2024-08-20T18:03:24Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161626273,56,Back,5161626465,233,131,5161626275,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317911,131,5,1,12,44,a9vw7ikerpr4cuweeeka5aneg,1,93.4,-1.4,2024-08-20T16:12:50.327Z,2024-08-20T16:13:16Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161626461,233,105,5161626459,347,,5161626457,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317913,132,1,1,13,9,a9vw7ikerpr4cuweeeka5aneg,0,91.7,0.0,2024-08-20T16:13:15.343Z,2024-08-20T16:13:18Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161626477,141,37.7,5161626473,56,Center,5161626481,213,1.38,5161626483,1,,5161626479,212,27.1,5161626475,140,96.5,5161626471,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317915,133,44,1,13,12,a9vw7ikerpr4cuweeeka5aneg,1,94.2,36.4,2024-08-20T16:13:17.726Z,2024-08-20T17:00:43Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161626535,233,106,5161626487,56,Center,5161626489,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317917,106,44,1,13,12,bd4qakf7j0wwie8wke9km7uj8,0,5.8,63.6,2024-08-20T16:13:17.727Z,2024-08-20T17:00:44Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5161626493,56,Back,5161626531,233,133,5161626495,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711319145,214,1,1,13,13,a9vw7ikerpr4cuweeeka5aneg,0,91.7,43.4,2024-08-20T16:13:18.573Z,2024-08-20T17:00:44Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161633465,3,,5161633469,140,90.7,5161633473,212,3.2,5161633467,56,Center,5161633475,213,4.38,5161633471,141,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317923,107,43,1,13,13,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-20T16:13:18.648Z,2024-08-20T16:21:36Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5161626505,56,Back,5161626509,140,11.9,5161626513,141,74.1,5161634219,144,12,5161626517,212,6.8,5161626521,213,1.22,5161626529,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317925,108,44,1,13,14,bd4qakf7j0wwie8wke9km7uj8,1,10.5,72.8,2024-08-20T16:13:19.431Z,2024-08-20T17:00:44Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161626593,233,134,5161626557,56,Back,5161626559,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317919,134,44,1,13,14,a9vw7ikerpr4cuweeeka5aneg,0,89.5,27.2,2024-08-20T16:13:19.432Z,2024-08-20T17:00:45Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161626499,286,,5161626497,56,Center,5161626599,233,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317927,109,12,1,13,14,bd4qakf7j0wwie8wke9km7uj8,1,11.9,74.1,2024-08-20T16:13:19.648Z,2024-08-20T17:05:39Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161626563,140,24.8,5161626573,15,,5161626567,212,13.5,5161626569,213,0.01,5161626561,56,Back,5161626565,141,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317929,135,1,1,13,16,a9vw7ikerpr4cuweeeka5aneg,0,73.6,28.9,2024-08-20T16:13:22.127Z,2024-08-20T16:13:24Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5161626587,212,24.2,5161626579,155,,5161626583,140,92.3,5161626589,213,0.62,5161626585,141,49.6,5161626581,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317937,110,12,1,13,19,bd4qakf7j0wwie8wke9km7uj8,1,8.2,34.1,2024-08-20T16:13:25.081Z,2024-08-20T16:22:06Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5161626633,212,21.1,5161626653,15,,5161626631,141,27.2,5161626635,213,6.06,5161626629,140,27.8,5161626627,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317957,112,1,1,13,30,bd4qakf7j0wwie8wke9km7uj8,1,82.7,5.9,2024-08-20T16:13:35.392Z,2024-08-20T16:13:36Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5161626759,213,2.55,5161626757,212,18.7,5161626751,56,Right,5161626755,141,21.1,5161626753,140,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317977,113,1,1,13,31,bd4qakf7j0wwie8wke9km7uj8,1,69.4,20.3,2024-08-20T16:13:37.352Z,2024-08-20T16:13:40Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5161626849,140,66.4,5161626845,155,,5161626857,1,,5161626847,56,Center,5161626853,212,38.7,5161626855,213,1.65,5161626851,141,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317985,114,1,1,13,36,bd4qakf7j0wwie8wke9km7uj8,1,70.0,80.9,2024-08-20T16:13:42Z,2024-08-20T16:13:42Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161626883,140,66.4,5161626885,141,71.6,5161626881,56,Center,5161626889,213,4.17,5161626887,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711317997,115,1,1,13,37,bd4qakf7j0wwie8wke9km7uj8,1,66.4,71.6,2024-08-20T16:13:42.592Z,2024-08-20T16:13:48Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5161626989,56,Left,5161626993,140,69.1,5161627001,212,12.2,5161626997,141,89.1,5161627003,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318005,116,1,1,13,42,bd4qakf7j0wwie8wke9km7uj8,0,69.7,88.5,2024-08-20T16:13:47.944Z,2024-08-20T16:13:50Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161627057,140,100.0,5161627061,212,32.9,5161627065,1,,5161627063,213,6.12,5161627059,141,80.7,5161627055,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318009,117,5,1,13,45,bd4qakf7j0wwie8wke9km7uj8,0,100.6,82.3,2024-08-20T16:13:50.430Z,2024-08-20T18:03:25Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5161627081,346,,5161627079,56,Left,5161627179,233,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318029,136,5,1,13,45,a9vw7ikerpr4cuweeeka5aneg,1,-0.6000000000000001,17.7,2024-08-20T16:13:50.430Z,2024-08-20T18:03:24Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161627171,346,,5161627173,233,117,5161627169,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318033,137,1,1,13,54,a9vw7ikerpr4cuweeeka5aneg,1,5.0,49.0,2024-08-20T16:14:00.160Z,2024-08-20T16:14:01Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5161627199,140,15.3,5161627195,124,,5161627203,212,15.1,5161627213,237,,5161627197,56,Back,5161627201,141,33.4,5161627205,213,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318047,138,1,1,13,55,a9vw7ikerpr4cuweeeka5aneg,1,15.3,33.4,2024-08-20T16:14:01.126Z,2024-08-20T16:14:07Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161627297,141,50.9,5161627301,213,1.75,5161627299,212,12.1,5161627295,140,13.3,5161627293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318051,139,1,1,14,2,a9vw7ikerpr4cuweeeka5aneg,1,13.9,51.9,2024-08-20T16:14:07.415Z,2024-08-20T16:14:09Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,,5161627321,141,41.5,5161627325,213,5.99,5161627341,189,,5161627317,56,Back,5161627323,212,24.9,5161627319,140,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318063,140,1,1,14,4,a9vw7ikerpr4cuweeeka5aneg,1,36.6,41.5,2024-08-20T16:14:09.662Z,2024-08-20T16:14:13Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5161627397,213,4.86,5161627393,141,23.9,5161627389,56,Back,5161627395,212,12.1,5161627391,140,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318067,141,1,1,14,7,a9vw7ikerpr4cuweeeka5aneg,1,39.0,23.6,2024-08-20T16:14:13.111Z,2024-08-20T16:14:14Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161627419,212,11.0,5161627417,141,24.9,5161627415,140,49.4,5161627413,56,Back,5161627421,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318073,142,1,1,14,9,a9vw7ikerpr4cuweeeka5aneg,1,49.4,24.9,2024-08-20T16:14:14.614Z,2024-08-20T16:14:17Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5161627449,141,20.3,5161627445,56,Back,5161627457,156,,5161627447,140,39.4,5161627453,213,3.43,5161627451,212,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318079,143,1,1,14,13,a9vw7ikerpr4cuweeeka5aneg,0,39.4,20.3,2024-08-20T16:14:18.399Z,2024-08-20T16:14:22Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161627499,141,12.5,5161627495,56,Right,5161627493,155,,5161627497,140,73.2,5161627503,213,6.13,5161627505,1,,5161627501,212,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318089,118,44,1,14,15,bd4qakf7j0wwie8wke9km7uj8,1,25.4,86.8,2024-08-20T16:14:21.085Z,2024-08-20T16:14:25Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161627531,233,144,5161627529,285,,5161627527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318081,144,44,1,14,15,a9vw7ikerpr4cuweeeka5aneg,0,74.6,13.2,2024-08-20T16:14:21.086Z,2024-08-20T16:14:26Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161627511,286,,5161627509,56,Right,5161627553,233,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318107,119,1,1,14,15,bd4qakf7j0wwie8wke9km7uj8,0,23.3,85.5,2024-08-20T16:14:21.321Z,2024-08-20T17:05:43Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5161627639,141,78.5,5161627641,212,5.6,5161627637,140,26.1,5161627635,56,Back,5161627633,3,,5161627643,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318099,145,1,1,14,16,a9vw7ikerpr4cuweeeka5aneg,0,75.7,29.4,2024-08-20T16:14:22.318Z,2024-08-20T17:06:16Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5161627571,212,10.8,5161627573,213,1.36,5161627567,140,77.8,5161627569,141,44.9,5161627565,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318115,120,12,1,14,17,bd4qakf7j0wwie8wke9km7uj8,1,17.2,44.6,2024-08-20T16:14:23.160Z,2024-08-20T17:06:12Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5161627673,140,43.9,5161627671,56,Back,5161627675,141,69.9,5161627677,212,32.9,5161627679,213,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711318117,121,61,1,14,25,bd4qakf7j0wwie8wke9km7uj8,0,43.9,69.9,2024-08-20T16:14:30.544Z,2024-08-20T16:14:36Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5161627681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
