id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2722779689,199,1,1,21,10,8cfkisxf1fkxdqtt6tx1tup48,1,28.7,43.3,2024-09-20T17:22:07.406Z,2024-09-20T17:22:09Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224516939,141,36.1,5224516943,213,5.95,5224516937,140,42.2,5224516941,212,15.0,5224516935,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779705,200,1,1,21,12,8cfkisxf1fkxdqtt6tx1tup48,1,42.0,35.7,2024-09-20T17:22:09.358Z,2024-09-20T17:22:11Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5224517001,140,28.3,5224517003,141,40.0,5224516999,56,Back,5224517007,213,2.94,5224517005,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779711,201,1,1,21,14,8cfkisxf1fkxdqtt6tx1tup48,1,28.3,40.0,2024-09-20T17:22:10.958Z,2024-09-20T17:22:11Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224517039,141,51.8,5224517043,213,0.95,5224517037,140,33.8,5224517035,56,Back,5224517041,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779725,202,1,1,21,15,8cfkisxf1fkxdqtt6tx1tup48,1,33.8,51.8,2024-09-20T17:22:11.813Z,2024-09-20T17:22:14Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224517115,141,38.2,5224517135,156,,5224517117,212,12.1,5224517113,140,26.3,5224517119,213,4.01,5224517111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779767,203,1,1,21,20,8cfkisxf1fkxdqtt6tx1tup48,1,29.2,37.1,2024-09-20T17:22:17.117Z,2024-09-20T17:22:22Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224517403,213,1.69,5224517395,56,Back,5224517399,141,58.5,5224517397,140,27.6,5224517401,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779785,204,1,1,21,25,8cfkisxf1fkxdqtt6tx1tup48,1,33.9,51.0,2024-09-20T17:22:22.134Z,2024-09-20T17:22:24Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224517515,212,12.9,5224517517,213,5.17,5224517509,56,Back,5224517513,141,33.9,5224517511,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779797,205,1,1,21,28,8cfkisxf1fkxdqtt6tx1tup48,1,39.1,32.8,2024-09-20T17:22:24.822Z,2024-09-20T17:22:26Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224517595,141,42.4,5224517597,212,26.9,5224517593,140,64.0,5224517591,56,Center,5224517599,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779799,206,1,1,21,30,8cfkisxf1fkxdqtt6tx1tup48,1,64.0,42.4,2024-09-20T17:22:26.798Z,2024-09-20T17:22:28Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5224517641,156,,5224517611,141,44.0,5224517613,212,13.5,5224517607,56,Center,5224517609,140,51.2,5224517615,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779811,170,83,1,21,32,7gkglopz9cjsysn2u6sbhuvc5,0,47.1,74.1,2024-09-20T17:22:29.279Z,2024-09-20T17:22:34Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224517889,399,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779827,207,4,1,21,34,8cfkisxf1fkxdqtt6tx1tup48,1,53.6,29.0,2024-09-20T17:22:31.350Z,2024-09-20T17:22:35Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224517921,295,,5224517809,56,Center,5224517855,233,171,5224517811,152,,5224517807,13,,5224517815,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722779821,171,4,1,21,34,7gkglopz9cjsysn2u6sbhuvc5,0,46.4,71.0,2024-09-20T17:22:31.351Z,2024-09-20T17:22:35Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224517861,233,207,5224517829,56,Back,5224517831,152,,5224517827,295,,5224517825,13,,5224517833,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780095,208,1,1,22,13,8cfkisxf1fkxdqtt6tx1tup48,1,57.2,23.9,2024-09-20T17:23:10.500Z,2024-09-20T17:23:11Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224519367,212,16.3,5224519357,5,,5224519365,141,47.8,5224519361,56,Center,5224519369,213,1.68,5224519359,152,,5224519363,140,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780103,209,1,1,22,14,8cfkisxf1fkxdqtt6tx1tup48,1,55.5,47.8,2024-09-20T17:23:11.549Z,2024-09-20T17:23:12Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224519399,140,58.2,5224519407,213,1.37,5224519403,141,67.8,5224519395,56,Center,5224519405,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780131,210,1,1,22,15,8cfkisxf1fkxdqtt6tx1tup48,1,58.2,67.9,2024-09-20T17:23:12.213Z,2024-09-20T17:23:14Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224519575,212,19.0,5224519577,213,1.02,5224519569,56,Left,5224519573,141,91.7,5224519571,140,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780151,211,1,1,22,17,8cfkisxf1fkxdqtt6tx1tup48,1,68.2,92.0,2024-09-20T17:23:14.388Z,2024-09-20T17:23:16Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5224519665,212,13.1,5224519667,213,3.25,5224519663,141,89.9,5224519661,140,55.8,5224519659,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780177,212,1,1,22,19,8cfkisxf1fkxdqtt6tx1tup48,1,49.6,86.2,2024-09-20T17:23:15.926Z,2024-09-20T17:23:19Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224519805,56,Back,5224519815,1,,5224519807,140,22.0,5224519811,212,32.9,5224519809,141,63.3,5224519813,213,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780223,213,1,1,22,22,8cfkisxf1fkxdqtt6tx1tup48,1,22.0,63.3,2024-09-20T17:23:18.973Z,2024-09-20T17:23:25Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5224520133,141,36.0,5224520131,140,29.3,5224520135,212,20.1,5224520129,56,Back,5224520137,213,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780253,214,1,1,22,28,8cfkisxf1fkxdqtt6tx1tup48,1,37.5,32.4,2024-09-20T17:23:24.941Z,2024-09-20T17:23:29Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224520277,56,Back,5224520285,213,1.83,5224520283,212,13.1,5224520279,140,34.3,5224520281,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780267,215,1,1,22,32,8cfkisxf1fkxdqtt6tx1tup48,0,40.0,52.1,2024-09-20T17:23:29.068Z,2024-09-20T17:23:31Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224520359,140,70.5,5224520361,141,100.0,5224520357,56,Left,5224520367,1,,5224520355,155,,5224520365,213,0.81,5224520363,212,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780351,173,5,1,22,34,7gkglopz9cjsysn2u6sbhuvc5,1,29.9,-1.0,2024-09-20T17:23:31.633Z,2024-09-20T19:40:07Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224520935,56,Back,5224520939,233,216,5224520937,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780273,216,5,1,22,34,8cfkisxf1fkxdqtt6tx1tup48,0,70.1,101.0,2024-09-20T17:23:31.633Z,2024-09-20T19:40:08Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224520383,347,,5224520947,233,173,5224520381,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780363,174,1,1,22,50,7gkglopz9cjsysn2u6sbhuvc5,1,35.2,0.0,2024-09-20T17:23:47.118Z,2024-09-20T17:23:49Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5224521019,56,Back,5224521025,212,13.4,5224521027,213,0.61,5224521017,107,,5224521023,141,10.0,5224521021,140,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780381,175,1,1,22,52,7gkglopz9cjsysn2u6sbhuvc5,1,44.9,10.0,2024-09-20T17:23:49.598Z,2024-09-20T17:23:53Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224521125,56,Right,5224521133,213,6.20,5224521127,140,58.6,5224521131,212,14.4,5224521129,141,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780383,176,61,1,22,53,7gkglopz9cjsysn2u6sbhuvc5,0,58.6,8.2,2024-09-20T17:23:50.109Z,2024-09-20T17:43:32Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5224521137,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780391,177,5,1,22,56,7gkglopz9cjsysn2u6sbhuvc5,0,62.6,-2.0,2024-09-20T17:23:53.020Z,2024-09-20T19:40:09Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5224521279,233,217,5224521183,347,,5224521181,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780399,217,5,1,22,56,8cfkisxf1fkxdqtt6tx1tup48,1,37.4,102.0,2024-09-20T17:23:53.020Z,2024-09-20T19:40:08Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224521219,56,Back,5224521221,347,,5224521239,233,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780431,218,1,1,22,59,8cfkisxf1fkxdqtt6tx1tup48,1,36.6,100.0,2024-09-20T17:23:55.820Z,2024-09-20T17:23:58Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224521391,140,15.3,5224521399,1,,5224521387,107,,5224521393,141,72.0,5224521397,213,3.88,5224521389,56,Back,5224521395,212,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780491,219,1,1,23,1,8cfkisxf1fkxdqtt6tx1tup48,1,14.6,70.6,2024-09-20T17:23:57.964Z,2024-09-20T17:24:07Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5224521705,141,42.7,5224521707,212,19.6,5224521703,140,19.1,5224521701,56,Back,5224521709,213,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780515,220,1,1,23,10,8cfkisxf1fkxdqtt6tx1tup48,1,31.3,28.2,2024-09-20T17:24:07.541Z,2024-09-20T17:24:10Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5224521851,56,Back,5224521859,213,1.60,5224521857,212,15.1,5224521855,141,50.4,5224521853,140,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780537,221,1,1,23,14,8cfkisxf1fkxdqtt6tx1tup48,1,33.4,52.8,2024-09-20T17:24:10.740Z,2024-09-20T17:24:14Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224521973,140,35.9,5224521981,213,1.43,5224521971,56,Back,5224521979,212,18.4,5224521977,141,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780569,222,1,1,23,17,8cfkisxf1fkxdqtt6tx1tup48,1,38.1,79.6,2024-09-20T17:24:13.956Z,2024-09-20T17:24:19Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224522169,141,90.0,5224522167,140,62.4,5224522171,212,26.5,5224522173,213,0.27,5224522165,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780575,223,3,1,23,22,8cfkisxf1fkxdqtt6tx1tup48,0,57.0,81.5,2024-09-20T17:24:19.484Z,2024-09-20T19:30:23Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5224522189,286,,5224522187,56,Left,5224522243,233,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780583,178,7,1,23,22,7gkglopz9cjsysn2u6sbhuvc5,1,43.0,18.5,2024-09-20T17:24:19.485Z,2024-09-20T19:30:23Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224522239,233,223,5224522233,56,Back,5224522235,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780615,180,1,1,23,27,7gkglopz9cjsysn2u6sbhuvc5,0,71.5,44.3,2024-09-20T17:24:24.565Z,2024-09-20T17:24:25Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224522447,141,43.7,5224522449,212,6.7,5224522443,56,Center,5224522451,213,6.22,5224522445,140,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780629,181,43,1,23,30,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-09-20T17:24:27.135Z,2024-09-20T17:25:07Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5224522531,56,Center,5224523981,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780631,224,8,1,23,30,8cfkisxf1fkxdqtt6tx1tup48,1,35.0,64.6,2024-09-20T17:24:27.148Z,2024-09-20T17:24:27Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224522535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780853,232,61,1,23,31,8cfkisxf1fkxdqtt6tx1tup48,1,24.1,62.1,2024-09-20T17:24:28.264Z,2024-09-20T17:57:43Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224523887,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780659,226,1,1,23,33,8cfkisxf1fkxdqtt6tx1tup48,1,38.4,68.5,2024-09-20T17:24:30.060Z,2024-09-20T17:57:55Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224522695,56,Back,5224522697,140,47.5,5224522703,213,0.73,5224522693,155,,5224522699,141,81.1,5224522701,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780669,227,1,1,23,36,8cfkisxf1fkxdqtt6tx1tup48,1,53.9,78.8,2024-09-20T17:24:32.860Z,2024-09-20T17:58:17Z,e0u730to91qqtvvx16uhajz10,S. Jalaei,,,5224522813,212,8.7,5224522807,140,46.6,5224522815,213,3.64,5224522811,141,72.6,5224522805,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780685,228,1,1,23,38,8cfkisxf1fkxdqtt6tx1tup48,1,45.5,72.3,2024-09-20T17:24:35.276Z,2024-09-20T17:24:39Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224522935,141,58.4,5224522933,140,47.3,5224522931,56,Back,5224522939,213,4.91,5224522937,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780741,229,1,1,23,42,8cfkisxf1fkxdqtt6tx1tup48,1,49.6,54.3,2024-09-20T17:24:39.612Z,2024-09-20T17:24:47Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224523229,56,Right,5224523237,213,5.67,5224523235,212,57.9,5224523227,155,,5224523239,1,,5224523231,140,94.6,5224523233,141,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780743,230,61,1,23,50,8cfkisxf1fkxdqtt6tx1tup48,0,94.7,4.9,2024-09-20T17:24:47.331Z,2024-09-20T17:24:47Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5224523243,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780887,182,5,1,23,51,7gkglopz9cjsysn2u6sbhuvc5,1,-0.9,88.9,2024-09-20T17:24:48.355Z,2024-09-20T19:40:09Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224524083,56,Back,5224524085,346,,5224524091,233,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780747,231,5,1,23,51,8cfkisxf1fkxdqtt6tx1tup48,0,100.9,11.1,2024-09-20T17:24:48.355Z,2024-09-20T19:13:59Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5224523269,346,,5224523267,56,Right,5224524121,233,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780895,183,1,1,24,11,7gkglopz9cjsysn2u6sbhuvc5,1,2.8,43.6,2024-09-20T17:25:07.949Z,2024-09-20T17:25:09Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224524133,140,7.8,5224524143,237,,5224524139,213,5.33,5224524131,56,Back,5224524135,141,32.8,5224524137,212,9.0,5224524129,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780897,184,1,1,24,12,7gkglopz9cjsysn2u6sbhuvc5,1,7.8,32.8,2024-09-20T17:25:08.773Z,2024-09-20T17:25:10Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5224524167,213,1.82,5224524165,212,8.4,5224524161,140,5.8,5224524159,56,Back,5224524163,141,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780915,185,1,1,24,13,7gkglopz9cjsysn2u6sbhuvc5,1,7.0,46.0,2024-09-20T17:25:10.005Z,2024-09-20T17:25:13Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224524261,141,38.9,5224524259,140,22.9,5224524257,56,Back,5224524265,213,6.00,5224524263,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780917,186,61,1,24,16,7gkglopz9cjsysn2u6sbhuvc5,0,23.0,38.3,2024-09-20T17:25:13.126Z,2024-09-20T17:25:13Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224524269,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780933,234,1,1,24,19,8cfkisxf1fkxdqtt6tx1tup48,1,72.7,88.1,2024-09-20T17:25:16.067Z,2024-09-20T17:25:18Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5224524401,140,67.2,5224524399,56,Center,5224524403,141,60.8,5224524407,213,4.41,5224524405,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780945,235,1,1,24,21,8cfkisxf1fkxdqtt6tx1tup48,1,67.5,57.0,2024-09-20T17:25:18.108Z,2024-09-20T17:25:22Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5224524493,141,61.2,5224524491,140,58.4,5224524495,212,10.0,5224524489,56,Center,5224524497,213,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722780971,236,1,1,24,25,8cfkisxf1fkxdqtt6tx1tup48,1,59.0,61.2,2024-09-20T17:25:21.923Z,2024-09-20T17:25:26Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224524673,213,0.53,5224524665,56,Center,5224524669,141,78.1,5224524667,140,77.8,5224524671,212,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781011,237,1,1,24,29,8cfkisxf1fkxdqtt6tx1tup48,1,82.6,79.9,2024-09-20T17:25:26.155Z,2024-09-20T17:28:39Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,1.0,,5224524919,212,8.7,5224524913,56,Center,5224525231,210,15,5224524917,141,76.9,5224524915,140,74.5,5224524921,213,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781017,238,15,1,24,33,8cfkisxf1fkxdqtt6tx1tup48,1,73.7,76.3,2024-09-20T17:25:30.283Z,2024-09-20T17:25:38Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224525243,29,,5224525257,147,51.6,5224524937,18,,5224525245,55,237,5224525251,103,21.5,5224525031,20,,5224524939,56,Center,5224525287,233,187,5224524935,22,5224525249,102,49.2,5224525241,79,5224525255,146,99.0,5224525253,215,,,,,,,,,,,,,,,,,
2722781027,187,10,1,24,33,7gkglopz9cjsysn2u6sbhuvc5,1,4.3,43.6,2024-09-20T17:25:30.383Z,2024-09-20T17:25:35Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224525013,56,Back,5224525143,233,238,5224525009,178,,5224525011,182,,5224525007,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781061,188,6,1,24,39,7gkglopz9cjsysn2u6sbhuvc5,0,2.2,52.2,2024-09-20T17:25:35.918Z,2024-09-20T17:25:44Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224525239,73,,5224525235,56,Back,5224525403,233,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781081,239,6,1,24,39,8cfkisxf1fkxdqtt6tx1tup48,1,97.8,47.8,2024-09-20T17:25:35.918Z,2024-09-20T19:39:14Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224525345,56,Center,5224525387,233,188,5224525347,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781261,240,1,1,25,6,8cfkisxf1fkxdqtt6tx1tup48,0,99.5,0.5,2024-09-20T17:26:02.667Z,2024-09-20T17:26:08Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5224526293,212,39.8,5224526287,56,Center,5224526291,141,58.7,5224526285,223,,5224526295,213,1.68,5224526289,140,95.4,5224526281,6,,5224526283,155,,5224526297,1,5224526279,2,,,,,,,,,,,,,,,,,,,,,,,,,
2722781275,189,44,1,25,11,7gkglopz9cjsysn2u6sbhuvc5,1,4.7,42.6,2024-09-20T17:26:08.214Z,2024-09-20T17:28:11Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224526423,233,241,5224526393,285,,5224526391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781279,241,44,1,25,11,8cfkisxf1fkxdqtt6tx1tup48,0,95.3,57.4,2024-09-20T17:26:08.215Z,2024-09-20T17:28:17Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5224526427,233,189,5224526419,286,,5224526417,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781277,190,11,1,25,12,7gkglopz9cjsysn2u6sbhuvc5,1,4.8,43.9,2024-09-20T17:26:09.204Z,2024-09-20T17:26:09Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224526409,56,Back,5224526411,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781359,191,1,1,25,18,7gkglopz9cjsysn2u6sbhuvc5,1,13.9,46.9,2024-09-20T17:26:15.501Z,2024-09-20T17:26:24Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224526955,141,65.4,5224526949,123,,5224526957,212,12.6,5224526953,140,14.9,5224526959,213,1.49,5224526951,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781379,192,1,1,25,28,7gkglopz9cjsysn2u6sbhuvc5,1,31.3,70.0,2024-09-20T17:26:25.500Z,2024-09-20T17:26:27Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5224527081,141,51.5,5224527077,56,Back,5224527085,213,4.77,5224527079,140,32.0,5224527083,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781395,193,1,1,25,30,7gkglopz9cjsysn2u6sbhuvc5,1,32.3,47.6,2024-09-20T17:26:26.964Z,2024-09-20T17:26:30Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5224527197,213,4.34,5224527189,56,Back,5224527195,212,11.1,5224527191,140,28.5,5224527193,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781431,194,1,1,25,33,7gkglopz9cjsysn2u6sbhuvc5,1,28.7,29.5,2024-09-20T17:26:30.436Z,2024-09-20T17:26:35Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5224527417,212,22.2,5224527419,213,2.45,5224527411,56,Back,5224527413,140,12.4,5224527415,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781455,195,1,1,25,38,7gkglopz9cjsysn2u6sbhuvc5,1,11.4,57.0,2024-09-20T17:26:35.085Z,2024-09-20T17:26:39Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5224527521,157,,5224527529,212,41.8,5224527523,56,Back,5224527531,213,5.80,5224527527,141,28.2,5224527533,1,,5224527525,140,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781459,196,3,1,25,42,7gkglopz9cjsysn2u6sbhuvc5,1,48.4,38.0,2024-09-20T17:26:38.877Z,2024-09-20T19:30:16Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5224527599,233,242,5224527555,286,,5224527553,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722781467,242,45,1,25,42,8cfkisxf1fkxdqtt6tx1tup48,0,51.6,62.0,2024-09-20T17:26:38.877Z,2024-09-20T19:30:16Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5224527591,285,,5224527619,233,196,5224527589,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
